name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
hsa-miR-3936	1.9586931207759561	0.5829878887181058	1.9316116749700212	0.0	0.0	1.8666188812233073	0.38472522860052477	1.59009308404914	3.502204122465074	1.17287221627576	0.0	1.0643078765966947	1.9707030359911957	0.0	0.0	0.0	0.0	0.0	1.3728645092558525	0.0	1.2950744594966273	0.0	0.0	0.0	1.0444740533496457	5.416039058066558
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.469148886510304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5958243438335458	1.4831395216044483	0.0	0.0	0.0
hsa-miR-6766-5p	0.0	4.6639031097448465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4449418564813345	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	1.545289339976017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5222370266748229	0.0
hsa-miR-671-5p	0.9793465603879781	0.0	1.545289339976017	2.780825871914048	2.7002671546131243	3.1999180820970983	1.9236261430026238	0.8833850466939668	3.9142281368727296	2.1111699892963682	0.0	7.98230907447521	0.4926757589977989	0.0	1.46761379938551	5.888272139114635	1.7406864571112262	1.6055765378335585	1.3728645092558525	0.8531662492550791	6.313487990046058	0.9930405730559096	0.0	1.9683740036582886	2.4371061244825065	0.9026731763444263
hsa-miR-3157-3p	1.469019840581967	1.4574697217952646	0.0	4.449321395062477	2.209309490138011	3.7332377624466146	0.2564834857336832	2.8268321494206936	0.0	4.2223399785927365	0.0	0.798230907447521	1.9707030359911957	0.0	0.0	2.3132497689378924	0.0	1.2350588752565834	2.4025128911977416	2.986081872392777	1.9426116892449408	0.5958243438335458	1.3348255694440034	1.7059241365038502	1.0444740533496457	0.0
hsa-miR-6855-5p	6.24333432247336	3.497927332308635	4.249545684934047	7.230147266976525	6.8734073026515885	5.86651648384468	2.821318343070515	3.003509158759487	9.270540324172254	6.098935524633952	0.7206260222380387	4.523308475535952	11.085204577450476	0.0	5.38125059774687	10.51477167699042	6.527574214167099	2.9641413006158	5.49145803702341	2.5594987477652373	0.0	8.540148928280823	5.0426743734551245	1.574699202926631	5.744607293423051	1.654900823298115
hsa-miR-361-3p	398.4716317578586	2029.6723345720854	841.4100456169413	769.9179897372694	269.5357577968373	952.5089491042362	581.4480621582597	1046.8112803323506	499.3731054620788	579.8680237267358	485.7019389884381	1372.957160809736	824.0002069238187	338.45138392252187	695.4043386088341	1494.1490553003387	651.0167349595986	458.7008662702951	763.312667146254	933.3638766850565	444.5343082222173	745.3762541357657	1008.6831886431853	1245.7182944485423	974.3202127663278	264.93457725708913
hsa-miR-484	908.9560263600921	1265.9582003513667	972.7596395149027	1146.4418127944316	1153.2595538520416	1251.701289780315	1187.1338137183527	1079.1431730413499	975.0548300957173	1819.359381886959	732.1560385938473	1726.8395297781371	1589.3719985268995	908.8586732057375	1727.8706464765405	2237.9640037306413	1406.4746573458708	797.2305039781246	1219.7901164738248	1898.508196154865	1036.383336212176	1387.6748967883282	1448.1374288945833	1822.583102453998	1638.779789705594	1097.951473493604
hsa-miR-5589-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3481580177832152	0.0
hsa-miR-30b-3p	2.0811114408244533	6.412866775899164	4.635868019928051	2.9662142633749844	12.764899276352951	4.266557442796131	1.538900914402099	2.473478130743107	2.88416810085359	3.51861664882728	1.9216693926347699	5.587616352132647	9.853515179955979	3.0797779188352084	5.136648297849285	11.77654427822927	0.8703432285556131	2.3466118629875083	9.610051564790966	2.986081872392777	3.237686148741568	7.149892126002549	7.415697608022242	8.792070549673689	17.40790088916076	6.469157763801722
hsa-miR-1301-3p	82.87720267283264	662.5657355281272	393.6624593588903	327.02512253709205	168.64395774720148	348.2577512682342	250.19964033320795	220.31623064547531	305.1037826688691	397.8382557607378	185.44109638925528	734.9045887900177	626.9299033246991	114.60015729560486	355.89634635098616	427.11002551935087	314.62907712285414	117.57760492442674	791.113173458685	332.7348372094809	226.96179902678392	487.3843132558404	342.9018573949485	311.7904421794729	318.3905072627503	140.3656789215583
hsa-miR-6715b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3055148428334196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
