name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-103a-3p	2627.406887744929	3019.1907168805255	4694.161548759877	5690.0720727954895	4339.744561358723	3959.8572077186745	1470.7265424410043	3663.8896737532787	3479.103771656809	3996.315929745439	2990.2771485365374	3695.7220556043735	6592.327678434964	4338.435294453648	4648.714948190155	2506.824709730157	2958.802286456565	2782.839205535594	2161.8293172933554	1784.333843246845	3734.9270403666146	3088.2788292644427	2477.737186915456	2573.1856333178685	1719.7892171699516	1446.9277296045616	1527.553434121611	5867.067968214195	2885.9681320443756	3328.233921501098	3605.5936373252016	4040.8714185364643	10749.05692616322	4549.250851877538	4592.135342934471	2486.5993993711813	3973.4303782202524	2002.9948134558272	4517.148630825149	9032.137260361716	2655.181833664232	4316.851924279613	2573.181179315091	2699.5098171088753	2603.776713771428	3633.00352989005	3475.0227141437103	19851.45321280929	191407.44407691044
hsa-miR-186-5p	3785.8915593811944	5195.401707050883	1351.9086445726257	4387.758799264768	2050.210206377191	5804.501610691384	2691.773653861729	1543.3287953901347	4866.540925308465	3797.321832403384	4491.861608672111	3058.2473795917035	6060.41265474553	3860.671723088077	3512.3688918480525	3018.7342675682767	3554.171039219165	5875.986505382143	2916.5507949283137	9237.866475349152	3611.8758633821067	5934.9898359943945	3341.0254838714277	4531.205784644488	3219.0528383864976	2160.004329849226	5885.509978143238	3408.112407353261	1205.1665139969925	3279.1086975675003	5283.31173393497	7732.916499845365	1172.4779498780058	2504.1997800991053	3748.743165571991	7865.340114879072	3511.101588699304	3677.6757517152423	2088.881774406977	7283.681908892925	5064.619330592426	4330.550217944576	4849.9393607433185	3874.899241659601	3845.0257840721633	1043.1107742923853	3212.517526770979	1870.6359057994443	190597.18921768127
hsa-let-7a-5p	2964.2056609788374	2153.764650809255	1803.3065560930136	5624.325327409005	5034.183465892319	4422.174583683105	1511.4163493620463	3290.0088190216875	2757.2393737846787	3225.794350854102	2549.3478605183973	3373.144918110329	22107.43451016356	6830.554772769203	3144.99022590606	3607.8132900012697	2093.863792859784	3917.0957054494984	2428.33869628918	2198.9883868379093	6877.621718662267	2623.616017683398	3196.1384359040503	1819.4114051874194	654.3413514147605	512.3381568509751	2182.24079773291	7721.165169386275	755.6879769133318	3043.467813633851	1893.6446523620673	3130.206922344784	334.88685702845294	1584.744273243893	3407.584526804962	2038.2812775304533	1275.5668254868908	1449.1020526366851	4552.09942302512	27290.975952191853	2034.9917075573803	4517.319366742057	1600.7842864046747	2524.264202566858	2320.5664946903516	2676.5392131407866	3856.468671026125	1944.4518926387484	182856.49873758462
hsa-miR-148a-3p	4101.892500707942	3688.7419865552297	2287.1743611668103	3004.3841681619497	5416.703230078259	4738.415856695874	1392.2054492932837	1440.5829116471023	3403.191806179234	2249.669355409174	2981.682634046801	2438.442577327785	6713.8010087116	1444.804339025382	2301.58968771062	2026.458874646147	2406.2820424155134	1773.864868393418	1715.8655001164411	17370.40546301637	6209.550973302428	7895.162722769345	1837.2789456955077	3157.6628320310733	1611.1382738469417	853.9424862628425	4423.207058463597	4599.14106446845	761.2852669638254	3320.7583439459836	1787.1760258815184	5315.106457962231	673.1105011566569	2555.9732249542553	4422.806605071359	5129.033394805774	1166.6419450206288	3001.053711793396	2281.5194193862912	6414.48802904118	2702.044707181335	3042.4382584839673	3085.8154588664042	2050.5380918836354	4909.307140461626	8458.598442351784	3885.0491990420765	3180.5542192618714	171626.54142166095
hsa-miR-484	2735.522233281019	3117.6474971767066	3622.330825755867	4157.305167939004	2895.8221981125303	2444.365817729399	3515.4510983865766	3765.2085313332136	2468.8906926090945	2619.4339707575136	2018.4831173040727	1836.9872593414166	5343.163686382393	3702.2700604053857	3882.491367944066	2687.525178650127	3182.065568742539	4065.2252477261422	3168.3582626230977	5239.061482921532	2564.645583466585	3268.270540172492	2940.5015244141446	3262.9720988589124	7082.1311584041205	7144.251223100401	6090.336096325315	3334.3437405274326	2792.4557141334803	3045.2299140575565	4549.022093419982	3272.4945038874357	12390.986302488955	4343.519531532072	2837.81958610754	2041.8051754313838	2957.2739323191963	4344.746379441693	3023.422362136367	2830.468430508744	2367.146611071297	2608.816410744753	3099.4287617860173	2285.682401740068	2620.483455993822	634.249674012913	4069.9333672494445	1687.673203377239	169957.7190418311
hsa-miR-320a-3p	2167.3225779096115	1662.9388903733757	1593.6186700498345	2089.816201804263	4623.210719594531	2484.912535488015	1069.49257905089	2230.727298154284	1664.5575375159437	2139.7045741490588	2592.719463996965	2011.9869705069423	3436.790725093338	1964.925471250462	1922.0709823130856	1835.3328834812216	1797.7329881397332	2116.513616479559	1070.8638883634035	3161.824617062534	2815.207386105265	2115.4815238771894	1914.5330332491897	1591.4505303950605	3530.7300942559705	1546.1352177653566	2928.7125474702125	7148.0417069520245	1102.5418411527016	1734.364505347517	2831.9229025738387	3688.089318721785	5207.587059391712	2248.693288208689	2261.2764935695095	2523.9013269433312	1503.0534316055202	1551.2948858609882	1700.5628035518357	3327.7967731468693	1735.7006867724176	2230.7485665376735	1685.8845892777854	2452.0958707454056	1946.356094516434	1559.4209526765892	2696.2028333149183	49093.437084301586	160308.28653906443
hsa-miR-27b-3p	3644.8594491235704	2244.9726635652783	1732.78270899168	4201.807309210126	2171.201859282719	9356.579090381409	1419.55549297395	1385.642404367842	4367.273767744422	3143.8923817056902	2826.981373231525	3599.217360515036	4023.976769066178	2622.763036560181	3479.238843711698	3068.5282870586916	1796.0040132264073	2418.1325885939073	1449.426213665558	3198.5896875353224	6841.645440338637	3941.529008532502	1754.1334025104254	2398.908487754621	2183.048184305431	860.4117475224095	2419.8866283114635	8231.912593518551	621.7342413860038	2583.346015116686	3447.7562023537726	10614.030250795347	407.70168816497227	1648.3484044014692	2500.329319800374	2428.9934572962306	802.833493043015	1406.222579487489	1648.4145113115765	5071.675869629963	3815.8952008988526	2222.6662358789486	2807.276604030792	3696.7143232443805	5643.269389824397	2582.3678271264052	1910.3318677712837	10111.580960732943	156754.3892356001
hsa-miR-423-3p	2404.500120447542	2434.0954926892455	2961.0443108284394	5166.6006751051	4738.618142365959	4255.09281421201	1752.1673145097982	1926.4853201818603	3480.2716480487707	4451.108543598999	3191.6343451532466	1633.1041007019696	11866.409903713893	3393.7417927965644	5129.465514538837	3006.5674030774057	2514.530906554168	3684.9086199425933	1983.4437904225897	4968.658309609453	3019.287300535661	5275.809666660088	1847.2564108777176	2485.7509455221593	1343.570401333899	1175.400989414284	4296.163010477245	4140.434081660573	416.29844750549233	2430.096675236882	1184.3707562576446	3319.244425371542	1006.7892111317518	1039.5562743284097	4258.48019328988	3687.1718370079757	1302.4775798214862	3282.6293433136675	2669.3254193420207	6760.576301255079	3327.2640197144106	3473.2259764993964	2501.2442158477265	3436.494596164557	2010.3779807612582	1278.9184797552678	4910.391152031037	2585.1368040516772	153406.19156366723
hsa-miR-151a-3p	2551.3737974022274	1445.0113236588256	1996.98337241918	4739.967677735731	1276.395459223154	5487.682200067989	1125.4101844857494	1686.7449247814511	4537.199782774991	3143.535121207769	3164.0091200076617	2503.685188092408	11262.063273727648	4174.63986153408	4169.715750024884	2434.7247720064784	2170.9911085585763	3153.6952206877113	1640.1655515818923	1621.8738721843451	2836.6534483797072	3439.5784404665574	1579.2902031269375	3798.8864352619357	1285.1854438779073	498.0420006308896	2177.897965480317	3019.150345907985	463.52558230653557	2498.978782708989	1398.791422633922	3525.423566275805	277.8738222723635	1660.8376125902118	3779.257354669922	4055.4191676553155	1104.0451676245323	1487.7279635548675	3231.952865897475	13293.743470870635	2470.016333425916	2396.256681460824	1829.78806890093	2185.0486081150693	1722.0319853673689	1127.1823889368463	4325.545036046208	940.0497469278827	136694.04747353663
hsa-let-7i-5p	1741.8995550951536	2373.46327821786	1424.6300894782569	3322.318781350752	3167.0562331974506	3442.231333670966	1368.9137991910386	2002.4744633668115	2696.626589041816	2902.9201758579075	2959.582453930333	2960.383463444769	6559.046309032554	3475.29375475398	2414.4069881925675	2087.293197100501	1764.3061398154357	2235.542764807278	1816.5359177856503	1355.559456533235	3092.146550065962	2374.627484260593	1955.5831757131393	1360.6215701805504	1607.7354695780343	515.5363409384511	2022.9820090071637	2660.3663754369118	637.2972193308871	3011.589815059551	2692.7324879674943	2792.4087717237294	819.2387638009227	1870.6563101610834	2687.9999199627828	1603.8140321614414	1493.6897017470749	920.756135636166	2271.3290937979655	8729.668040812187	1937.379771011998	3269.168636386825	1122.0965127122224	2089.396685461605	1342.727060096008	1099.3381575909243	2212.6126573273277	1690.827732729346	111954.81122452265
hsa-miR-192-5p	4678.81675450343	3536.3146317388982	915.1167812222421	1249.541785715335	542.4680701698404	3577.5155345575977	810.4435524212994	528.7131934276883	2193.271864105903	1481.2020243808854	2110.5672011226893	2901.2573474393294	613.406694176983	1373.740263639652	1043.6694899694767	1414.0600286056504	885.5358469120508	1203.8629573496662	1176.5033668077804	821.5677060106918	4478.415204462483	1233.8905445143973	785.3690450568074	2862.7322780009586	934.875699141956	441.73209276592627	535.3999165139113	3266.610691896445	416.29844750549233	1086.094624792753	1848.3668292577674	5917.461215545907	188.988717632446	411.46264069093024	1296.6029203579665	1612.7706059929756	1064.8515484775783	884.0787128058457	1147.018999085975	852.848848515154	2575.172049610638	858.7413063070724	5072.156511342884	1780.520685226461	17070.57794190261	16692.706511981283	718.4425059870208	1865.1154794332572	110956.87766908196
