name	SRX2464402	SRX2464388	SRX2464389	SRX2464386	SRX2464387	SRX2464384	SRX2464385	SRX2464382	SRX2464383	SRX2464380	SRX2464381	SRX2464368	SRX2464369	SRX2464401	SRX2464400	SRX2464403	SRX2464367	SRX2464405	SRX2464404	SRX2464407	SRX2464406	SRX2464399	SRX2464398	SRX2464395	SRX2464394	SRX2464397	SRX2464396	SRX2464391	SRX2464390	SRX2464393	SRX2464392	SRX2464373	SRX2464372	SRX2464371	SRX2464370	SRX2464377	SRX2464376	SRX2464375	SRX2464374	SRX2464379	SRX2464378
hsa-miR-4765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3187699559954014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-214-5p	0.4763570877528355	0.6956945205360326	0.0	0.0	0.0	1.1503971746245392	1.6077983220659422	1.6844496421747688	0.0	1.1143121585051101	1.5186849229950807	0.5817948254004639	1.2750798239816057	0.6690323651096945	0.3848083067799568	0.5315137138510879	1.585123677689828	0.0	0.3949461895690367	2.113264964180159	0.0	0.0	0.5473518161270097	0.4279774875282011	0.0	1.522404156285139	0.5221654899087168	0.0	2.004923200302966	0.7417795067833881	0.0	0.7260982962829576	0.0	0.4215868190599963	1.1836333804498327	0.0	0.8649192846512073	0.4385463853800915	0.0	2.0552311063338404	0.5525496852676992
hsa-miR-4645-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4781549339931021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-98-5p	178.10991511078518	172.5670258189629	166.19775869310124	198.57498418813964	180.68684574684985	173.85952500100657	182.8334658575987	208.6672153159787	216.846737566645	158.63347888478748	182.63270973960846	167.64417893914364	164.38966630682853	182.7127389114576	177.4735910869161	132.99358976743972	205.154631985006	140.73738383453335	231.2508676474102	151.67204542915883	181.3559515042931	135.52911932642226	181.2966052966688	136.97419488340077	170.7800672603985	192.1578526063102	170.01708351427817	233.280989944446	155.57090188128626	179.4982776498002	185.54730327600308	271.1614087468705	203.20579085569094	166.83595719600922	124.44721362049542	143.744307197024	217.93803674998796	164.27947596338223	192.5357600987487	179.1427513613704	199.24941650753235
hsa-miR-767-5p	302.2485721791741	309.58406163853454	380.2736061940669	321.7326401760137	242.25328659466612	378.7107498863983	320.84508738115915	360.71285908856834	327.23066941239523	373.74029796261397	308.9439043349993	340.34997285927136	327.53612978527497	336.52327965017633	376.7273323375777	278.3360148200197	381.8562939554796	321.64493736431115	368.0898486783422	370.1232637264107	362.313339356073	297.9528965244862	373.8412904147476	314.5634533332278	330.2770383515725	339.19164602032896	334.1859135415787	355.0658339829603	293.8326334666236	260.36460688096923	334.7203698305373	300.60469466114444	216.8369265039242	290.05173151327745	365.2692612068184	256.9398529564266	350.5085401049017	346.4516444502723	243.2412808287146	329.7177903447004	309.70409859254545
hsa-miR-6132	0.0	0.0	0.0	0.0	0.0	0.9203177396996313	0.0	0.0	1.128381618663432	0.0	0.0	0.5817948254004639	0.0	0.0	0.3848083067799568	0.5315137138510879	0.0	0.0	0.7898923791380734	0.0	0.0	0.0	0.5473518161270097	0.0	0.0	0.0	0.0	0.0	0.0	1.112669260175082	0.0	0.7260982962829576	0.0	0.2810578793733309	0.47345335217993306	0.0	0.43245964232560363	0.4385463853800915	0.0	0.0	0.0
hsa-miR-651-5p	0.0	0.0	0.0	0.7993357519900962	0.5015595995748781	0.46015886984981563	0.35728851601465383	0.0	0.0	0.0	0.0	0.0	4.940934317928722	1.6725809127742364	1.1544249203398704	0.8858561897518132	1.4266113099208453	0.0	0.0	0.0	0.0	0.46410108492910623	0.5473518161270097	0.0	0.0	0.0	0.0	0.49763957110435925	0.44553848895621473	0.0	0.42995551680223165	0.7260982962829576	0.0	0.0	0.47345335217993306	0.0	0.43245964232560363	0.0	0.0	0.5872088875239544	0.0
hsa-miR-6866-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7532347579747076	0.0	0.0	0.0	0.4755371033069484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.613540834684674	0.0	0.0
hsa-miR-6131	0.4763570877528355	0.0	0.443726494975574	0.7993357519900962	1.5046787987246342	1.6105560444743547	1.0718655480439614	0.0	0.0	0.8914497268040882	0.43390997799859454	0.8726922381006958	0.3187699559954014	0.6690323651096945	0.3848083067799568	0.0	1.1095865743828797	0.8725532380177989	0.0	0.0	0.7591688619299591	0.46410108492910623	0.5473518161270097	0.0	0.0	0.0	0.0	0.9952791422087185	0.44553848895621473	0.0	0.0	1.815245740707394	2.4254689765539617	1.6863472762399851	0.47345335217993306	0.6605137608134359	0.0	0.4385463853800915	3.6304668780405165	2.0552311063338404	0.0
hsa-miR-6130	0.1587856959176118	0.0	0.36977207914631166	0.0	0.4179663329790651	0.15338628994993853	0.11909617200488459	0.0	0.47015900777642994	0.3714373861683701	0.0	0.0	0.10625665199846714	0.0	0.1924041533899784	0.11811415863357509	0.3170247355379656	0.25449469442185807	0.19747309478451835	0.0	0.0	0.0	0.27367590806350484	0.21398874376410054	0.0	0.0	0.11603677553527038	0.5805794996217525	0.0	0.24725983559446268	0.2866370112014877	0.0	0.8084896588513205	0.2810578793733309	0.15781778405997768	0.22017125360447862	0.0	0.29236425692006096	0.0	0.19573629584131813	0.0
