name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
hsa-miR-192-5p	2845.528455284553	0.0	0.0	1677.8523489932886	824.2324335462602	1106.6843736166445	0.0	5305.039787798409	13986.013986013986	9433.962264150943	8522.727272727272	0.0	7692.307692307692	0.0	16042.780748663103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2025.6583389601622	5270.092226613966	0.0	0.0	0.0	0.0	0.0	20979.020979020977	0.0	0.0	0.0	0.0	95711.90090769726
hsa-let-7c-5p	6097.5609756097565	0.0	20895.5223880597	11521.252796420582	2060.5810838656503	619.7432492253208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2820.8744710860365	0.0	8174.386920980927	0.0	0.0	0.0	4750.593824228029	14854.82781904119	17127.799736495388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6548.175865294667	95471.31913030725
hsa-miR-30d-5p	1626.0162601626016	0.0	2985.0746268656717	3355.7046979865772	4121.1621677313005	4094.7321823815846	674.5362563237774	0.0	0.0	0.0	0.0	0.0	5128.205128205128	9708.73786407767	0.0	0.0	0.0	0.0	7052.186177715092	0.0	5449.591280653951	0.0	0.0	0.0	0.0	1350.4388926401082	6587.615283267457	0.0	0.0	0.0	0.0	0.0	20979.020979020977	0.0	0.0	0.0	6548.175865294667	79661.19766232657
hsa-miR-99b-5p	2439.0243902439024	0.0	5970.149253731343	4474.272930648769	1854.5229754790853	664.0106241699867	0.0	0.0	6993.006993006993	0.0	0.0	0.0	5128.205128205128	0.0	0.0	0.0	0.0	0.0	2820.8744710860365	0.0	5449.591280653951	0.0	0.0	0.0	0.0	6752.194463200541	10540.184453227932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	8419.083255378859	76430.49335336089
hsa-miR-103a-3p	542.0054200542005	9009.009009009009	0.0	1864.2803877703204	17308.88110447146	12837.538733953073	4946.599213041034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11586.45276292335	0.0	0.0	0.0	1880.5829807240243	3463.2034632034633	0.0	0.0	0.0	0.0	0.0	3376.0972316002703	9222.66139657444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76037.31170332464
hsa-let-7i-5p	2032.520325203252	0.0	7462.686567164179	6711.4093959731545	4121.1621677313005	3209.384683488269	1686.3406408094434	5305.039787798409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6688.963210702341	2115.6558533145276	0.0	5449.591280653951	0.0	0.0	0.0	4750.593824228029	10128.291694800811	10540.184453227932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5612.722170252572	75814.54605534817
hsa-miR-451a	2439.0243902439024	0.0	0.0	1118.5682326621923	10921.079744487946	11509.517485613102	4384.485666104553	0.0	0.0	0.0	5681.818181818182	0.0	0.0	9708.73786407767	0.0	0.0	0.0	0.0	4936.5303244005645	0.0	0.0	0.0	0.0	12820.51282051282	0.0	3376.0972316002703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3741.8147801683813	70638.18672168958
hsa-miR-381-3p	2439.0243902439024	13513.513513513513	5970.149253731343	4474.272930648769	412.1162167731301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6688.963210702341	1410.4372355430182	0.0	8174.386920980927	0.0	0.0	0.0	0.0	2700.8777852802164	3952.569169960474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6548.175865294667	56284.4864926723
hsa-miR-128-3p	1626.0162601626016	0.0	0.0	3914.988814317673	1442.406758705955	553.3421868083223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2820.8744710860365	0.0	0.0	0.0	0.0	0.0	0.0	6076.975016880487	2635.046113306983	0.0	0.0	28169.014084507042	0.0	0.0	0.0	0.0	0.0	0.0	5612.722170252572	52851.38587602767
hsa-miR-204-5p	2439.0243902439024	13513.513513513513	0.0	2237.1364653243845	1442.406758705955	332.00531208499336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2739.7260273972606	10033.444816053512	9873.060648801129	0.0	0.0	0.0	0.0	0.0	0.0	2025.6583389601622	2635.046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1870.9073900841906	49141.92977447598
hsa-miR-3168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6993.006993006993	12578.61635220126	0.0	0.0	0.0	0.0	5347.593582887701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15105.74018126888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40024.957109364834
hsa-miR-101-3p	2439.0243902439024	0.0	0.0	2796.420581655481	1854.5229754790853	1106.6843736166445	1011.8043844856661	0.0	0.0	0.0	5681.818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5194.805194805195	0.0	0.0	0.0	0.0	0.0	5401.755570560433	7905.138339920948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5612.722170252572	39004.69616283811
hsa-miR-181c-5p	2439.0243902439024	0.0	0.0	4474.272930648769	824.2324335462602	221.3368747233289	337.2681281618887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6688.963210702341	0.0	0.0	16348.773841961854	0.0	0.0	0.0	0.0	1350.4388926401082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3741.8147801683813	36426.12548279684
hsa-let-7g-5p	3658.5365853658536	0.0	0.0	4474.272930648769	1030.2905419328251	332.00531208499336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10033.444816053512	2115.6558533145276	0.0	5449.591280653951	0.0	0.0	0.0	0.0	4051.3166779203243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4677.268475210477	35822.38247318523
hsa-miR-30c-5p	813.0081300813008	0.0	2985.0746268656717	3914.988814317673	1236.3486503193901	332.00531208499336	0.0	0.0	6993.006993006993	6289.30817610063	0.0	0.0	0.0	0.0	5347.593582887701	0.0	0.0	0.0	1410.4372355430182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2635.046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3741.8147801683813	35698.63241468274
hsa-miR-181b-5p	813.0081300813008	0.0	0.0	3355.7046979865772	1236.3486503193901	221.3368747233289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5449.591280653951	0.0	0.0	0.0	0.0	8102.633355840649	10540.184453227932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4677.268475210477	34396.07591804361
hsa-miR-320a-3p	813.0081300813008	0.0	0.0	1864.2803877703207	5563.568926437257	2471.5951010771723	7880.831928049465	0.0	0.0	6289.30817610063	0.0	0.0	0.0	0.0	1782.5311942959001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6410.25641025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33075.380254068456
hsa-miR-125a-5p	1219.5121951219512	0.0	2985.0746268656717	1118.5682326621923	824.2324335462602	221.3368747233289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	0.0	0.0	1410.4372355430182	0.0	5449.591280653951	0.0	0.0	0.0	0.0	1350.4388926401082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1870.9073900841906	31375.472296169028
hsa-miR-30e-5p	0.0	0.0	0.0	4474.272930648769	618.1743251596951	1106.6843736166445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5194.805194805195	0.0	0.0	0.0	0.0	0.0	2700.8777852802164	7905.138339920948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9354.536950420954	31354.489899852422
hsa-miR-132-3p	1219.5121951219512	0.0	2985.0746268656717	2796.420581655481	412.1162167731301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11363.636363636364	0.0	0.0	1350.4388926401082	3952.569169960474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6548.175865294667	30627.94391194785
hsa-miR-148a-3p	1626.0162601626016	0.0	0.0	2796.420581655481	1442.406758705955	2434.705621956618	505.902192242833	0.0	6993.006993006993	0.0	0.0	0.0	0.0	0.0	5347.593582887701	0.0	0.0	0.0	0.0	5194.805194805195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1870.9073900841906	28211.764575507565
hsa-let-7b-5p	1219.5121951219512	0.0	0.0	335.5704697986577	1442.406758705955	841.0801239486498	0.0	0.0	0.0	0.0	0.0	0.0	5128.205128205128	9708.73786407767	0.0	0.0	0.0	0.0	1410.4372355430182	0.0	5449.591280653951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1870.9073900841906	27406.44844613917
hsa-miR-151a-3p	1626.0162601626016	0.0	4477.611940298508	0.0	1648.4648670925203	4094.7321823815846	3204.0472175379423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2025.6583389601622	2635.046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7483.629560336763	27195.206480077064
hsa-miR-320b	0.0	0.0	0.0	3728.5607755406413	1648.4648670925203	959.1264571344251	3957.2793704328274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3565.0623885918003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12820.51282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26679.006679305036
hsa-miR-183-5p	0.0	0.0	0.0	2796.420581655481	0.0	0.0	337.2681281618887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2025.6583389601622	2635.046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	3741.8147801683813	26461.581076581253
hsa-miR-107	271.00271002710025	4504.504504504504	0.0	372.8560775540641	8036.266227076035	5865.427180168215	2473.299606520517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1782.5311942959001	0.0	0.0	0.0	940.2914903620122	1731.6017316017317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25977.78072211008
hsa-miR-136-3p	1219.5121951219512	0.0	0.0	2796.420581655481	412.1162167731301	221.3368747233289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10899.182561307902	0.0	0.0	0.0	0.0	1350.4388926401082	3952.569169960474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2806.361085126286	23657.937577308658
hsa-let-7d-5p	0.0	0.0	0.0	1118.5682326621923	412.1162167731301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14925.373134328358	0.0	0.0	0.0	0.0	5449.591280653951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21905.648864417628
hsa-miR-411-5p	813.0081300813008	0.0	0.0	5592.841163310962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4051.3166779203243	6587.615283267457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3741.8147801683813	20786.596034748425
hsa-miR-203a-3p	0.0	0.0	0.0	18456.375838926175	618.1743251596951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19074.55016408587
hsa-miR-410-3p	2032.520325203252	0.0	0.0	3355.7046979865772	1442.406758705955	442.6737494466578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2115.6558533145276	0.0	0.0	0.0	0.0	0.0	0.0	2700.8777852802164	2635.046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3741.8147801683813	18466.70006341255
hsa-miR-126-3p	0.0	0.0	0.0	0.0	412.1162167731301	442.6737494466578	0.0	5305.039787798409	0.0	6289.30817610063	0.0	0.0	0.0	0.0	5347.593582887701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17796.731513006525
hsa-miR-124-3p	1219.5121951219512	0.0	2985.0746268656712	3914.9888143176736	412.1162167731301	221.33687472332886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1350.438892640108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5612.722170252572	15716.189790694436
hsa-miR-15a-5p	2032.520325203252	0.0	0.0	0.0	5151.452709664126	6861.4431164231955	1517.7065767284992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15563.122728019072
hsa-miR-423-3p	0.0	0.0	0.0	0.0	2884.81351741191	664.0106241699867	674.5362563237774	5305.039787798409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1077.5862068965516	2152.8525296017224	0.0	0.0	12758.838922202354
hsa-miR-151a-5p	1626.0162601626016	0.0	0.0	1677.8523489932886	1236.3486503193901	442.6737494466578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1410.4372355430182	0.0	0.0	0.0	0.0	0.0	0.0	2700.8777852802164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1077.5862068965516	0.0	0.0	1870.9073900841906	12042.699626725913
hsa-miR-24-3p	0.0	0.0	0.0	1118.5682326621923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6688.963210702341	1410.4372355430182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2806.361085126286	12024.329764033837
hsa-miR-100-5p	813.0081300813008	0.0	0.0	0.0	412.1162167731301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1410.4372355430182	0.0	0.0	0.0	0.0	0.0	0.0	2025.6583389601622	5270.092226613966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1870.9073900841906	11802.219538055768
hsa-miR-142-5p	1219.5121951219512	0.0	0.0	0.0	2678.755409025345	5754.758742806551	674.5362563237774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1410.4372355430182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11737.999838820644
