name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-let-7i-5p	8685.800604229607	2282.99293008641	18791.027257314265	6729.53888441306	7459.592154996961	5543.374839697183	6015.715199388669	4776.200873362445	5525.965379494008	7143.596645615488	20483.938138760073	15052.797124241742	5204.098227354041	5446.094618069141	6581.840941898232	2402.3396699394193	3984.1971340565156	4646.286054974199	11714.820852554541	8478.5262456997	5106.119606983521	7157.302660683815	4207.491099538059	6554.277611469986	3671.111590994979	3209.2287009128954	6241.7698182775885	4296.640027498496	4502.5889886684845	8657.132113208016	3617.054024934585	4352.030947775628	6342.424141269153	5485.616057434652	10908.242431313074	4725.430848106739	2222.0075355038157	7008.9649551752245	6118.2551296821	7777.553898851501	10757.507844016136	6333.868188031141	4156.563907170073	4812.118168884425	4585.218702865762	7657.077429511951	8791.208791208792	316203.5489961163
hsa-miR-155-5p	5463.242698892246	5179.6936370777685	3760.3790809894363	10283.87280223686	287.4474664975022	1654.738758118562	1196.08282873589	6368.267831149928	25898.801597869508	6211.823170100425	3649.655576065913	10334.756234554032	2183.862648978928	5493.04370960422	1213.7427823890291	6528.096929183205	4051.1584304272133	3844.4933286733417	3329.7492282612466	3817.5563200532683	6885.524924568688	2117.171206471592	2245.9567873991036	4947.219158657634	5344.7065810073955	4813.843051369344	4766.921253621281	22944.05774684197	5353.07801986142	1252.08163737567	2231.799291980914	5372.877713303245	2904.162633107454	4019.4145305627176	6766.610278247682	3181.172401013034	9612.597816636073	4808.475957620212	8671.420120185572	7676.808382026999	3265.672024076327	499.1977179532893	10824.385174922065	8368.901163277262	5671.191553544495	11664.51982252755	7326.007326007326	274286.23933402484
hsa-miR-148a-3p	9164.149043303123	5253.338570306363	3336.521323305656	6682.147765508743	2352.4436338646155	3632.1515740702434	3380.595217329911	7050.582241630276	13315.579227696404	6004.762397763744	2037.2788258070325	4381.037968995731	4228.329809725159	4788.807336578037	1986.252706604114	6162.523501148946	3917.235837685818	5139.696963467034	2133.120599354861	3728.775940517146	4848.23477834799	8784.680528344814	7512.676415492198	2804.4745549078307	3401.1769151865246	5355.942494091117	12220.173821437978	13319.584085245338	5653.2506191059865	6152.968838456675	6182.3405674413825	4513.217279174726	3571.7862269252596	6800.141564285353	7874.934375546871	5559.3304095373405	1811.4191865520238	5541.972290138549	6990.0675654637735	5470.481563570421	7043.606326439137	1887.4428002614845	6148.250779355733	6736.965436438196	4524.886877828055	9660.79862601975	8114.961961115807	267161.09737137327
hsa-miR-16-5p	6143.001007049345	2282.99293008641	9085.771421118985	1279.5602104165678	17142.77218301483	3508.0461672113515	5282.69916025018	1023.471615720524	2862.849533954727	2070.6077233668084	12291.20705956508	4493.372275893058	8967.776409636876	3176.888527206999	4757.7025442078675	5118.027992479633	2477.567965715816	1541.9090890401103	12486.559605979675	9432.915325713018	7349.7176161126445	3539.1518675346015	3442.4927178038665	4317.00015755475	5290.719645845705	2255.133681722575	3937.3189360021074	945.2608060496692	975.5609475448383	24669.727310669143	3360.5253706839053	3008.8115194498173	5307.607570851554	5258.102027402801	4608.294930875576	2192.846994873062	1255.9173026760698	7131.214343928281	11956.284833577234	6880.9187991134395	11910.097970160721	4031.6158554703748	4502.944232767579	2510.6703489831784	4042.232277526395	2862.4588521540004	2423.217807833192	255391.5434727949
hsa-miR-151a-3p	5765.357502517623	4001.3747054202668	8411.946267878104	3127.8138476849435	1873.3645230354452	6428.660075290613	6308.506308506308	5776.9286754002915	5858.854860186418	5072.988922248681	3176.9168430057175	2583.689058638508	2578.8165323049047	6901.516455656583	6144.837152652472	4595.7802381449765	3348.064818534887	4235.1102978968365	2688.078804065069	3484.629896792809	6421.332233024731	5545.724578145737	5188.258255607537	6050.1024105876795	7072.288506181503	5767.938070559664	6887.016065314723	3695.1104236487067	6928.98416589539	2347.136534750431	5284.490277564004	6447.453255963895	5073.939313015322	7962.991051114818	4491.62923642303	7505.09605287541	3526.229349821273	5501.222493887531	4794.968396799203	3838.4041910134997	4098.0982262918615	6018.898199322517	4589.539314166956	6444.053895723492	5972.850678733032	6154.2865321311	3296.7032967032965	239267.9807911278
hsa-miR-142-5p	3675.7301107754283	1251.9638648860957	22420.988566708693	2369.5559452158664	2780.3108397430815	2597.939850246142	801.5416178681485	818.7772925764192	2529.9600532623167	5383.580080753702	44656.92674800774	11008.762075937992	1347.489719582743	1596.2691121926791	2552.9479429808734	2088.9910173386256	1372.7065755993037	1027.939392693407	9052.755714335264	10342.914215958273	9335.430796606235	1943.3735701194464	2491.148576416473	2867.496455018119	1457.6472493656534	4141.639742394345	3766.1311561759285	4038.8416258485863	1175.676013707882	5677.756335822345	846.5445590272433	1289.4906511927788	4907.03341456087	5637.292077455887	6941.608819926501	2625.2393600592995	676.2631629794222	3911.9804400977996	6600.865585204097	8613.741688494862	13382.852020234359	259.1073869376597	952.5458953931417	4017.072558373086	1689.291101055807	4579.9341634464	2197.802197802198	235701.8573403792
hsa-miR-191-5p	5010.070493454179	3387.666928515318	12661.391992348825	4312.591820292877	865.6463933602939	9125.88425102387	8517.937089365661	3343.3406113537117	5259.65379494008	3312.9723573868932	6021.791004457251	2583.689058638508	3554.5849499337874	5852.98674470649	8453.908787441356	4021.3077083768544	1573.5904647113969	2220.349088217759	4959.938954597482	4860.725779602708	6885.524924568688	2433.1669089300385	4442.875216994734	7058.452812352292	6748.3668952113585	4250.059630938699	4424.545693968923	7562.086448397354	2776.596543012232	2636.396318962632	5156.225950438664	2847.6251880507198	3137.830890943686	2072.9056069568733	9799.918334013884	2285.5025016986847	1062.6992561105205	3341.483292583537	5044.057664165395	3677.2113640942976	5186.655567650637	8220.122422297498	7966.74748874264	6820.654448070968	12126.696832579186	4150.565335623301	2845.8720766413076	234860.873886724
hsa-miR-150-5p	2391.742195367573	98.19324430479183	17736.81693692127	663.4756646604426	128.85576084370788	4376.784015223597	303.17377256152764	295.66957787481806	266.31158455392807	5901.2320115954035	95788.68578632208	15165.131431139069	116.16290686058129	328.6436407455516	1953.829844821364	574.4725297681221	334.8064818534887	164.4703028309451	5879.088481148764	8789.25757407613	4745.080846893778	410.79441319598055	460.96056335265445	2142.744603749803	809.804027425363	2146.713793178221	1316.8290755859891	3609.177623098737	775.4458813817946	1855.3949015896892	205.22292340054383	698.4741027294219	2403.4449377440997	2907.1237170736636	7583.270139415506	710.3588856631046	1014.3947444691333	2648.7367563162184	1743.6248715633465	7414.870038283297	12422.360248447205	90.33101562964283	0.0	3473.0939827600637	180.99547511312218	2146.8441391155	1183.4319526627219	226356.32740331173
hsa-miR-30e-5p	6973.816717019135	4234.583660644147	7835.934443333478	3317.3783233022127	1443.8453202230858	5650.932858974889	5778.990472868024	3752.7292576419213	3994.6737683089214	6418.883942437106	5354.89172031876	2864.524825881824	2485.8862068164394	4491.463090189205	4761.226768314687	5431.376645080427	2393.8663452524443	2775.4363602721987	3286.393118518262	6425.4799689268675	8484.410862108982	4992.732098843456	5914.02595109895	4663.620608161336	4642.876423905414	5767.938070559664	3884.6457729786675	3952.9088252986166	6653.8259499212045	3177.725343702608	4027.4998717356725	5265.42015903718	6542.711219414494	5359.219374083624	4491.62923642303	3397.3685836061527	2318.6165587865903	5541.972290138549	5822.461624684746	4201.088051581704	5314.721137222257	4665.121530873002	5368.895046761344	6653.276424805424	5610.859728506787	5080.8644625733505	1155.2550014088476	222624.00402254565
hsa-let-7c-5p	5804.380664652568	3642.969363707777	9129.554530154453	3537.747026207289	2168.7533747937364	6334.202071181345	6841.443478955628	4429.357714701601	2050.5992010652462	2458.846671498085	2966.8576381072435	7442.1478319478765	3026.0437237181422	5176.1373417424375	6695.790854685432	2532.9016085230837	3622.6061336547477	6931.395324931642	1770.6635219035065	2670.069914548885	2378.987544162777	7866.713012703027	4841.393604744298	5120.529383960927	4575.392754953301	2738.686384630397	5629.256179690734	4412.649308240956	4006.0534807514323	1828.3579666572018	7016.058693756092	7774.554051149797	4359.582067630271	4809.393801506648	3660.3861634486384	4271.41886466119	769.2493478890929	4229.828850855746	2479.216614254133	3641.3027834547074	4853.685086764424	7882.5017616246	6494.631104953239	5136.41308896142	7230.7692307692305	2254.1863460712752	8981.403212172443	218475.06868109872
hsa-miR-28-3p	5060.422960725075	2724.8625294579733	14345.954875451029	3743.898393441069	1397.5894060740625	2366.2764241095438	2047.4612311347005	4207.605531295488	3994.6737683089214	3209.441971218553	7380.914862005312	9492.248932824084	3299.0265548405087	2816.9454921047277	2028.5433958859617	6266.973052015876	2209.7227802330253	4790.197569951276	5792.376261662794	8345.355676395517	8226.52603347345	4818.93446249131	4403.644530751954	2930.518355128407	2753.3336932462344	1539.562417329835	5043.455359494338	6616.825642347684	5027.891037346474	1946.3051194849525	2103.5349648555743	2471.5237481194927	3972.360383215943	3058.7997370948983	9041.591320072333	2563.4690221755513	2149.550768041735	3708.2314588427057	3860.8836441759818	5571.227080394922	7747.96695908305	1264.6342188149997	1731.9016279875304	4268.139593271404	2171.945701357466	5510.233290396451	4395.604395604396	204419.08623373456
hsa-miR-127-3p	5563.947633434039	2184.7996857816183	749.9021866713038	995.2134969906639	406.39124573784795	15794.481446241674	18244.416203599878	977.9839883551674	865.5126498002663	310.59115850502127	9063.639638017197	2134.3518310492022	394.9538833259764	12504.10804550932	22897.588866835078	365.5734280342595	870.4968528190706	2919.3478752492756	346.84887794387987	355.1215181444901	180.51938004487195	1643.1776527839222	951.3441413873933	14778.635575862612	6694.379960049668	1756.4021944185442	790.0974453515935	1117.1264071496091	1425.8198464116867	280.9952189489953	6131.034836591247	1773.049645390071	968.054211035818	758.3801001061731	1108.3240972991894	1266.2919266168387	169.06579074485555	5501.222493887531	871.8124357816732	594.3985492645577	768.393417429724	23814.108278362153	9698.64911673017	5105.02970959913	12307.692307692309	286.2458852154	112.70780501549731	198798.22894121648
