name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
hsa-miR-126-3p	79.65053328521114	241.8858298882927	17408.243024990446	16033.57777289111	1977.373293306313	5429.397558608352	13443.16309719934	6735.265735264574	20630.085541414563	5531.358226335768	5144.187312633273	3479.697462505486	5467.545475348216	0.0	772.8664427335692	229.0800798507707	245.80035591130837	14641.976910105073	812.064385164346	14952.073854852246	133255.29289228827
hsa-miR-451a	0.0	0.0	20601.398084106964	12094.499631906532	0.0	4325.779058363806	23086.216364634816	3273.571397881178	19161.276862090548	1990.60841159657	1758.9351462463835	3565.743393823623	5370.011216439774	0.0	0.0	0.0	0.0	16004.021273835777	0.0	17823.225407482663	129055.28624840862
hsa-miR-486-5p	0.0	0.0	20749.34349225136	20555.868939603988	1211.1383234517284	3633.9585059717037	14629.324546952223	4986.419149521738	12610.056332151053	5767.660269497754	4847.541504238545	2366.2631112487848	3314.2891440618514	245.58559886048283	0.0	0.0	11.88589728778087	18030.873005577894	162.28787994946782	13251.468704448078	126373.96440507445
hsa-miR-3168	97.07408744135108	32324.74272143548	4253.430484151348	4120.734657195032	55.359236344702914	72.22302470027445	3844.041735310269	34.83758138929952	909.6599207177134	300.5761989020462	708.459989460349	339.0209693934622	403.2666474099027	249.09396455848974	38762.22466632978	22318.94492260366	23.77179457556174	8723.569853418083	43.540650718149905	6272.361853438756	123856.93495949371
hsa-miR-27b-3p	1708.7528468842952	2928.2845163749375	5527.404832061414	5264.852013678417	11938.03328364156	10267.073142917963	4616.511074501189	9107.8985699947	4208.915779956882	9729.972929237934	9164.028845605746	11995.663285061566	12153.643967443564	4731.031143762301	2165.016894067755	2208.9864842752886	1581.220535851115	5775.176200977214	1125.251521908933	5076.048706509417	121273.76657471222
hsa-miR-1307-3p	2670.781944219736	7872.284281818981	6090.419301944249	9981.547522300727	5526.001816143746	2036.1824683042287	6304.2284459088405	2942.614374682833	5733.361151679533	4446.259244135928	7831.449341620803	2018.6375487235086	2068.851684154059	2441.822525812801	7966.469486638329	8541.41440586445	4675.436557121483	8447.918017901155	6886.922638471769	7199.9646627501215	111682.5674201973
hsa-miR-29a-3p	861.2213911463455	6882.751341366875	8124.668663929677	5736.521564540648	2870.149029469529	6682.530390688552	7292.69632070291	4017.9343868992114	5023.993323596912	4039.8197298973123	4208.880528518132	8200.177254618517	8327.925183720781	518.0686680723519	7342.2312059689075	6872.4023955231205	962.2822444187392	7604.747697496433	1567.6717543257323	6316.5334157869165	103453.2064906876
hsa-miR-93-5p	27.37987081679133	65.96886269680711	5806.857269667493	5038.5781075215355	3578.957717494714	7604.957793878022	13003.844041735309	6188.315707452572	12835.384936365534	5323.41242835322	6543.657538118987	9275.751396095236	9338.905290483282	59.64221686611726	178.3537944769775	98.17717707890172	213.94615118005564	5107.666363990142	750.8158142976663	12279.694332788551	103320.26681135793
hsa-miR-25-3p	146.85567074460803	417.8027970797783	7865.764199676985	7600.891073016358	2193.511085715265	8486.416580717045	8325.096101043382	6251.023353953311	8729.397037346129	6370.703083647142	6515.737932623012	8212.223685003055	8123.4783717780865	722.723333789421	386.4332213667846	458.1601597015414	402.2187642185046	8383.058762485407	878.521167839417	8370.511064976368	98840.52744672158
hsa-miR-200a-3p	24.890791651628483	505.7612806755211	5991.789029847986	4589.217251632518	10844.660178849796	7088.626520801498	4546.952224052718	5837.036761777134	3258.9192572501565	6779.033014231054	6288.89113796822	9489.145305764217	9490.833655321432	1517.3681643879831	416.1588537796142	687.240239552312	2449.207995120126	6145.414450642107	3117.8439169752705	4130.041079552984	93199.03110983428
hsa-miR-10a-5p	776.5926995308087	263.87545078722843	1812.3312497688353	2151.1955867027427	12517.16305448589	2007.0398443023637	2723.7781438769903	12230.313573070085	3112.8729397037346	11573.128865901426	11000.324565413892	1788.0344527908999	1781.8758839042214	11300.445913280217	59.45126482565917	229.0800798507707	3404.596419111952	1880.918407056687	3807.8278173509284	4019.612173682583	88440.45838539791
hsa-miR-99a-5p	1653.9931052507127	4969.654323159469	5202.746853077881	9618.23448987982	506.8583441702891	2330.1428495404334	8522.789676002196	2284.7647127815603	7452.534946797413	2151.2938009467202	1996.2517929621656	1886.1268144935768	2054.7842429653415	426.26643230783804	6926.072352189293	5399.744739339595	37.08399953787631	7945.258788429109	108.85162679537477	10071.116215380538	81544.5701060072
hsa-let-7d-5p	341.0038456273102	2792.681854164834	5523.295237390736	5409.061791898119	2526.76579615489	5074.301020498669	2833.607907742998	6908.582702676339	4210.306697266848	6668.916262117568	7449.299741394654	5254.825025598665	4633.346212857266	796.3990134475657	3968.3719271127497	2896.226723827601	716.4818885074308	4637.43676222597	820.345441939688	2777.2869826405763	76238.54283509048
hsa-miR-148a-3p	6548.767283543453	2462.8375406807986	5880.82997373969	4025.1259644526876	3034.159693018941	4320.710775928699	3624.3822075782537	4303.602554291468	4990.61130815773	3432.9960830573323	3304.9833005859628	4286.808298269617	4798.873104177843	3817.1018794315046	1724.086679944116	1799.9149131131983	2159.4298192440283	3729.4071864055004	1352.155949694507	3158.2667078934583	72755.05122320878
hsa-miR-103a-3p	277.1174803881304	1421.9954847978422	4372.608729600999	3527.960762192498	5625.6334085061435	3949.0367306875214	5725.7916895478675	6037.352854765606	4300.716322414632	5480.3169850127815	6642.539474250561	4356.792322408368	4437.808780334093	187.11283722703456	1813.2635771826046	1309.0290277186896	814.7386394197526	3199.723267176893	1146.4315832630564	5985.246698175713	70611.21665507079
hsa-miR-30c-5p	19.912633321302785	835.6055941595566	6521.9267423654	4053.8085722753913	2009.4312896417043	5455.161327653478	5359.692476661175	4021.8052292758002	5688.8517977606225	4762.588912582108	4592.775104087779	5533.32702329837	5440.035812579168	35.08365698006898	564.7870158437621	130.90290277186895	227.73379203388146	5658.970035023998	400.8934235978938	5433.1021688237115	66746.39551073704
hsa-miR-20a-5p	112.00856243232816	1385.3461166329491	5432.884154635828	3910.395533161875	3751.311728273266	3646.2068551898788	6875.343218012081	3806.199308899802	3980.80534112247	3368.7219273172723	3919.2146214973986	4821.440351526311	5278.10393400682	122.79279943024142	1337.6534585773313	687.240239552312	935.1823986025988	4134.777532753924	1961.7597811606615	5344.759044127391	64812.14690691274
hsa-miR-203a-3p	7.467237495488544	8092.180490808338	1097.2617770709276	1548.860822425975	1728.6513475295012	979.4455805844236	7644.151565074135	2852.036663070654	6509.493010640517	2591.7608094006623	2554.6439028816526	925.8542209831609	1101.0117303702925	175.41828490034487	6658.5416604738275	4614.327322708381	222.50399722725786	2610.58503048385	3229.9246350918474	7995.0527850170065	63139.17287423824
hsa-miR-181b-5p	261.35331234209906	2990.5884422552554	1269.864753239388	1587.1042995229127	3596.6591433727554	6690.132814341212	373.4211971444261	8134.5752544014385	467.3482161485499	7416.103322595769	8592.258591386104	6584.234664463891	6206.555052462178	870.0746931057106	2883.3863440444698	2192.623621428805	157.84471598172996	1605.2665715397588	98.12271047008903	507.972967003843	62485.490687250385
hsa-miR-423-5p	2013.6650446167441	5541.3844665317965	3143.8399230683876	3881.7129253391718	563.9651735156904	2754.611503480643	3931.905546403075	1705.8802353627	4414.7715418318385	2398.938342180482	2240.548341051941	2712.167755147698	2710.3270023595787	2982.110843305863	5201.985672245178	5007.036031023988	606.1807616768243	4037.4886496303025	1192.6805041215705	4704.271390079067	61745.47165297254
hsa-miR-128-3p	1528.2946074099887	3122.5261676488694	2860.2778907916313	3986.88248735575	3529.9123655396306	2266.7893191015964	2086.765513454146	3048.288371563708	2862.5078239098684	3234.5023668012645	2732.631387918489	1698.5466842200367	1643.0771308422084	3406.6230927646975	3032.0145061086178	3665.281277612331	2359.5883295702583	3615.9034894279416	4365.731466265786	3114.095145545298	58160.23942385212
hsa-miR-143-3p	9.956316660651392	43.9792417978714	6349.32376619694	6874.265008174543	16.573946522752195	2830.635740007248	7995.606809445359	2083.2873670801114	8203.63029417901	1690.0322126945239	1685.646181819451	2448.867205314197	2678.440802331819	42.10038837608277	0.0	0.0	1.901743566044939	6469.710727720846	5.2082118083911375	7464.9940368390835	56894.16000053493
hsa-miR-31-5p	248.9079165162848	3430.3808602339695	4783.5681966687625	2055.586893960399	1305.7338413604978	4674.223475777411	3800.109829763866	1403.9545299887707	3179.636970582099	1504.7714108555267	2093.970412198076	5493.172255349906	5756.396934423216	80.69241105415864	3299.545197824084	1112.6746735608863	233.43902273201627	2886.2368660007783	552.2787801617961	4196.2984230752245	52091.57890208773
hsa-miR-183-5p	2354.668890244054	967.5433195531708	2280.8250422260853	1988.6608090407578	2154.049308280141	1711.8123924573822	1208.1274025260846	3645.1722660337064	1343.6261214270812	3177.7898764423876	3130.4857662361233	1942.9171291635475	2053.84641355276	13566.850154192673	772.8664427335692	981.7717707890172	2456.1018155470388	1880.918407056687	970.3940241394366	1236.8037457484872	49825.23109739019
hsa-miR-155-5p	67.2051374593969	417.8027970797783	6460.282822305236	4876.043329859551	48.819856084025176	9268.621503201888	1032.3997803404723	239.21805887319005	1101.6065094930107	158.7949730048546	202.41713984581398	8626.965073956479	8888.74717244432	796.3990134475657	237.8050593026367	327.2572569296724	692.2346580403578	4702.296017641717	256.6606779175152	949.6885904854455	49351.265427712926
hsa-miR-224-5p	604.8462371345721	1737.1800510159203	2145.208418093723	1902.612985572648	2105.2294521961157	6851.050781655858	263.59143327841844	3026.2245700171516	609.2217817650741	3208.0365379671216	3120.015914175133	6735.675503583813	5855.80685215682	2722.4917816533525	2021.3430040724118	1570.8348332624275	1026.9415256642671	2075.4961733039304	168.74606259187286	618.4018728742436	48368.95577203489
hsa-miR-101-3p	2755.410635835273	659.688626968071	3045.2096509721246	3030.7955599323086	1058.8158625521487	1051.668605284698	6304.2284459088405	855.8432494637916	3546.8391404131025	990.5781649350453	767.7891511392944	1156.4573169157698	1629.947519066072	2887.3849694596765	178.3537944769775	752.6916909382466	2535.9750453209263	2772.7331690232195	5499.455012716369	4571.756703034587	46051.62231435654
hsa-miR-17-5p	4.978158330325696	197.9065880904213	3558.908984806829	1606.2260380713813	1358.1240487362722	2760.5244996549345	3075.233388248215	2446.372382004144	2845.8168161902777	2206.1158749603014	2533.7041987596717	3836.2144379336355	3807.5874150795466	31.57529128206208	505.33575101810294	294.5315312367052	156.89384419870748	2043.0665455960566	499.2939053644303	2230.6638985820928	35999.0735981441
hsa-miR-182-5p	266.33147067242476	307.8546925850998	3020.552082948059	2103.3912403315708	1526.8325429327226	2165.4236703994566	2965.4036243822075	3346.7303187987072	1769.2468182766534	2710.8570391543035	2935.048527764303	2058.218677129852	2170.1372607128255	1364.7542565246831	653.9639130822509	490.8858853945086	650.3962995873692	2351.1480088208586	523.1127940348058	1899.377180970891	35279.66630450355
hsa-let-7e-5p	583.6890642306879	3422.684492919342	708.9050806918914	994.3304045203789	1664.3061007231427	1094.115470678719	1142.2295442064799	3038.708036681651	1934.0705195076152	3114.74449132677	3858.1404844749545	1044.855743996145	1034.8947567833202	720.6183143706168	3737.9982759133204	3207.1211179107895	201.6561333844902	1106.6610455311973	518.1545763932176	1700.6051504041698	34828.4888046489
hsa-miR-125b-5p	716.8547995669003	6376.990060691353	1393.1525933597168	1147.3043129081295	885.9732773863045	1961.4253023864007	900.6040637012629	1640.8500834360075	776.1318589609848	1967.9234154530195	1650.7466749494831	2101.2416427889207	2031.3385076508123	217.51867327642765	4756.101186052733	4025.2642602349706	167.82886970346587	599.9481125956675	210.2034285866663	1192.632183400327	34720.03330708955
hsa-miR-26b-5p	19.912633321302785	329.8443134840355	2687.6749146231705	2246.804279445087	565.2054008065086	2674.786055127708	3887.973640856672	1514.2735377215524	3296.4740246192364	1228.770624442327	1539.0682529655858	2366.2631112487848	2635.300649353085	56.13385116811036	475.6101186052734	65.45145138593448	59.90492233041558	3145.6738876637696	152.42699892558062	3555.8107690269007	32503.363437121043
hsa-miR-30e-5p	114.49764159749101	681.6782478670067	1602.741921564276	1434.130391135162	2878.736663892316	1364.635045652554	3514.552443712246	1547.369240041387	3012.7268933861883	1886.635512605296	1542.5582036525825	1696.825765593674	1853.15091926039	205.2393933334035	416.1588537796142	425.4344340085741	419.8098922044203	1264.7554806070827	2201.8236241154373	2716.5510844118558	30780.011652420955
hsa-miR-23b-3p	8.711777078069968	208.90139853988916	2071.235714021526	1840.4673352901245	2478.1996229258043	2130.5792286580963	922.5700164744645	4398.244650399065	1443.7721677446275	3701.4352040893486	4615.459783553259	1947.2194257294545	1964.7526193575493	24.558559886048283	282.39350792188105	98.17717707890172	88.19335787533404	1256.6480736801143	84.89385247677554	938.6456998984054	30505.059172678742
hsa-miR-424-3p	993.1425868999764	9257.63039845193	147.94540814439472	57.36521564540648	384.1322163470526	205.26543862183266	87.86381109280615	404.11594411587447	75.10953473815981	330.8228604267804	338.5252166386889	213.3939096689813	174.43627074009746	63.15058256412416	7817.841324574181	9228.654645416762	72.26625550970769	48.64444156181087	140.41339035422504	132.51468704448078	30173.23413855727
hsa-miR-1180-3p	246.41883735112197	1121.4706658457208	1121.9193450949933	1319.399959844349	2254.5077188364144	897.0859910139353	1186.1614497528828	2872.939211904234	1260.171082829126	3172.1186274065	3880.825163940434	731.3904162041698	795.2793418688315	389.42859247876567	1307.9278261645018	1047.2232221749516	453.09040461020675	1297.1851083149566	1484.1320369191385	1634.3478068819295	28473.022809437156
hsa-miR-92b-3p	1107.6402284974674	2242.9413316914415	1491.78286545598	1548.860822425975	838.5063965286264	1282.2754560820656	1361.8890719384951	846.5532277599783	1285.2075944085125	1156.9348033210833	1005.1057978550764	1089.3414904876224	1054.1202597412341	1571.74783270709	2021.3430040724118	3108.943940831888	676.545273620487	1410.6888052925153	811.0227428026678	1634.3478068819295	27545.798752402545
hsa-miR-151a-5p	102.05224577167678	340.83912393350334	209.58932820455917	210.33912403315708	1647.1345901420873	8433.621972018012	307.5233388248215	7019.772649943853	1260.171082829126	2237.3077446576835	856.7828936577126	1757.0579175163703	1120.7061480344971	354.34493549869666	89.17689723848875	130.90290277186895	91.99684500742393	324.29627707873914	359.26245054282066	397.5440611334423	27250.422528838535
hsa-miR-425-5p	79.65053328521114	571.7301433723283	2749.318834683335	2093.8303710573364	808.402697742403	1834.7182415087264	2196.5952773201534	1355.1819160437515	2637.1792196953893	1608.7443098468007	1710.0758366284285	1591.8497293855462	1826.8916957081174	101.74260524220003	416.1588537796142	392.7087083156069	129.79399838256708	1945.777662472435	431.4482662071218	2650.2937408896155	27132.092641566687
hsa-miR-125a-5p	107.03040410200248	1913.097018207406	900.0012328784012	334.63042459820446	1224.8935715862576	899.6201322314888	1383.8550247116968	3726.459955942072	1552.2637179219696	4327.163014382288	3594.6492076066966	941.3424886204257	799.0306595191561	21.050194188041385	1099.8483992746947	1472.657656183526	49.44533271716841	372.94071864055	300.4096571080008	1634.3478068819295	26654.736617301976
hsa-miR-150-5p	0.0	0.0	3735.6215556459665	3757.421624774124	0.3382438065867795	774.180141962591	2921.4717188358045	598.0451471829751	4389.735030252452	572.796152624654	533.9624551105093	579.9495770842476	806.5332948198054	0.0	0.0	0.0	0.0	3421.325723180698	0.0	3931.2690489862625	26022.64971426667
hsa-miR-339-5p	9.956316660651392	153.9273462925499	3230.141411152618	2285.0477565420247	681.223026465774	788.1179186591352	2482.1526633717735	1574.6586787963383	2653.87022741498	1540.6893214161487	1846.1839134213035	855.296557302288	1037.239330314773	24.558559886048283	89.17689723848875	130.90290277186895	106.97307559002782	2675.444285899598	290.61821890822546	3047.8378020230575	25504.016210127673
hsa-let-7d-3p	191.65909571753932	1363.3564957340134	1590.4131375522431	1587.1042995229125	529.0133135017231	1672.533203585303	856.6721581548599	1421.3733206834204	1018.1514708950552	1920.663006820622	1860.1437161692907	1648.640044055517	1725.6061191493511	1185.8276059263314	2288.873695787878	1210.851850639788	306.1807141332352	1410.6888052925153	338.1171106007526	1060.1174963558462	25185.986660278202
hsa-miR-223-3p	0.0	0.0	3452.05952336921	2610.117311865995	1.0147314197603385	1277.2071736469586	3712.2460186710596	242.70181701212	4322.970999374087	283.5624517943832	247.7864987767723	980.923617026769	1142.276224523864	0.0	0.0	0.0	0.0	3242.9627707873915	0.0	3180.3524890675385	24696.181627335907
hsa-miR-429	0.0	153.9273462925499	1183.5632651551578	850.9173654068627	3195.501988760835	1980.431361518052	856.6721581548599	2854.3591684966073	675.9858126434383	2461.322081575246	2202.158883494976	2460.913635698736	2644.678943478897	206.99357618240697	178.3537944769775	0.0	363.2330211145834	972.8888312362175	641.9641875022916	795.0881222668846	24678.953543455573
