name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-4645-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07167087529991574	0.0	0.2728245718905024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2209152385785165
hsa-miR-98-5p	1.8274058379303666	2.989832340337379	23.62159978117222	3.8728436974503526	4.301054126922878	15.046992741300455	13.124941115129051	14.524441571587776	24.400237041537974	19.4605548327798	25.979065974168687	74.44396910996494	88.40334552758343	13.90890064165236	31.40797902760445	84.36682696363789	23.495054726073768	23.38262306659751	49.91145707514869	10.23092144589384	8.107614475507136	8.966728058864776	11.416757971698635	29.486617041448078	25.283941253965427	11.215283290846102	4.9707653209586615	5.849555287559263	21.619372038314935	7.202923349658999	23.88780669979406	23.240235683331285	19.32892553125895	18.71470478656887	17.208402898837583	20.44345023655343	5.743796203041429
hsa-miR-516a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19303010748495478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-651-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3531861131176007	0.0	0.0	0.0	0.0	0.1506377891012204	0.0	0.0	0.25084806354970507	0.0	0.0	0.0	0.0	0.653215650001829	0.5936504336913243	0.7154988681702279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3228213032360576	0.0	0.0	0.0	0.0
hsa-miR-6866-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17632099024689257	0.0	0.0	0.0	0.37441014489747493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45569089575159377	0.0	0.3838913802373102	0.0	0.0	0.0
hsa-miR-6131	0.0	0.0	0.0	0.0	0.0	0.0	0.18918834039825658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8701872120768062	0.2150126258997472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.667153639404644	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6505-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.37837668079651315	0.0	0.27992623757022533	0.0	0.0	0.14976405795898998	0.0	0.0	0.0	0.0	0.0	0.14334175059983148	0.0	0.0	0.0	0.0	0.21773855000060968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-656-3p	0.0	0.0	0.27190330683363706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5623486474747759	0.0	0.0	0.0	0.0	0.44547332283006236	0.0	0.14515903333373978	0.0	0.0	0.6408733309054916	0.0	0.0	0.19303010748495478	0.0	0.0	0.0	0.4842319548540864	0.0	0.0	0.0	0.2209152385785165
hsa-miR-3667-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.18918834039825658	0.0	0.3732349834269671	0.14127444524704028	0.37787732326063544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2728245718905024	0.0	0.0	0.14515903333373978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-148a-5p	0.9967668206892909	1.2162029858999508	1.2235648807513668	1.7704428331201612	1.996917987499908	1.209808461612097	2.175665914579951	0.17632099024689257	4.012276071839896	1.8365677882115234	3.5898345709760364	2.0966968114258595	2.4098472955869226	3.593132665760193	1.7323345746640344	4.687045942424327	0.8701872120768062	3.261024826146166	0.0	4.9108422940290435	3.1183132598104364	3.785951847076239	3.411237283342885	2.968252168456621	1.9676218874681266	5.287204979970306	2.3391836804511352	2.437314703149693	1.4477258061371607	2.5930524058772395	1.853204553901789	2.9619908223853595	4.358087593686777	2.8791853517798263	6.426374526536857	3.0286592943042123	2.319610005074423
hsa-miR-6750-5p	0.11075186896547677	0.0	0.4078549602504556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4056762687148605	0.22595668365183058	0.0	0.0	0.0	0.0	0.2728245718905024	0.44547332283006236	0.0	0.36289758333434946	0.0	0.0	0.0	0.0	0.0	0.2895451612274321	0.0	0.14825636431214312	0.45569089575159377	0.0	0.3838913802373102	0.0	0.0	0.0
