name	SRX326607	SRX326606	SRX326605	SRX326604	SRX326603	SRX326602	SRX326601	SRX326620	SRX326629	SRX326628	SRX326623	SRX326609	SRX326608	SRX326622	SRX326625	SRX326624	SRX326627	SRX326600	SRX326618	SRX326619	SRX326621	SRX326610	SRX326611	SRX326612	SRX326598	SRX326614	SRX326615	SRX326616	SRX326617	SRX326632	SRX326633	SRX326630	SRX326631	SRX326636	SRX326637	SRX326634	SRX326635	SRX326638	SRX326639	SRX326599	SRX326613	SRX326626
hsa-miR-3936	0.0	0.0	0.20311101072913604	0.2711714389224298	0.20801894303702873	0.0	0.0	0.0	0.12991549906194513	0.0	0.3006614250690093	0.0	0.26890904541456967	0.20933986557449874	0.0	0.0	0.39743974614728533	0.0	0.0	0.0	0.18753016305466383	0.0	0.0	0.0	0.0	0.15440850963825636	0.0	0.19054426014474313	0.3836859791167396	0.6843260590776732	0.0	0.3145138221748285	0.0	0.0	0.0	0.0	0.0	1.7856963490322086	0.0	0.3087353264531323	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.20801894303702873	0.3365091383262877	0.0	0.0	0.0	0.0	0.3006614250690093	0.0	0.0	0.0	0.4132239373464357	0.3807535913154675	0.39743974614728533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3087353264531323	0.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.2711714389224298	0.0	0.5047637074894316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20933986557449874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667887630979539	0.0	0.0	0.0	0.0	0.0	0.17822508313086222	0.0	0.0	0.4785921541755909	0.5051249982320626	0.0	0.0	0.0	0.2636256568398006	0.46214842636150083
hsa-miR-6766-5p	0.0	0.0	0.0	0.5423428778448596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13445452270728483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.27667665592361956	0.0	0.20311101072913604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2004409500460062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19054426014474313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29328259674757423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	15.862794939620855	21.504175683505547	7.515107396978034	52.47167343149016	23.40213109166573	72.1812101709887	44.21560810966271	47.2957624267498	7.794929943716708	21.11036118433906	35.778709583212105	23.887893161875592	25.075768484908625	25.330123734514345	41.04691110974594	19.608809952746576	39.6114946993461	24.950397524920565	139.8062134879932	49.58423940050273	9.84533356036985	39.234701987287956	18.969553248463825	16.437594896149303	34.04375911188114	8.029242501189332	35.56206736522421	29.1532718021457	15.539282154227951	13.686521181553463	13.792937255135728	45.44724730426272	22.27813539135778	30.012809957294834	47.646979092742335	24.76714397858683	66.67649976663226	2.6785445235483127	44.04224346552188	21.61147285171926	22.14455517454325	38.12724517482382
hsa-miR-3157-3p	2.1211876954144167	0.0	0.20311101072913604	0.8135143167672894	0.8320757721481149	0.3365091383262877	0.0	0.0	0.6495774953097256	0.0	0.0	0.47775786323751185	0.6722726135364242	1.151369260659743	0.27548262489762376	0.0	1.9871987307364265	0.5423999461939253	0.7810402988156044	0.0	0.7501206522186553	0.0	0.0	0.0	0.0	0.6948382933721536	0.0	0.0	0.7673719582334791	0.8798477902427226	0.0	1.5725691108741424	0.26733762469629335	0.2450025302636313	0.5918879390402774	0.23929607708779546	0.5051249982320626	0.0	0.42145687526815195	0.0	0.0	0.0
hsa-miR-6855-5p	0.5533533118472391	0.0	0.4062220214582721	0.9491000362285043	1.6641515442962298	1.3460365533051508	0.800282499722402	1.129451043026861	0.7145352448406983	0.5974630523869545	0.2004409500460062	0.0	0.8067271362437091	1.7793888573832393	0.27548262489762376	0.0	1.0598393230594274	0.5423999461939253	1.0413870650874726	0.0	0.18753016305466383	0.0	0.0	0.22517253282396305	0.5750634985115056	0.4632255289147691	0.4445258420653026	0.666904910506601	1.1510579373502188	0.19552173116504948	0.31707901735944205	0.0	0.0	0.6125063256590783	0.0	0.0	0.0	0.0	0.0	0.41164710193750975	0.2636256568398006	1.1553710659037522
hsa-miR-361-3p	72.39705830001378	61.440501952873	46.004643930149314	166.49926349837187	141.03684337910548	240.60403390329571	161.4569943189946	198.50102081197082	21.046310848035112	99.3780210470301	167.86929566353018	158.13785273161642	77.3113505566888	51.497606931326686	152.7551155057324	144.87674149553536	243.49808447290349	38.239196206671735	157.24944682820836	70.3706454373947	26.254222827652935	173.03509594393662	96.49729261175077	50.21347481974376	45.66004178181355	17.370957334303842	177.58807390508838	83.93474659375934	129.68586094145797	42.72149825956331	80.22099139193884	133.6683744243021	90.98390493830516	53.53305286260344	160.40163147991518	124.67325616274144	192.45262432641582	20.758720057499424	149.827919157828	37.56279805179776	45.343612976445705	196.41308120363786
