name	mean Cancer	noSamples_Cancer	stddev Cancer	mean Normal	noSamples_Normal	stddev Normal	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-6812-5p	0.0060909031727660904	142.0	0.0725814880484113	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988712	0.5542993355504104	1.0
hsa-miR-3059-5p	0.596544337895344	142.0	0.5157126193562399	0.7480638318068229	50.0	0.55145703244825	1.2539953600868157	0.3265320100282092	1.7544957028825126	0.0809576438656127	1.0
hsa-miR-671-5p	25.902553689197042	142.0	10.85169827307639	23.06852837177645	50.0	7.000364755411058	0.8905889607864202	-0.16716836578944777	-1.7231437155092038	0.0864894468809551	1.0
hsa-miR-3157-3p	0.019305985769075096	142.0	0.11770874220771727	0.03534650722196093	50.0	0.17809264731525598	1.830857416179184	0.8725194410637277	0.7178940504067846	0.47370437896746354	1.0
hsa-miR-6855-5p	0.014690137334127646	142.0	0.17505318950297707	0.025670167863645194	50.0	0.18151549770580508	1.7474423335722737	0.805244846764071	0.37778209214575664	0.7060141685111327	1.0
hsa-miR-361-3p	314.64454938815	142.0	42.26226621432284	335.2759847975032	50.0	56.41147060806944	1.0655706111848198	0.09162619802987973	2.7081763580606553	0.007382957932411637	1.0
hsa-miR-484	220.3025301462277	142.0	85.88202952371898	215.13733492225865	50.0	48.68222738529486	0.9765540812420964	-0.03422815258860722	-0.40266461954101557	0.6876476455871987	1.0
Hsa-Mir-3059_5p	0.596544337895344	142.0	0.5157126193562399	0.7480638318068229	50.0	0.55145703244825	1.2539953600868157	0.3265320100282092	1.7544957028825126	0.0809576438656127	1.0
hsa-miR-30b-3p	1.2392343890297526	142.0	1.002192139971017	1.3034597498013663	50.0	0.9749698592847444	1.0518266450157976	0.07289694894137969	0.392424414830435	0.695184516433169	1.0
hsa-miR-1301-3p	1.1104112377836577	142.0	1.8024274912079268	1.4985663244474332	50.0	1.6200331316524492	1.3495597607950363	0.43248886320246854	1.3432667472322541	0.1807878477935808	1.0
hsa-miR-6715b-3p	0.03733782614028331	142.0	0.1978652240459757	0.052036122853377574	50.0	0.22149582067587242	1.3936570023619146	0.4788755383368939	0.43766784059430636	0.6621241951170946	1.0
hsa-miR-3920	0.004576468377154982	142.0	0.054534914674987243	0.0	50.0	0.0	0.0	-Infinity	-0.592381697598869	0.5542993355504223	1.0
hsa-miR-629-5p	107.3896980745036	142.0	204.85230746394433	81.84412983221424	50.0	136.34997329821152	0.7621227296442658	-0.3919047517728319	-0.8194553663137802	0.41355337857741425	1.0
hsa-miR-2467-5p	0.004365763357193782	142.0	0.05202407458210358	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988677	0.5542993355504223	1.0
hsa-miR-1298-3p	42.203152656405756	142.0	12.575283422589962	44.09079706215283	50.0	10.004515262231	1.0447275686040616	0.06312678281816127	0.9593483476081847	0.3386024888694432	1.0
hsa-miR-493-3p	1.071162585081072	142.0	1.4406472536447497	1.5523926390261296	50.0	2.244333552520277	1.449259580802699	0.5353160230496188	1.7367225529414416	0.08405691136796214	1.0
hsa-miR-218-2-3p	2.802745129330896	142.0	1.6958357691237658	3.062581597394799	50.0	1.6083597302770376	1.0927078475116052	0.12790772554163413	0.9440554197311469	0.34634025043550865	1.0
hsa-miR-3190-3p	0.018376473437478065	142.0	0.11088096438138606	0.0	50.0	0.0	0.0	-Infinity	-1.1699060336007097	0.2435042127615532	1.0
hsa-miR-122-5p	2091.2090452568414	142.0	2595.0934075427404	1541.1211090794864	50.0	1159.747807964764	0.7369522012038766	-0.44035704588238517	-1.44695020956053	0.14955867597894745	1.0
hsa-miR-582-3p	1.5465302717106697	142.0	1.9522844095708527	1.6096911100719467	50.0	1.622683958624246	1.0408403505037198	0.05774879755190832	0.2050810305487546	0.8377283573930826	1.0
hsa-miR-3918	0.008509624867937713	142.0	0.10140388348485195	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988684	0.5542993355504223	1.0
hsa-miR-3917	0.06804443014860227	142.0	0.2488849261972935	0.0	50.0	0.0	0.0	-Infinity	-1.929922153031016	0.05510570528611668	1.0
hsa-miR-3916	0.0095429754578373	142.0	0.08245194755003446	0.0	50.0	0.0	0.0	-Infinity	-0.8170124842568808	0.41494455197541746	1.0
hsa-miR-4687-3p	0.011050479378169631	142.0	0.09327409916698158	0.0	50.0	0.0	0.0	-Infinity	-0.8363072452387158	0.40403262620329217	1.0
hsa-miR-3911	0.004897528228165537	142.0	0.042217884729932716	0.0	50.0	0.0	0.0	-Infinity	-0.8188913472880331	0.41387432899975074	1.0
hsa-miR-211-5p	0.12360553918594323	142.0	0.24206836175399474	0.09583101986926236	50.0	0.18693448315463468	0.7752971306981729	-0.36717876923456105	-0.7371518964295567	0.46193929211543483	1.0
hsa-miR-4724-5p	0.02557144999349384	142.0	0.13837541791501767	0.0	50.0	0.0	0.0	-Infinity	-1.3044943830044728	0.1936429969318365	1.0
hsa-miR-3059-3p	1.433617831661832	142.0	1.074660834213337	1.0579964637017987	50.0	0.8536789236510052	0.7379905860095102	-0.43832568185916915	-2.2344506623786566	0.02661870920474008	1.0
hsa-miR-671-3p	7.2859042578127955	142.0	3.8747712921460398	7.43266474341311	50.0	3.4114150502660947	1.020143070840238	0.028771498390031174	0.23730902517809369	0.812672746370099	1.0
hsa-miR-92b-5p	11.505808675296304	142.0	5.259549441004121	10.820657189201015	50.0	3.658324509550226	0.9404516878881922	-0.08857426218021648	-0.8508212739835599	0.3959396120091797	1.0
