name	SRX590714	SRX590715	SRX590712	SRX590713	SRX590710	SRX590711	SRX590705	SRX590704	SRX590707	SRX590706	SRX590701	SRX590700	SRX590703	SRX590702	SRX590709	SRX590708	SRX590693	SRX590697	SRX590696	SRX590695	SRX590694	SRX590699	SRX590698
hsa-miR-214-5p	0.8001325019423217	1.0316297687086058	0.0	1.0833666919993912	1.2014426923850159	0.701571977250827	0.9176798361880314	0.0	0.6252919331712994	0.0	0.8529577589729024	0.814984633464736	0.0	0.8528610075358799	0.7533498643405231	0.8145707151238494	0.0	0.0	1.4625391082957557	0.0	1.5689736506565108	0.633195328411506	0.961071479370921
hsa-miR-98-5p	139.34307521325533	118.15599617609232	55.99498041601704	61.58939644016539	204.0049691669757	170.55214766967603	126.11979882010844	169.63414074704212	111.28633180616198	138.20338357157226	120.99205811030623	67.3177307241872	127.24036342787086	150.14618037669166	144.26649902121017	107.27896318181097	82.83751508308951	118.30548422426081	26.910719592641907	102.77632532829632	58.79728755835274	161.90804547482207	137.32109654411508
hsa-miR-767-5p	264.44379189193734	296.76549679850893	309.9212837966308	284.92543999583984	406.0876300261354	370.78078997706206	399.8025152992523	361.762762499326	233.23389107289466	364.2249357668887	400.89014671726414	290.5420218301784	313.2665482570681	360.33377568390927	370.6481332555374	419.09663293122054	309.04765242537235	341.6246693202387	352.76443292093626	322.26474891075964	324.25455446901225	298.86819501023086	373.21609115570766
hsa-miR-6132	0.0	0.0	0.6337858564348278	1.0833666919993912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5792833222593671	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-651-5p	1.2001987529134825	1.0316297687086058	0.0	1.0833666919993912	0.0	2.806287909003308	0.9176798361880314	1.207217227472723	3.751751599027796	0.0	0.8529577589729024	0.0	2.9006161875654453	0.0	0.0	0.8145707151238494	0.0	1.148318216202483	0.0	1.4516430131115299	0.5229912168855037	0.0	0.640714319580614
hsa-miR-6131	6.000993764567412	4.470395664403958	4.11960806682638	3.2501000759981733	4.0048089746167195	5.612575818006616	10.40037147679769	5.231274652381799	5.002335465370395	5.970900586342437	5.1177465538374145	7.742354017914992	3.8674882500872605	11.513623601734379	10.170223168597062	4.072853575619247	7.530683189371772	8.03822751341738	5.557648611523872	14.5164301311153	5.4914077772977885	6.648550948320813	17.940000948257193
hsa-miR-6866-5p	0.0	0.6877531791390705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30620003006884294	0.0	0.2716615444882453	0.0	0.28428700251196	0.25111662144684105	0.4072853575619247	0.0	0.0	0.0	0.0	0.0	0.422130218941004	0.0
hsa-miR-656-3p	1458.6415510408524	1300.197385162413	589.7377394126073	570.9342466836791	1585.1033921532976	1642.7307847328116	956.2223893079287	1318.2812124002135	1161.4797658656885	1218.0637196138573	1113.9628332186105	1049.2927155858476	1352.1705794367585	1497.6239292330051	1670.55332417511	1151.8029911851231	808.1002345518172	1041.5246220956521	484.10044484589514	834.1140753338851	827.110609504424	1599.1348019032584	949.53862161847
hsa-miR-376a-3p	12.001987529134825	14.442816761920481	10.45746663117466	6.500200151996347	30.0360673096254	23.151875249277293	22.63610262597144	26.558779004399906	9.06673303098384	25.261502480679543	22.603380612781915	6.927369384450256	14.986516969088134	27.291552241148157	18.833746608513078	19.549697162972386	10.427099800668609	11.19610260797421	8.775234649774534	15.387415938982217	11.50580677148108	15.829883210287651	14.736429350354122
hsa-miR-148a-5p	6.401060015538573	5.8459020226820995	12.99261005691397	17.875550417989952	21.225487565468615	8.769649715635337	10.40037147679769	9.657737819781785	9.69202496415514	7.808100766755495	13.647324143566438	11.002292551773936	4.834360312609076	11.08719309796644	6.780148779064708	12.218560726857742	8.689249833890507	15.78937547278414	15.21040672627586	13.935772925870687	10.459824337710073	7.598343940938072	12.81428639161228
hsa-miR-618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8528610075358799	0.0	0.0	0.0	0.5741591081012415	0.0	0.8709858078669179	0.0	0.0	0.640714319580614
hsa-miR-185-5p	999.9655943024165	1031.6297687086058	1529.3252715772394	1283.2478466732787	1852.8248721064253	1522.9373696172327	1844.6894173773078	2085.065354716638	1765.6680962924565	1861.5430828035308	1946.8760848556497	1073.7422545897896	2046.3847203274217	1795.2724208630273	1469.4089103961903	1798.3684963146786	1462.835209535467	1229.1311106677326	1676.2160720177656	1635.711347174072	1614.0816431128856	1241.5377401828605	1328.6813202302983
hsa-miR-377-5p	56.80940763790484	49.51822889801308	90.31448454196295	81.25250189995432	67.68127167102256	59.98440405494571	85.65011804421626	77.66430830074518	42.832497422234006	84.05190825389738	86.14873365626315	51.75152422501073	86.05161356444154	71.21389412924597	75.71166136622257	83.49349830019456	70.67256531564279	67.46369520189587	106.76535490559017	63.58196397428501	74.78774401462702	52.238614593949244	62.79000331890017
hsa-miR-30b-3p	0.8001325019423217	2.0632595374172116	0.9506787846522416	0.0	0.0	0.701571977250827	0.6117865574586876	0.8048114849818153	0.6252919331712994	1.8372001804130575	0.0	0.814984633464736	2.417180156304538	0.8528610075358799	1.5066997286810462	1.6291414302476988	0.5792833222593671	2.296636432404966	2.340062573273209	0.580657205244612	1.5689736506565108	1.266390656823012	0.961071479370921
