name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-182-5p	452.33029495740413	962.2035510713471	390.05919665172087	651.7910508645322	311.27797591812754	700.0055081528202	3467.6675776159523
hsa-miR-625-3p	343.7538579325244	265.32824459325684	663.2384644127494	1049.073215201009	663.2069812380936	372.6207729029394	3357.2215362805723
hsa-miR-370-3p	785.7844118282799	390.86685250871875	22.3284769814766	134.57046526352755	837.3352224453456	1143.7621677180202	3314.647596745369
hsa-miR-30c-5p	877.5284016551875	461.9492565778106	97.90531779326467	701.3774221944756	317.4832732411496	855.434168245715	3311.677839707603
hsa-let-7e-5p	861.1155735375048	386.241745901307	246.93641580255235	1323.5348890004277	293.1496430244416	62.647477243833876	3173.625744510067
hsa-miR-15b-5p	157.2141031493318	378.36481363994466	472.48159933643075	122.37709526436113	497.3102568879117	1376.1068748399555	3003.8547431179354
hsa-miR-320c	466.4250001364104	414.7326987282362	642.8934282730725	391.83183351715235	739.1271959252192	101.05988458593086	2756.0700411660214
hsa-miR-4433b-5p	394.10814756725125	158.83419329654927	17.366593207815132	243.09145825610867	1193.0633893916515	644.8352818386977	2651.2990635580736
hsa-miR-382-5p	735.2870702343635	344.2271220138103	28.117341384081644	159.84399580725432	944.9781351916467	372.2659804507585	2584.7196450819147
hsa-miR-7-5p	471.64230944799596	853.5070680568214	122.66879329329748	534.8455476907097	194.5170752686103	321.17586733671664	2498.3566610941516
hsa-miR-181b-5p	277.52080082775586	170.9907526801759	256.9842304442168	501.14750696573975	470.44174160829573	626.5043384760204	2303.5893710022046
hsa-miR-133a-3p	473.6450368766493	166.47792690543704	118.12039983410769	222.36272925752576	603.1380146349616	427.79099921706177	2011.535106725743
hsa-miR-139-3p	335.74294821790875	158.9637481034796	65.46929979136658	650.350016228267	672.3249691413097	124.26605637634326	2007.1170378586746
hsa-miR-326	302.41184172674014	170.4941259202764	58.85345475981795	250.8508755283055	700.81868133886	509.9254518969289	1993.3544311709288
hsa-miR-361-5p	199.84358698782214	107.6600445590803	70.98250398432376	219.03726471229857	675.7442146050157	635.1671875167696	1908.4348023653101
hsa-miR-30a-5p	178.0281632114135	150.99612747726604	72.15405987532716	175.36283035164794	403.0277291942396	924.3230360441636	1903.8919461540577
hsa-miR-1301-3p	463.05919189662154	198.47796421722146	35.97365735904563	538.171012235936	474.8952032925054	133.13586768086455	1843.7128966821947
hsa-miR-2110	279.52352825640975	365.60366515731	293.85378348461796	274.3508249812444	405.11726808872663	118.67807525449486	1737.1271452228036
hsa-miR-330-3p	379.6598996891052	201.71683439047897	52.23760972826933	414.68542878983243	453.36662074324516	177.04143363824494	1678.707826979176
hsa-miR-501-3p	232.67401162182728	386.39721166962335	177.7548918545946	312.9816381149671	286.90002214911226	280.37473533591793	1677.0825107460425
hsa-miR-23b-3p	341.96570844265483	180.01640422965352	34.80210146804223	618.3701321849987	93.71265344972107	398.77193323243625	1667.6389330075067
hsa-miR-342-3p	59.938770900427684	26.429180613781444	189.10290381843146	97.54695999333134	592.5425749881688	675.2587346132058	1640.8191249273464
hsa-miR-335-3p	396.6830828326634	276.2108483754022	84.07636394259707	163.72370444335272	561.1361722104244	147.9484525594151	1629.778624363855
hsa-miR-493-5p	560.7636800230944	203.53060168750318	8.821126708731496	156.85107771654984	373.83750403186025	258.6436976398408	1562.44768780758
hsa-miR-6852-5p	321.2947003397627	146.39693183124035	65.05580947689478	362.25393779341687	454.6330079520252	173.40481100339122	1523.039198396731
hsa-miR-1180-3p	145.62689445497705	500.21110955789294	365.8010982027092	183.45479407836746	178.81387387973803	69.98281119267297	1443.8905813663575
hsa-miR-342-5p	105.85844980027801	90.42925523735025	772.3999074333017	93.5564025390587	344.7105982299199	29.891264096236746	1436.8458773361453
hsa-miR-654-3p	331.30833748303223	196.79375172712753	21.363666247709094	58.08478072330184	332.8065584673878	460.69799915683575	1401.0550938053943
hsa-miR-543	562.3372515741795	392.03284577109144	9.096786918379356	85.90783408503613	260.24257140429296	18.62660373949471	1328.243893492474
hsa-miR-493-3p	367.3574311988026	189.02046331130947	7.58065576531613	94.33234426627837	372.06456193956825	268.1343957356786	1298.4898522169533
hsa-miR-338-5p	165.94027265989527	83.69240527697458	113.29634616527015	247.96880625577523	296.58788429627936	356.8325087808915	1264.318223435086
hsa-miR-22-5p	269.79599503151934	255.22296965269337	92.62183044168071	284.1055209805775	177.54748667095802	164.4463015858247	1243.7401043632535
hsa-miR-125a-5p	189.68689788536304	111.28757915312873	23.43111782006804	105.41722608370239	584.1844194102207	104.13158471507994	1118.1388250675627
hsa-miR-1246	11.73026065354432	11.271268202936204	28.94432201302522	14.41034636265122	872.287509407674	172.6065279859843	1111.2502346258152
hsa-miR-345-5p	152.49338849607616	93.53857060367747	111.91804511703086	124.37237399149745	215.79238037611447	402.68943322526655	1100.804191809663
hsa-miR-654-5p	243.04527866307072	120.61552525211042	9.510277232851145	73.49276644952123	445.8949362114431	160.36618838574492	1052.9249721947415
hsa-miR-1273h-3p	210.42943196784995	115.30377816796808	93.72447128027216	240.54193543810115	252.77088687249088	128.16877335033263	1040.9392770770148
hsa-miR-10b-5p	199.6290090490378	184.48604506874892	80.42386616476294	53.927950041767836	289.5594352875503	225.91409392615725	1033.940399538025
hsa-miR-92b-3p	91.50556989492499	137.80312963819705	84.35202415224494	141.77563844485317	378.98747868089896	180.47109400932652	1014.8949348204457
hsa-miR-877-5p	171.66235102747785	84.21062450469579	129.42246842966992	213.16227734906383	299.8804910391074	105.72815074989377	1004.0663630999086
hsa-miR-200b-3p	83.68539612589545	32.6478113464359	13.093859958273315	102.64600562934639	461.34486015855924	292.6150749361573	986.0330081546676
hsa-miR-339-3p	97.84754008566237	116.59932623727109	152.30226583044225	64.40316335923353	206.42111503114236	332.4405276934579	970.0139382372095
hsa-miR-148a-5p	130.03423090331447	91.46569369279266	114.26115689903766	161.28503044351942	133.85712796804754	338.91548994575845	969.8187298524701
hsa-miR-664a-5p	148.34488167957878	106.6236061036379	81.45759195094242	118.05399135556577	351.67572787821	156.55216952480075	962.7079684927356
hsa-miR-107	114.823039242824	245.50635913292095	50.26204489245969	105.45417568976039	110.6400291404138	311.44864093942346	938.1342890378023
hsa-miR-3158-3p	45.919678899850325	426.10575999376067	217.90939572663274	43.00934145160518	124.10594646044142	59.161641401157	916.2117639334473
hsa-miR-374b-5p	153.85238210837701	86.1539466086503	54.23614624821631	149.81217776248556	87.064120603626	348.36183898507363	879.4806123164287
hsa-miR-760	161.79176584339788	86.8017206433018	98.96201526358148	133.46197708178516	328.62748067841375	38.76107540075804	848.4060349112381
hsa-miR-181a-2-3p	110.86526837191278	98.072988846238	183.45186952065035	104.19788908378575	130.05796634170747	173.49350911643643	800.1394912807307
hsa-miR-500a-3p	79.96604518696677	76.89077791313376	36.20337420041885	114.56225358307721	103.21055751557118	382.1558200552997	792.9888284544675
hsa-miR-30a-3p	130.46338678088318	87.70860429181391	35.008846625278125	249.13271884660475	129.42477273731748	133.4906601330454	765.2289894149428
hsa-miR-15b-3p	79.53688930939808	166.47792690543704	152.16443572561832	63.95976808653657	58.76036648739267	240.01709390034608	760.9164804147288
hsa-miR-494-3p	111.86663208623973	64.7774034651506	5.375374088133255	21.39382190762835	287.9764512765753	258.99849009202165	750.3881729157489
hsa-miR-339-5p	128.17455543385014	71.90291784631717	12.818199748625455	52.54233981458984	210.4735540992384	248.8869052048674	724.7984721474884
hsa-miR-194-5p	74.1009148601946	211.95166413797278	184.41668025441783	26.04947227094644	71.93079345870481	142.4491695506119	710.8986945328484
hsa-miR-150-3p	73.24260310505721	48.58305259886295	142.10283807347145	66.95268617724106	319.2562153334416	52.597981035811245	702.7353763238855
hsa-miR-6842-3p	105.57234588189888	70.99603419780506	119.91219119681878	127.36529208220195	186.28555841154014	90.29467908002673	700.4261008502915
hsa-miR-379-5p	282.81372331776976	86.9312754502321	0.27566020964785926	97.54695999333134	102.07080902766917	125.86262241115709	695.5010504098074
hsa-miR-671-3p	119.87754180085537	64.1296294304991	35.69799714939777	147.42892817173941	268.0941720987291	51.79969801840433	687.0279666696251
hsa-miR-100-5p	136.32851710765533	112.1296853981757	159.4005162288746	59.74751299591544	165.07357266447488	46.655207461781984	679.3350118568779
hsa-miR-130a-3p	48.35156220607293	51.303703544399276	41.07337123753103	37.79944699741589	207.18094735641037	272.96844289664267	658.6774742384721
hsa-miR-151a-5p	139.47566020982575	80.32398029678674	8.407636394259708	176.4158941243032	113.15169710449429	117.96849035013315	635.7433584798029
hsa-miR-424-3p	76.9619540439859	127.87059444020728	88.48692729696282	155.85343835298167	99.03147972659713	81.95705645377672	630.1614503145115
hsa-let-7f-1-3p	93.55598130997544	76.17822647501711	110.81540427843942	81.1413349035438	127.90510808678145	136.01855635483398	625.6146114085911
hsa-miR-3177-3p	135.6132573117075	72.55069188096867	34.04403589151062	180.2401783513145	155.25907179642977	41.51071690515963	619.2179521370907
hsa-miR-574-3p	79.8229932277772	48.71260740579325	16.263952369223695	49.43857290571111	237.5742403671307	165.0671883771412	596.8795546527772
hsa-miR-495-3p	178.8149489869561	91.33613888586235	8.545466499083638	29.15323917982516	133.09729564277953	154.8669053769417	595.8139945714486
hsa-miR-23a-5p	153.06559633283442	59.20654676714765	27.152530650314137	204.07267425877615	125.24569494834343	24.83547165265961	593.5785146100753
hsa-miR-10399-3p	108.43338506569017	69.18226690078085	56.09685266333936	142.21903371755013	95.9921504255251	120.18594317626348	592.109631949149
hsa-miR-589-5p	45.77662694066076	46.51017568797813	173.1146116588556	56.311199632514004	80.16231031577492	186.79822607321836	588.6731503090018
hsa-miR-4732-5p	57.36383563501552	202.8828276528517	192.54865643902968	40.5706674517719	64.45910892690273	30.068660322327172	587.8937564278987
hsa-miR-324-3p	63.9442257577355	44.825963197884214	77.87400922552024	93.00215844818749	95.86551170464709	210.74671659542582	586.2585849294003
hsa-miR-320d	94.11320275100906	74.51097949535455	100.41481020180893	86.57820550923273	195.35108170182107	29.790950754102276	580.7592304133285
hsa-miR-10527-5p	104.42793020838236	81.36041875222915	33.90620578668669	107.74505126536144	184.6392550401261	65.37050931432191	577.4493703671076
hsa-miR-1908-5p	136.90072494441358	94.70456386605018	14.47216100651261	161.28503044351942	136.38990238560754	31.310433904960153	575.0628165510635
hsa-let-7a-3p	99.4211116367476	111.41713396005903	63.53967832383156	53.31828154180952	60.40666985880669	185.142527963041	573.2454032842954
hsa-miR-193a-5p	76.9619540439859	45.86240165332663	192.9621467535015	107.41250481083871	97.3851763551831	49.138754627047945	569.7229382438838
hsa-miR-769-5p	67.23442081909549	38.99599688602066	27.703851069609854	83.3583112670286	73.95701299275284	266.9813202660908	558.2309133005982
hsa-miR-30b-5p	118.68544214094233	51.86510770776391	17.45847994436442	90.41568602412188	48.12271393364055	213.5554901751909	540.102919926024
hsa-miR-582-3p	16.73707922517909	11.271268202936204	186.6219619316007	40.459818633597656	28.746989639306328	234.6065090045881	518.4436266372081
hsa-miR-421	70.81071979883461	66.59117076217481	35.835827254221705	72.93852235865002	105.99660937488721	147.9484525594151	500.12130210818344
hsa-miR-130b-3p	15.735715510852136	15.676131638566446	30.73611337573631	10.641486544727055	228.9628073474266	196.7767637908048	498.52901820811337
hsa-miR-323a-3p	123.31078882140493	51.95147757905078	5.513204192957185	51.212153996498955	190.52795556095316	69.71671685353733	492.2322970044023
hsa-miR-766-5p	126.17182800519622	68.14582844533844	33.63054557703883	92.00451908461933	141.9620061042396	29.536471644055894	491.4511988604883
hsa-miR-1304-3p	105.85844980027801	52.469696806771985	53.478080671684694	100.42902926586159	116.00106832424932	56.14590555761976	484.38223042646536
hsa-miR-200c-3p	77.53416188074416	38.86644207909036	8.683296603907566	96.66016944793742	159.8180657480378	94.46349039315173	476.02562615286905
hsa-miR-1304-5p	85.83117551373893	99.75720133633193	35.560167044573845	91.22857735739966	121.57317204288138	41.42201879211442	475.3723120870402
hsa-miR-146b-3p	57.077731716636386	31.740927697923794	58.71562465499402	125.92425744593682	117.14081681215134	83.02143381031927	473.62079213796164
hsa-miR-181d-5p	157.6432590269005	60.32935509387693	11.991219119681878	148.31571871713334	55.80546300023931	37.134943328262466	471.21995828609437
hsa-miR-197-3p	47.92240632850424	27.85428349001476	24.120268344187686	34.03058717949173	110.80888076825127	219.08433922167586	463.8207653321256
hsa-miR-335-5p	32.043638858462536	41.19842860383578	14.058670692040822	6.76177790862865	148.6738583107737	219.70522601299234	462.44160038673385
hsa-miR-20b-5p	36.382881620546	77.58173688342869	21.45555298425838	103.34804814444992	45.06227817908885	169.9012355381053	453.7317333498771
hsa-miR-99b-3p	121.16500943356145	58.17010831170524	23.982438239363756	152.41712498958023	68.76482543675479	24.21458486134312	448.71409127230856
hsa-miR-766-3p	49.49597787958945	19.044556618754278	9.648107337675073	42.45509736073398	107.51627402542323	215.18162224768648	443.34163546986247
hsa-miR-1260b	64.15880369651985	24.356303702896625	11.095323438326336	50.436212269279274	151.90314569316274	109.67521678040575	411.6250055805906
hsa-miR-505-3p	79.67994126858764	37.830003623647954	18.193573836758713	112.28985281050528	85.98769147616298	76.54647155801872	410.5275345736813
hsa-miR-1294	51.92786118581205	131.49812903425573	82.00891237023814	53.65082799633224	54.707927419296624	35.922735783311225	409.71639378924596
hsa-miR-628-3p	60.79708265556507	54.153909296865905	40.65988092305924	62.51873345027145	115.74779088249332	69.71671685353733	403.59411406179225
hsa-miR-145-3p	41.771172083352944	23.190310440523916	73.60127597597842	64.62486099558201	46.47641056222653	136.50639597658264	386.1704260342465
hsa-miR-503-5p	40.91286032821556	72.29158226710807	22.05281677182874	49.54942172388535	80.79550392016492	119.56505638494698	385.1672413961496
