name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-485-5p	0.0	0.0	0.0	0.0	0.0	5988.023952095808	0.0	0.0	201.2162403863352
hsa-let-7b-5p	4768.392370572207	5724.19774501301	16229.477259860352	864.4910309055543	1016.1126433444622	14970.059880239522	73959.93836671804	0.0	1788.5888034340906
hsa-miR-136-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-193b-3p	0.0	0.0	0.0	0.0	435.47684714762664	0.0	0.0	0.0	0.0
hsa-miR-154-3p	0.0	520.3816131830008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-323a-3p	0.0	0.0	2642.007926023778	0.0	290.31789809841774	0.0	0.0	0.0	223.57360042926132
hsa-miR-532-5p	0.0	0.0	754.8594074353651	0.0	0.0	0.0	3081.6640986132516	0.0	0.0
hsa-miR-339-5p	0.0	0.0	1887.148518588413	0.0	1306.43054144288	0.0	0.0	0.0	0.0
hsa-miR-6861-5p	0.0	0.0	0.0	0.0	725.7947452460444	0.0	0.0	0.0	0.0
hsa-miR-502-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.357360042926132
hsa-miR-363-3p	2043.5967302452318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-381-3p	0.0	0.0	2075.863370447254	0.0	290.31789809841774	0.0	0.0	0.0	558.9340010731534
hsa-miR-1249-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-584-5p	0.0	0.0	0.0	0.0	290.31789809841774	0.0	3081.6640986132516	0.0	201.2162403863352
hsa-miR-1253	0.0	0.0	377.42970371768257	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-590-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.93096047218745
hsa-miR-32-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.57360042926132
hsa-miR-330-5p	0.0	0.0	0.0	0.0	0.0	0.0	4622.496147919877	0.0	402.4324807726704
hsa-miR-629-5p	0.0	0.0	0.0	0.0	290.31789809841774	0.0	0.0	0.0	626.0060812019317
hsa-miR-191-5p	2724.7956403269754	1214.2237640936687	1132.2891111530478	864.4910309055543	2903.1789809841775	5988.023952095808	0.0	0.0	849.579681631193
hsa-miR-374b-5p	0.0	2254.9869904596703	0.0	0.0	0.0	0.0	0.0	7278.020378457059	22.357360042926132
hsa-miR-143-3p	32697.54768392371	5724.19774501301	23400.64163049632	1080.613788631943	4499.927420525475	5988.023952095808	20030.816640986133	5822.416302765648	2794.6700053657664
hsa-miR-130a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-let-7g-5p	4768.392370572207	4856.895056374675	4906.586148329874	2593.473092716663	435.47684714762664	8982.035928143712	21571.64869029276	2911.208151382824	2861.742085494545
hsa-miR-148a-3p	6811.989100817439	0.0	566.1445555765239	1296.7365463583315	0.0	0.0	0.0	0.0	648.3634412448579
hsa-miR-2110	0.0	0.0	0.0	0.0	2467.702133836551	0.0	0.0	0.0	134.1441602575568
hsa-miR-370-3p	0.0	6764.960971379011	0.0	0.0	0.0	0.0	7704.160246533129	0.0	424.7898408155965
hsa-miR-181a-3p	0.0	0.0	377.42970371768257	0.0	290.31789809841774	0.0	0.0	0.0	0.0
hsa-miR-199a-3p	0.0	0.0	0.0	2161.227577263886	0.0	0.0	3081.6640986132516	0.0	0.0
hsa-miR-411-5p	0.0	0.0	1132.2891111530478	0.0	1016.1126433444622	0.0	0.0	0.0	0.0
hsa-miR-218-5p	0.0	5550.737207285342	8303.453481789016	0.0	435.47684714762664	0.0	0.0	14556.040756914119	626.0060812019317
hsa-miR-595	0.0	0.0	0.0	0.0	290.31789809841774	0.0	0.0	0.0	0.0
hsa-miR-1248	0.0	0.0	1509.7188148707303	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-29b-3p	1362.3978201634877	346.9210754553339	566.1445555765239	1512.8593040847202	290.31789809841774	0.0	0.0	0.0	245.93096047218745
hsa-miR-3065-3p	0.0	0.0	0.0	0.0	0.0	11976.047904191617	0.0	0.0	0.0
hsa-miR-21-5p	1362.3978201634877	10928.013876843019	8492.168333647858	0.0	2612.86108288576	0.0	3081.6640986132516	4366.812227074236	1095.5106421033804
hsa-miR-663a	0.0	0.0	0.0	0.0	435.47684714762664	0.0	0.0	0.0	0.0
hsa-miR-126-5p	0.0	867.3026886383348	2642.007926023778	1945.1048195374972	0.0	8982.035928143712	0.0	0.0	44.714720085852264
hsa-miR-4755-3p	0.0	2428.4475281873374	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-433-3p	0.0	346.9210754553339	0.0	0.0	0.0	5988.023952095808	7704.160246533129	0.0	0.0
hsa-miR-132-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-497-5p	2043.5967302452318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsv2-miR-H10	17029.9727520436	47528.18733738075	4906.586148329874	18802.679922195806	725.7947452460444	35928.14371257485	6163.328197226503	26200.873362445414	3130.0304060096587
hsa-miR-25-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.2883205151136
hsa-miR-181b-5p	0.0	6938.421509106678	2830.7227778826195	0.0	2467.702133836551	0.0	13867.488443759632	0.0	827.2223215882669
hsa-miR-9-5p	52452.316076294286	40069.384215091064	36799.396112474045	21396.15301491247	29322.107707940202	71856.2874251497	49306.625577812025	43668.12227074236	9390.091218028967
hsa-miR-151a-5p	0.0	1821.335646140503	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-29c-5p	0.0	346.9210754553339	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-429	0.0	0.0	0.0	0.0	0.0	0.0	3081.6640986132516	0.0	0.0
hsa-miR-532-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-339-3p	0.0	0.0	754.8594074353651	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-95-3p	3405.9945504087195	0.0	754.8594074353651	0.0	0.0	0.0	0.0	0.0	223.57360042926132
hsa-miR-30d-5p	6811.989100817439	346.9210754553339	6605.019815059445	432.24551545277717	5951.516911017564	0.0	20030.816640986133	0.0	1743.8740833482384
hsa-miR-375-3p	0.0	6764.960971379011	0.0	432.24551545277717	0.0	0.0	0.0	0.0	0.0
hsa-miR-452-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-7704	0.0	3816.1318300086728	0.0	0.0	0.0	8982.035928143712	0.0	0.0	223.57360042926132
hsa-miR-3912-3p	8174.386920980927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-769-5p	0.0	0.0	943.5742592942065	648.3682731791657	725.7947452460444	0.0	0.0	2911.208151382824	156.50152030048292
hsa-miR-324-5p	0.0	0.0	0.0	0.0	1741.9073885905066	0.0	0.0	0.0	0.0
hsa-miR-486-5p	12261.58038147139	867.3026886383348	2075.863370447254	0.0	2032.2252866889244	20958.08383233533	10785.82434514638	0.0	1967.4476837774996
hsa-miR-149-5p	0.0	0.0	0.0	0.0	290.31789809841774	0.0	3081.6640986132516	2911.208151382824	89.42944017170453
hsa-miR-3928-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-3675-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.50152030048292
hsa-miR-185-5p	14986.376021798365	0.0	2075.863370447254	3241.841365895829	1016.1126433444622	0.0	6163.328197226503	0.0	1922.7329636916475
hsa-miR-1228-5p	0.0	1734.6053772766695	0.0	0.0	290.31789809841774	0.0	0.0	0.0	402.4324807726704
hsa-let-7c-5p	0.0	1734.6053772766695	1321.003963011889	0.0	0.0	0.0	9244.992295839755	0.0	201.2162403863352
hsa-miR-184	0.0	0.0	0.0	1945.1048195374972	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-330-3p	8174.386920980927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.50152030048292
hsa-miR-137-3p	0.0	346.9210754553339	0.0	0.0	0.0	0.0	0.0	0.0	156.50152030048292
hsa-miR-3200-3p	0.0	0.0	0.0	0.0	290.31789809841774	0.0	0.0	0.0	44.714720085852264
hsa-miR-328-3p	0.0	0.0	754.8594074353651	648.3682731791657	1887.0663376397154	0.0	13867.488443759632	0.0	245.93096047218745
hsa-miR-133a-3p	0.0	0.0	1132.2891111530478	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-423-5p	2724.7956403269754	3295.750216825672	5661.445555765239	8861.033066781933	3919.29162432864	11976.047904191617	0.0	5822.416302765648	41048.11303881238
hsa-miR-874-3p	0.0	346.9210754553339	2264.5782223060955	0.0	290.31789809841774	0.0	3081.6640986132516	0.0	223.57360042926132
hsa-miR-125a-5p	1362.3978201634877	1734.6053772766695	11700.32081524816	0.0	5516.0400638699375	0.0	16949.15254237288	0.0	670.720801287784
hsa-miR-577	0.0	0.0	0.0	0.0	290.31789809841774	0.0	0.0	0.0	0.0
hsa-miR-122-5p	74931.88010899183	2601.908065915004	38686.54463106247	1296.7365463583315	15532.00754826535	0.0	3081.6640986132516	4366.812227074236	3062.9583258808802
hsa-miR-140-5p	0.0	0.0	1132.2891111530478	0.0	1306.43054144288	0.0	0.0	0.0	447.14720085852264
hsa-miR-20a-5p	1362.3978201634877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.07512072974424
hsa-miR-500a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.357360042926132
hsa-miR-138-5p	0.0	0.0	0.0	0.0	2758.0200319349688	0.0	0.0	0.0	134.1441602575568
hsa-miR-192-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-126-3p	6130.790190735695	5203.816131830008	7926.023778071334	864.4910309055543	5080.563216722311	38922.155688622755	3081.6640986132516	2911.208151382824	2280.4507243784656
hsa-miR-144-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.2162403863352
hsa-miR-504-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.57360042926132
hsa-miR-376a-5p	0.0	0.0	2453.293074164937	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3158-3p	0.0	0.0	0.0	0.0	725.7947452460444	0.0	0.0	0.0	0.0
hsa-miR-148b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-335-3p	0.0	0.0	0.0	648.3682731791657	0.0	0.0	0.0	16011.64483260553	0.0
hsa-miR-199b-3p	0.0	0.0	0.0	1080.613788631943	0.0	0.0	1540.8320493066258	0.0	0.0
hsa-miR-4535	0.0	0.0	943.5742592942065	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-9-3p	0.0	346.9210754553339	3208.1524816003025	0.0	580.6357961968355	0.0	3081.6640986132516	0.0	245.93096047218745
hsa-miR-10396a-5p	0.0	1676.7851980341138	0.0	0.0	0.0	6986.027944111777	0.0	0.0	29.809813390568177
hsa-miR-151a-3p	0.0	520.3816131830008	377.42970371768257	0.0	1306.43054144288	0.0	0.0	0.0	603.6487211590056
hsa-miR-29c-3p	0.0	0.0	0.0	0.0	435.47684714762664	0.0	0.0	0.0	44.714720085852264
hsa-miR-200a-3p	1362.3978201634877	0.0	0.0	0.0	290.31789809841774	0.0	0.0	0.0	0.0
hsa-miR-369-3p	0.0	0.0	2264.5782223060955	0.0	0.0	0.0	15408.320493066258	0.0	0.0
hsa-miR-4497	0.0	4509.973980919341	0.0	3241.841365895829	435.47684714762664	0.0	0.0	0.0	782.5076015024147
hsa-miR-127-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.42944017170453
hsa-miR-145-5p	0.0	0.0	6038.875259482921	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-4492	0.0	1734.6053772766695	0.0	324.18413658958286	0.0	0.0	0.0	0.0	167.680200321946
hsa-miR-4676-5p	0.0	1387.6843018213356	0.0	0.0	0.0	0.0	0.0	0.0	111.78680021463066
hsa-miR-625-3p	0.0	1040.7632263660016	0.0	0.0	0.0	0.0	3081.6640986132516	0.0	44.714720085852264
hsa-miR-451a	39509.53678474115	7979.18473547268	17173.051519154556	11454.506159498595	10886.921178690665	20958.08383233533	26194.144838212636	32023.28966521106	8674.65569665534
hsa-miR-324-3p	0.0	0.0	0.0	0.0	0.0	0.0	4622.496147919877	0.0	0.0
hsa-miR-486-3p	0.0	1561.1448395490027	0.0	2377.3503349902744	435.47684714762664	0.0	9244.992295839755	0.0	134.1441602575568
hsa-miR-342-3p	12942.779291553134	0.0	1132.2891111530478	0.0	290.31789809841774	14970.059880239522	0.0	0.0	89.42944017170453
hsa-miR-185-3p	0.0	0.0	0.0	648.3682731791657	0.0	0.0	0.0	0.0	0.0
hsa-miR-6856-5p	0.0	0.0	377.42970371768257	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-100-5p	27247.956403269756	9800.520381613183	15474.617852424986	3025.7186081694404	9435.331688198577	62874.25149700599	33898.30508474576	55312.95487627365	6226.524771954928
hsa-miR-30e-5p	681.1989100817439	693.8421509106678	2264.5782223060955	648.3682731791657	0.0	0.0	0.0	5822.416302765648	536.5766410302272
hsa-miR-450a-5p	0.0	0.0	377.42970371768257	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-134-5p	0.0	520.3816131830008	566.1445555765239	432.24551545277717	1306.43054144288	0.0	0.0	0.0	2012.162403863352
hsa-miR-423-3p	2043.5967302452318	3469.210754553339	2264.5782223060955	1728.9820618111087	13354.623312527217	0.0	15408.320493066258	0.0	1565.0152030048293
hsa-miR-4488	0.0	20121.422376409366	0.0	2593.473092716663	1596.7484395412978	23952.095808383234	0.0	0.0	514.2192809873011
hsa-miR-23a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.6456805580397
hsa-miR-4484	0.0	0.0	0.0	432.24551545277717	0.0	0.0	0.0	0.0	0.0
hsa-miR-140-3p	0.0	0.0	4340.44159275335	432.24551545277717	1596.7484395412978	0.0	0.0	0.0	402.4324807726704
hsa-miR-4665-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-361-5p	0.0	520.3816131830008	377.42970371768257	432.24551545277717	290.31789809841774	0.0	0.0	0.0	0.0
hsa-miR-186-5p	19073.56948228883	0.0	4340.44159275335	0.0	1161.271592393671	0.0	0.0	0.0	178.85888034340906
hsa-let-7d-5p	0.0	0.0	1415.3613889413098	648.3682731791657	72.57947452460444	0.0	0.0	0.0	234.75228045072438
hsa-miR-29b-2-5p	0.0	0.0	0.0	0.0	435.47684714762664	0.0	0.0	0.0	0.0
hsa-miR-329-3p	0.0	6418.039895923677	377.42970371768257	0.0	0.0	0.0	0.0	0.0	737.7928814165624
hsa-miR-27a-3p	2043.5967302452318	1040.7632263660016	4529.156444612191	3241.841365895829	4064.4505733778487	4491.017964071856	3081.6640986132516	0.0	648.3634412448579
hsa-miR-221-3p	0.0	2254.9869904596703	943.5742592942065	0.0	435.47684714762664	0.0	0.0	0.0	111.78680021463066
hsa-miR-944	0.0	0.0	377.42970371768257	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-125b-5p	25885.558583106267	22896.79098005204	14908.473296848462	3241.841365895829	9145.01379010016	5988.023952095808	40061.63328197227	14556.040756914119	5499.910570559829
hsa-miR-3613-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-4515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
hsa-miR-574-3p	0.0	0.0	0.0	1080.613788631943	1161.271592393671	0.0	0.0	0.0	0.0
hsa-miR-203a-3p	0.0	0.0	566.1445555765239	0.0	1887.0663376397154	0.0	0.0	13100.436681222707	156.50152030048292
hsa-miR-941	0.0	0.0	1509.71881487073	0.0	870.9536942952532	0.0	0.0	0.0	0.0
hsa-miR-122b-3p	0.0	0.0	943.5742592942065	864.4910309055543	0.0	0.0	0.0	5822.416302765648	0.0
hsa-miR-20b-5p	1362.3978201634877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-519d-5p	0.0	0.0	471.78712964710326	324.18413658958286	0.0	0.0	0.0	1455.604075691412	22.357360042926132
hsa-miR-16-5p	2043.5967302452318	0.0	2075.863370447254	0.0	0.0	0.0	0.0	0.0	581.2913611160794
hsa-miR-146a-5p	0.0	0.0	1509.7188148707303	0.0	1161.271592393671	5988.023952095808	4622.496147919877	0.0	335.360400643892
hsa-miR-139-5p	3405.9945504087195	5030.3555941023415	754.8594074353651	0.0	9580.490637247785	0.0	6163.328197226503	0.0	1967.4476837774996
hsa-miR-22-3p	23160.762942779293	23070.251517779703	55859.596150217025	25070.239896261075	55015.24168965017	0.0	27734.976887519264	14556.040756914119	11759.971382579146
hsa-miR-551b-3p	0.0	0.0	0.0	0.0	580.6357961968355	0.0	0.0	0.0	313.00304060096585
hsa-miR-127-3p	1362.3978201634877	0.0	3963.011889035667	3674.086881348606	290.31789809841774	11976.047904191617	3081.6640986132516	2911.208151382824	760.1502414594885
hsa-miR-543	0.0	2254.9869904596703	0.0	0.0	0.0	0.0	0.0	0.0	201.2162403863352
hsa-miR-135a-5p	0.0	1040.7632263660016	0.0	0.0	0.0	0.0	0.0	0.0	44.714720085852264
