name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-3178	9	35	4	19	3	0	0	10	44	124.0
hsa-miR-181b-5p	0	40	15	0	17	0	9	0	37	118.0
hsa-miR-218-5p	0	32	44	0	3	0	0	10	28	117.0
hsa-miR-30a-5p	18	19	10	0	25	0	0	2	39	113.0
hsa-miR-27a-3p	3	6	24	15	28	2	2	0	29	108.5
hsa-miR-134-5p	0	3	3	2	9	0	0	0	90	107.0
hsa-let-7i-5p	6	3	10	13	24	0	11	0	29	96.0
hsa-miR-99b-5p	0	4	33	0	11	0	4	2	37	91.0
hsa-miR-487b-3p	13	13	8	0	0	0	0	0	54	88.0
hsa-miR-127-3p	2	0	21	17	2	4	2	2	34	84.0
hsa-miR-191-5p	4	7	6	4	20	2	0	0	38	81.0
hsa-miR-4497	0	26	0	15	3	0	0	0	35	79.0
hsa-miR-340-5p	3	9	0	0	4	2	2	11	43	74.0
hsa-miR-329-3p	0	37	2	0	0	0	0	0	33	72.0
hsa-miR-219a-5p	2	44	0	0	9	0	0	2	13	70.0
hsa-miR-1307-3p	0	0	11	5	21	0	0	0	32	69.0
hsa-miR-186-5p	28	0	23	0	8	0	0	0	8	67.0
hsa-miR-26b-5p	0	0	43	0	3	0	0	0	21	67.0
hsa-miR-744-5p	0	29	12	12	0	0	9	3	0	65.0
hsa-miR-671-5p	2	9	5	4	0	2	0	3	39	64.0
hsa-miR-370-3p	0	39	0	0	0	0	5	0	19	63.0
hsa-miR-129-5p	0	37	12	0	0	7	0	2	4	62.0
hsa-miR-193a-5p	0	0	0	0	13	0	0	0	46	59.0
hsa-miR-140-3p	0	0	23	2	11	0	0	0	18	54.0
hsa-miR-148a-3p	10	0	3	6	0	0	0	0	29	48.0
hsa-miR-30e-5p	1	4	12	3	0	0	0	4	24	48.0
hsa-miR-92b-3p	0	28	3	0	0	3	6	0	8	48.0
hsa-miR-338-3p	0	2	4	0	8	0	7	0	25	46.0
hsa-let-7e-5p	0	16	2	21	0	0	0	0	6	45.0
hsa-miR-375-3p	0	39	0	2	0	0	0	0	0	41.0
hsa-miR-151a-3p	0	3	2	0	9	0	0	0	27	41.0
hsa-let-7d-3p	0	13	6	0	0	0	4	0	18	41.0
hsa-miR-328-3p	0	0	4	3	13	0	9	0	11	40.0
hsa-miR-16-5p	3	0	11	0	0	0	0	0	26	40.0
hsa-miR-658	0	16	9	3	0	0	0	0	11	39.0
hsa-miR-381-3p	0	0	11	0	2	0	0	0	25	38.0
hsa-miR-9-3p	0	2	17	0	4	0	2	0	11	36.03
hsa-miR-342-3p	19	0	6	0	2	5	0	0	4	36.0
hsa-miR-146a-5p	0	0	8	0	8	2	3	0	15	36.0
hsa-miR-197-3p	0	0	16	0	4	0	7	0	9	36.0
hsa-miR-7704	0	22	0	0	0	3	0	0	10	35.0
hsa-miR-140-5p	0	0	6	0	9	0	0	0	20	35.0
hsa-miR-486-3p	0	9	0	11	3	0	6	0	6	35.0
hsa-miR-145-5p	0	0	32	0	0	0	0	0	2	34.0
hsa-miR-126-5p	0	5	14	9	0	3	0	0	2	33.0
hsa-let-7c-5p	0	10	7	0	0	0	6	0	9	32.0
hsa-miR-203a-3p	0	0	3	0	13	0	0	9	7	32.0
hsa-miR-30b-5p	0	2	21	0	0	0	2	0	7	32.0
hsa-miR-629-5p	0	0	0	0	2	0	0	0	28	30.0
hsa-miR-1228-5p	0	10	0	0	2	0	0	0	18	30.0
hsa-miR-1908-5p	0	9	0	0	0	2	0	0	18	29.0
hsa-miR-1180-3p	3	2	0	9	0	0	13	0	2	29.0
hsa-miR-23b-3p	0	6	5	0	5	0	4	0	9	28.5
hsa-miR-874-3p	0	2	12	0	2	0	2	0	10	28.0
hsa-miR-29b-3p	2	2	3	7	2	0	0	0	11	27.0
hsa-miR-10396b-5p	0	19	0	0	0	5	0	0	3	26.68
hsa-miR-323a-3p	0	0	14	0	2	0	0	0	10	26.0
hsa-miR-221-3p	0	13	5	0	3	0	0	0	5	26.0
hsa-miR-495-3p	0	0	3	0	0	0	0	4	19	26.0
hsa-miR-138-5p	0	0	0	0	19	0	0	0	6	25.0
hsa-miR-204-5p	0	2	4	0	2	0	2	11	4	25.0
hsa-miR-200b-3p	0	3	6	15	0	0	0	0	0	24.0
hsa-miR-2110	0	0	0	0	17	0	0	0	6	23.0
hsa-miR-146b-5p	0	0	20	3	0	0	0	0	0	23.0
hsa-miR-769-5p	0	0	5	3	5	0	0	2	7	22.0
hsa-miR-369-3p	0	0	12	0	0	0	10	0	0	22.0
hsa-miR-543	0	13	0	0	0	0	0	0	9	22.0
hsa-miR-153-3p	0	0	20	0	0	0	0	0	2	22.0
hsa-miR-378e	0	0	0	0	0	0	0	0	22	21.6
hsa-let-7d-5p	0	0	8	3	1	0	0	0	11	21.5
hsa-miR-330-5p	0	0	0	0	0	0	3	0	18	21.0
hsa-miR-339-5p	0	0	10	0	9	0	0	0	0	19.0
hsa-miR-374b-5p	0	13	0	0	0	0	0	5	1	19.0
hsa-miR-95-3p	5	0	4	0	0	0	0	0	10	19.0
hsa-miR-330-3p	12	0	0	0	0	0	0	0	7	19.0
hsa-miR-20a-5p	2	0	0	0	0	0	0	0	17	19.0
hsa-miR-4492	0	10	0	2	0	0	0	0	8	19.0
hsa-miR-93-5p	4	11	2	0	0	0	0	0	2	19.0
hsa-miR-139-3p	0	0	11	0	8	0	0	0	0	19.0
hsa-miR-338-5p	0	0	3	0	3	4	0	0	9	19.0
hsa-miR-4433b-3p	0	0	0	0	5	3	0	0	11	19.0
hsa-miR-551b-3p	0	0	0	0	4	0	0	0	14	18.0
hsa-miR-204-3p	0	0	0	0	9	0	0	0	9	18.0
hsa-miR-1469	0	0	0	12	6	0	0	0	0	18.0
hsa-miR-107	0	5	0	1	0	0	0	0	12	17.67
hsa-miR-361-3p	0	0	2	0	0	0	0	0	15	17.0
hsa-miR-222-3p	0	0	7	4	0	0	2	0	4	17.0
hsa-miR-450b-5p	0	16	0	0	0	0	0	0	0	16.0
hsa-miR-320e	0	0	0	2	0	0	0	0	13	15.25
hsa-miR-4755-3p	0	14	0	0	0	0	0	0	0	14.0
hsa-miR-335-3p	0	0	0	3	0	0	0	11	0	14.0
hsa-miR-152-3p	0	0	8	0	3	0	0	0	3	14.0
hsa-miR-484	0	0	12	0	0	0	0	0	2	14.0
