name	SRX732315	SRX732316	SRX732317
hsa-miR-122-5p	751062	253073	90428	1094562.5
hsa-miR-92a-3p	89500	90392	133954	313846.33999999997
hsa-miR-451a	105639	50900	154932	311471.0
hsa-miR-486-5p	45789	54483	177748	278020.0
hsa-miR-16-5p	54197	35049	115219	204465.34
hsa-miR-21-5p	30812	84799	30250	145861.0
hsa-miR-22-3p	28799	52674	40361	121834.0
hsa-let-7b-5p	36374	20201	49617	106192.7
hsa-miR-25-3p	22428	19468	44844	86739.67
hsa-miR-27b-3p	43426	22826	15521	81772.5
hsa-let-7a-5p	40655	15186	22446	78286.97
hsa-let-7i-5p	25919	16566	30347	72832.0
hsa-miR-192-5p	33420	8964	7039	49422.0
hsa-miR-26a-5p	34218	5659	7217	47094.34
hsa-miR-148a-3p	23312	15302	6896	45509.67
hsa-let-7f-5p	22742	7586	11304	41631.1
hsa-miR-126-3p	16777	9980	10595	37352.0
hsa-miR-30d-5p	9525	17218	7918	34659.5
hsa-miR-103a-3p	13679	5400	11193	30272.0
hsa-miR-24-3p	10237	10568	8817	29622.0
hsa-miR-27a-3p	9894	11064	8603	29560.0
hsa-miR-144-3p	4939	4039	20007	28985.0
hsa-miR-30e-5p	11769	9741	7369	28877.5
hsa-miR-320a-3p	6857	10513	10453	27822.97
hsa-miR-26b-5p	15226	3531	7028	25785.17
hsa-let-7g-5p	11501	5221	8854	25575.620000000003
hsa-miR-143-3p	8825	9761	6564	25150.0
hsa-miR-185-5p	6583	3703	13888	24174.0
hsa-miR-181a-5p	6884	6533	8301	21718.0
hsa-miR-99a-5p	12963	4823	3850	21635.0
hsa-miR-101-3p	8100	4856	7956	20912.0
hsa-miR-423-5p	4876	5485	7957	18318.0
hsa-miR-30a-5p	4864	7818	3967	16649.0
hsa-miR-29a-3p	4550	7423	4637	16610.0
hsa-miR-221-3p	3496	7093	5880	16469.0
hsa-miR-140-3p	5869	3076	7464	16409.0
hsa-miR-194-5p	11603	1970	1199	14772.0
hsa-miR-142-5p	4673	2805	7072	14550.0
hsa-miR-126-5p	5452	4481	4589	14522.0
hsa-miR-15a-5p	2664	3235	7315	13214.0
hsa-miR-151a-5p	6822	2238	3491	12550.0
hsa-miR-106b-3p	2563	2713	7267	12543.0
hsa-miR-363-3p	3316	2222	6512	12050.0
hsa-miR-93-5p	4555	1730	5662	11947.0
hsa-miR-10b-5p	1449	6596	3027	11072.0
hsa-miR-100-5p	5996	2418	1852	10265.0
hsa-let-7d-5p	5035	1999	3197	10231.25
hsa-miR-191-5p	5516	1856	2585	9957.0
hsa-miR-107	3338	1912	4635	9885.0
hsa-miR-199a-3p	2567	4247	2555	9369.34
hsa-miR-16-2-3p	1763	2496	4959	9218.0
hsa-miR-378a-3p	5310	2309	1373	8991.05
hsa-miR-125b-5p	4527	2331	1846	8704.0
hsa-miR-10a-5p	871	5441	1432	7744.0
hsa-let-7c-5p	5645	627	928	7200.009999999999
hsa-miR-146a-5p	2634	2566	1746	6946.0
hsa-miR-23a-3p	1887	2790	2046	6722.5
hsa-miR-148b-3p	2243	1453	1833	5528.67
hsa-miR-223-3p	3605	808	858	5271.0
hsa-miR-423-3p	2091	1331	1593	5015.0
hsa-miR-151a-3p	1542	1865	1546	4953.0
hsa-miR-484	1196	893	2673	4762.0
hsa-miR-199b-3p	1284	2123	1278	4684.67
hsa-miR-21-3p	674	3017	851	4542.0
hsa-miR-106b-5p	1414	719	2220	4353.0
hsa-miR-99b-5p	1340	1993	1013	4346.0
hsa-miR-532-5p	1054	1215	1712	3981.0
hsa-miR-222-3p	1103	1552	1286	3941.0
hsa-miR-20a-5p	1340	1409	1084	3832.34
hsa-miR-144-5p	898	1348	1446	3692.0
hsa-miR-182-5p	1325	752	1601	3678.0
hsa-miR-98-5p	1718	440	1379	3537.45
hsa-miR-375-3p	1544	882	712	3138.0
hsa-miR-425-5p	968	689	1374	3031.0
hsa-miR-584-5p	1448	483	1049	2980.0
hsa-miR-30c-5p	2164	388	408	2960.0
hsa-miR-23b-3p	2022	394	523	2938.5
hsa-miR-320b	476	1193	1225	2893.62
hsa-miR-193a-5p	598	1747	422	2767.0
hsa-miR-29c-3p	623	771	1139	2532.67
hsa-miR-3168	404	907	1207	2518.0
hsa-miR-215-5p	207	872	1427	2505.0
hsa-miR-15b-5p	824	439	1201	2464.0
hsa-miR-652-3p	812	531	1109	2452.0
hsa-miR-152-3p	843	1190	389	2421.67
hsa-miR-125a-5p	768	1023	619	2410.0
hsa-miR-486-3p	502	235	1606	2343.0
hsa-miR-660-5p	461	1246	623	2330.0
hsa-miR-17-5p	845	652	832	2328.84
hsa-miR-199a-5p	1303	573	364	2240.34
hsa-miR-181b-5p	433	865	836	2134.0
hsa-miR-128-3p	539	441	1076	2056.0
hsa-miR-340-5p	832	714	477	2023.0
hsa-miR-203a-3p	1195	319	411	1925.0
hsa-miR-224-5p	539	1127	225	1891.0
hsa-miR-186-5p	513	737	639	1889.0
hsa-miR-146b-5p	970	596	311	1877.0
hsa-miR-200a-3p	233	598	929	1760.0
hsa-miR-744-5p	1272	152	290	1714.0
hsa-let-7d-3p	422	672	601	1695.0
hsa-miR-425-3p	655	440	537	1632.0
hsa-miR-320c	285	537	810	1631.44
hsa-miR-151b	389	411	789	1588.0
hsa-miR-96-5p	488	393	569	1450.0
hsa-miR-320d	204	474	674	1352.5099999999998
hsa-miR-500a-3p	220	659	403	1281.5
hsa-miR-1307-3p	435	319	443	1197.0
hsa-miR-335-5p	312	641	233	1186.0
hsa-miR-501-3p	179	572	430	1181.0
hsa-miR-34a-5p	270	540	356	1166.0
hsa-miR-92b-3p	225	342	595	1162.0
hsa-miR-28-3p	510	403	193	1106.0
hsa-miR-629-5p	215	294	570	1079.0
hsa-miR-502-3p	239	413	421	1072.5
hsa-miR-210-3p	221	222	599	1042.0
hsa-miR-345-5p	365	345	301	1011.0
hsa-miR-130a-3p	283	330	376	989.0
hsa-miR-1307-5p	283	436	267	986.0
hsa-miR-30b-5p	684	157	108	949.0
hsa-miR-199b-5p	403	406	132	940.6700000000001
hsa-let-7e-5p	739	89	74	901.9
hsa-miR-19b-3p	408	300	174	882.0
hsa-miR-30e-3p	634	113	89	835.5
hsa-miR-455-3p	750	49	2	801.0
hsa-miR-139-5p	208	354	237	799.0
hsa-miR-32-5p	145	262	389	796.0
hsa-miR-28-5p	503	118	138	759.0
hsa-miR-1180-3p	122	259	372	753.0
