name	SRX258935	SRX258931	SRX258933	SRX258932	SRX258926	SRX258927	SRX258937	SRX258936	SRX258930	SRX258934	SRX258939	SRX258938	SRX258928	SRX258929
hsa-miR-214-5p	1.2567135996833083	0.0	0.6359003251676313	0.0	0.0	1.9725028175969934	1.4766802652511537	0.0	1.457495779335139	1.842152577392514	0.89252881975559	0.6958859916062232	1.5546466055068693	0.870380726289197
hsa-miR-4645-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4441847444305341	0.0
hsa-miR-98-5p	68.74223390267696	84.15157994591348	40.920185924537066	28.48358942763465	75.57036382232101	78.25904928816071	30.51805881519051	42.92877258053438	80.16226786343265	62.522658476701935	82.76717255200171	86.57981545567426	154.4430356384967	139.22827692903567
hsa-miR-767-5p	276.162813530407	557.0260831647114	463.88928720978697	399.7334651559356	657.4505031610104	707.3888229607218	927.8474333328082	798.4751699979395	602.4315887918575	278.1650391862696	342.4335571795613	349.5667297835261	354.45942605556615	344.01798206580514
hsa-miR-6133	0.6283567998416542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6132	0.0	0.0	0.0	0.0	0.5831046591228474	0.0	0.0	0.0	0.0	0.0	0.5950192131703933	0.0	0.0	0.0
hsa-miR-651-5p	0.9425351997624811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89252881975559	0.0	3.1092932110137386	2.611142178867591
hsa-miR-6866-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3055710894337955
hsa-miR-6131	9.73953039754564	0.0	0.0	0.0	0.5831046591228474	0.49312570439924835	0.0	0.0	0.0	12.526637526269097	9.222797804141097	6.031011927253934	5.330216933166408	5.87506990245208
hsa-miR-6130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19833973772346442	0.3866033286701239	0.4441847444305341	0.3626586359538321
hsa-miR-656-3p	770.3654366058679	230.46057689733124	1678.4589082799628	1851.0893080930202	1625.1126849753755	2124.6320974041614	5183.1477310315495	4805.38075839951	229.79850120850693	791.3887472478241	1123.3962744657026	1109.938156611926	1380.0820009456693	1154.7776286041922
hsa-miR-376a-3p	10.367887197387294	3.3469378387579223	1.9077009755028937	5.848079954949144	15.743825796316878	20.957842436968054	51.19158252870666	40.287001960193805	4.372487338005417	6.631749278613051	23.503258920230536	28.067401661451	29.538285504630515	28.9401591491158
hsa-miR-148a-5p	21.678309594537065	22.47229691737462	7.630803902011575	10.66414580020138	25.36505267184386	18.98533961937106	13.290122387260384	21.13416496272462	27.206587880922594	19.52681732036065	27.965903019008486	30.387021633471747	28.42782364355418	31.76889650955569
hsa-miR-618	0.0	0.0	0.0	0.0	0.0	0.7396885565988724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4351903631445985
hsa-miR-185-5p	565.5211198574887	17.690957147720447	1563.6788995872053	1055.4064295167043	3680.702384548193	2846.568128644661	3427.128782270386	2371.3193530832104	15.546621646241483	576.5937567238569	793.3093659594268	818.5938881261205	1049.4975049032444	1033.7947076499938
hsa-miR-377-5p	29.84694799247857	43.98832588081841	128.76981584644534	205.71481253291694	243.44619518378877	279.84883724657345	229.37766786901256	242.38245441624795	41.29571374782894	26.1585665989737	23.80076852681573	30.15505963626967	31.31502448235265	29.810539875405
hsa-miR-30b-3p	0.6283567998416542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7368610309570056	1.78505763951118	2.3196199720207438	1.9988313499374033	2.611142178867591
hsa-miR-1468-5p	0.6283567998416542	2.3906698848270875	0.0	0.0	0.0	0.49312570439924835	0.0	0.0	7.287478896675696	0.0	1.4875480329259831	1.3917719832124464	1.332554233291602	0.870380726289197
hsa-miR-4639-3p	0.0	0.0	0.0	0.0	0.0	0.49312570439924835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-150-3p	0.6283567998416542	9.084545562342932	0.0	0.0	0.0	3.205317078595114	0.0	0.0	12.145798161126159	0.0	0.89252881975559	0.4639239944041488	2.665108466583204	0.4351903631445985
hsa-miR-342-3p	52.15361438685729	179.30024136203156	110.0107562540002	122.80967905393202	198.83868876089093	206.86623299548467	198.3673822987383	208.03943635182046	196.76193021024378	42.73793979550633	64.26207502240247	69.82056115782439	87.28230228059994	79.85743163703383
hsa-miR-7-5p	216.78309594537063	0.0	21.30266089311565	20.98428689717046	54.228733298424814	49.559133292124486	30.518058815190514	21.13416496272462	0.0	253.1117641337313	181.18335041038472	250.98288097264455	430.4150173531872	430.83845951315226
hsa-miR-548a-3p	0.0	0.0	0.0	0.0	0.0	0.49312570439924835	0.0	0.0	0.0	0.0	0.0	0.0	0.444184744430534	0.0
hsa-miR-6820-5p	0.0	0.0	0.0	0.0	0.5831046591228474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6125	0.6283567998416542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4752	0.0	0.0	0.0	0.6880094064646052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-138-2-3p	19.16488239517045	18.169091124685863	6.994903576843944	5.504075251716841	18.36779676236969	12.821268314380456	18.70461669318128	12.548410446617742	17.489949352021668	24.316414021581185	18.148086001696996	17.86107378455973	19.099944010512964	18.495590433645436
