name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
hsa-miR-532-5p	10862.997990160417	13156.875653487203	12088.117823265104	11323.728050427735	10050.166943507658	9603.73242850218	9240.668066076481	10472.261489195973	10522.831408212687	10301.629670057904	9655.133359759895	10434.652985677196	11180.14602639708	11266.01419052525	150158.95608525275
hsa-miR-221-3p	8588.056867362917	9758.742206560044	11295.556665002498	6483.565961278703	8540.12516568514	9906.689287445466	12777.220041982295	8943.253613362953	11245.840519869684	8203.781243870615	11325.669630216886	11751.406814822176	14760.60095478798	11880.826174373971	145461.33514662134
hsa-miR-140-3p	10431.437343559264	12585.67943306355	11632.551173240141	10018.009905447996	10738.074864515696	10876.151236063984	7027.471023090262	7818.134610391484	9303.297966863534	11418.77659619829	11991.052720992127	9006.099303114246	9073.996068520079	11299.247270733289	143219.97951579397
hsa-miR-218-5p	8883.98416788942	11423.924408473067	10815.027458811783	10558.307068887889	9664.267378064127	8391.904992729034	6936.205165647531	8856.705997749763	10958.379065837384	9832.59851786156	9301.206183815617	11676.873579210196	7862.959842740804	10701.051826988585	135863.39565470678
hsa-miR-30e-5p	9093.599339095696	9386.01246950393	10624.687968047929	8824.853669518236	10662.57277562457	8664.566165777993	9240.668066076481	8842.281395147564	7360.755413857384	10045.794496132625	11665.439719123393	9055.788126855567	11338.107273237854	9529.585749655207	134334.71262765443
hsa-miR-425-5p	10856.832838066115	11317.430197885606	10721.417873190216	11031.067086897794	10637.40541266086	9967.280659234124	5498.767910924524	5942.936272105703	9974.041359605568	9295.344652618473	11665.439719123393	10111.675631358616	7301.319853973603	8491.051993153986	132812.0114607986
hsa-miR-124-3p	8655.873540400247	9623.20412035782	9448.3275087369	10895.992796037823	10922.635526249554	9361.366941347555	6913.388701286851	8279.721893661832	6010.55767522082	9022.453800431513	9329.52035789116	6248.369585470986	7652.344846953106	8358.119672321829	120721.87696636797
hsa-miR-29a-3p	7697.192389736254	9332.765364210201	8874.188716924613	8892.390814948221	8506.568681733528	9346.219098400386	6114.812448662955	8222.023483253037	7953.100228226973	9350.77560696895	8834.022311569172	8857.032831890287	7055.602358887953	9155.713597314767	118192.4079327273
hsa-miR-381-3p	5708.930839323805	8548.580722611625	7120.56914628058	6010.805943268798	5033.472592741732	8422.200678623363	4951.17276626814	6231.42832414967	11846.896287391766	8442.560739534209	7121.014779998867	13217.227115191115	6511.5136197697275	9072.63089679467	108239.00445194806
hsa-let-7g-5p	5496.233092070381	5755.528017658677	6696.2056914628065	5189.104007203962	5559.1908413169795	5922.8065923412505	7586.474399926988	11150.217811499293	6663.879161657869	6408.67110682824	6299.903731808143	7271.131207479824	11019.259571281476	6746.315282231933	97764.92051476781
hsa-miR-151a-3p	7404.347665256902	6757.5417263679665	6995.756365451823	6888.788833858622	7751.547792822268	6331.7983519146865	7073.103951811628	6202.579118945273	5104.618547361452	7299.830296001296	7064.386431847783	5329.1263462565685	5528.643639427128	6696.465661919875	92428.53472924329
hsa-miR-323a-3p	7268.714319182253	6220.230027494869	5763.230154767848	7676.722197208464	5712.991392761866	7134.634028114396	5818.198411974081	6606.467991806826	5827.62765901845	6455.574222047875	6979.443909621156	5558.937156060173	5546.194889076102	5898.871736926937	88467.8380960613
hsa-miR-378a-3p	6384.939766464039	5843.627773690122	5986.333000499251	5050.652859072489	5280.9516618848675	5430.50169655841	6799.306379483435	7269.999711507948	4725.692085227965	6145.587269641745	6250.353927175944	6263.89734289015	9091.547318169054	5768.431897110383	86291.8226893758
hsa-miR-30d-5p	7108.4203647303975	5034.27177322542	4855.217174238643	8273.300315173345	8456.23395580611	6271.2069801260295	7187.186273615041	6346.825144967256	3188.208853812784	5607.054228529033	6724.616342941276	3602.439721245699	4282.504914349902	6413.984480151543	83351.47052291248
hsa-miR-24-3p	6313.115744565418	4908.414978894784	5148.527209186221	4254.840162089149	4194.560493951443	4756.422685409597	3719.083690791275	5106.309321178202	6341.573895015593	5602.790308963611	4855.88085395549	5242.170904709258	4458.017410839652	4685.86430933351	69587.5719688832
hsa-miR-432-5p	4741.001960518365	4463.075552801766	5004.99251123315	3534.443944169293	3993.2215902417743	4150.508967523025	6799.306379483435	6231.42832414967	4634.2270771267795	3854.583287140871	4487.796590973441	4608.638402007428	6792.333614153328	5433.60861401439	68729.16681553672
hsa-miR-148b-3p	4112.156446899545	4230.724547883669	4299.800299550674	4119.765871229176	3993.2215902417743	5634.997576345128	4654.558729579265	4702.420448316649	4364.187529399467	4587.977452393337	4855.88085395549	5826.0145836697675	5704.156135916877	4918.495870789784	66004.3579361706
hsa-miR-92a-3p	5178.72775921382	4666.382682105101	4355.966050923615	3984.691580369203	4161.004009999832	4120.213281628696	4859.906908825408	4096.58713902432	4294.499904179515	3666.970826262333	5223.965116937538	4397.460901106819	3791.0699241786015	5284.059753078214	62081.505837833014
hsa-let-7a-5p	3306.062810569537	3743.2715021492468	4049.2386420369444	3528.8158487167934	4181.976812469589	4012.6635967038283	5357.305831888291	5125.061304561059	4280.562379135525	3623.478846695036	3646.865620929838	4781.307064508515	5727.850322942995	4002.9245110583074	59367.385094365505
hsa-miR-219a-2-3p	2953.1078531707376	3572.3967006157304	3569.6455317024465	3579.468707789284	3942.886864314357	3635.4823073194375	5886.647805056129	5279.404552404581	3867.6631997073123	3871.6389654025566	3581.74302055609	4322.927665494838	5475.989890480202	4702.48084943753	58241.48391345124
hsa-miR-760	3933.367036164782	4143.592921039383	4774.08886669995	2994.146780729401	4177.782251975638	4120.213281628696	5202.153874235649	3490.753829731991	4224.812278959564	3632.8594697389626	4431.168242822357	3776.3506043403186	4510.671159786577	4203.984646316944	57615.94524417022
hsa-miR-99b-5p	6041.8490524161225	3843.472873020176	3351.223165252122	4007.2039621791982	3556.9872988708244	4998.788172564226	3399.6531897417176	2625.2776736000924	3588.9126988275057	4715.895039355977	5011.608811370972	4111.750164594228	2790.648694187026	3755.3380635084163	55798.60885948861
hsa-miR-320b	3607.157095708409	3549.299904293513	4025.0933124123335	3576.735061426643	3390.563117748904	3646.7349906516156	4124.456207599406	3935.0315898797	3237.3427776657795	3533.997448957836	4293.878205906067	3271.387933069154	4178.325711076344	3532.2016678258688	51902.20502422158
hsa-miR-340-5p	2299.6017311747078	2691.399140301282	2827.009485771343	2521.3867627194954	2466.4015704434487	4211.100339311682	2669.5263301998725	3000.3173412572482	2918.169306085472	3743.721378439917	3440.172150178379	3912.9948696289484	2931.058691378826	2758.345657267244	42391.204754157865
hsa-miR-889-3p	2410.574468872147	2187.97196297874	2727.1592611083374	2116.163890139577	2298.619150685391	4059.6219098400384	2304.4629004289495	3259.960188096818	2804.9269151030508	3001.7993740566076	3779.942239084886	3714.2395746636685	3896.3774220724517	3273.4584004918497	41835.277657622515
hsa-miR-326	2786.648746624579	3291.639236339697	2883.1752371442835	4952.72399819901	4614.016543346588	2302.472127968977	2692.342794560555	1788.6507226725903	2752.661196188087	3061.494247972506	2888.045755705306	2173.886038682749	1228.5874754282506	2625.4133364350873	40041.757457268264
hsa-miR-136-3p	2916.1169406049244	2894.7062696046164	2926.8597104343485	2769.0229626294463	2617.405748225701	2787.2031022782353	1756.8677557725655	2567.579263191299	2726.528336730605	3266.1623871127294	3213.6587575740414	2869.529571061229	2825.7511934849763	2907.89451820342	39045.286516908134
hsa-miR-320c	2674.1640787706797	2732.844289789648	3026.5910657822797	2766.289316266804	2752.989922668284	2495.4989266671278	2808.706762800037	2579.1189452730578	2543.3701765170954	2507.814140213106	3038.616488557029	2468.0852825844813	2750.824072959711	2568.442341792735	37713.35581064207
hsa-miR-26a-5p	2472.2259898151688	2062.1151686481044	3089.1163255117326	2318.775326429536	2919.414103790205	2211.585070285991	2966.140366888747	2481.031647578109	2221.2930538859564	2524.24038272942	2704.0036242142814	2571.396628613309	3457.5961808480765	2027.2178926903841	36026.151761929024
hsa-miR-320d	2461.877341656875	2572.4575544503514	2831.4670850866564	2671.7373126648226	2621.0010857919456	2350.0796343743505	2566.8522405768003	2336.785621556126	2252.7147063288808	2320.4859406389296	2676.195060390088	2319.846958422877	2711.0412404220338	2319.194240232442	35011.73602259318
hsa-miR-222-3p	2459.895685626564	2952.79402083414	2477.533699450824	2949.12201710941	2869.0793778627876	2272.1764420746485	2190.380578625536	1529.0078758330208	2430.355929545811	2575.407417514476	2463.333144572173	2186.3082446180792	2334.316203313676	2642.029876539107	34331.74051352025
hsa-miR-328-3p	2842.1351154732984	3059.2882314216013	2215.4268597104347	2611.4362899594776	2734.8534420563415	2120.6980126030053	1619.9689696084695	1182.8174133802613	3092.388369135351	2336.627921850882	2321.7622741944615	2558.974422677979	1140.8312271833754	2409.3983150828335	32246.606864337773
hsa-miR-423-5p	3797.733690090134	1800.7202881152461	1947.0793809286072	2206.213417379559	2063.72376302411	1878.332525448376	2372.9122935109976	1875.1983382857802	2447.777835850799	2149.015460972344	3072.0878871963305	2372.641333648029	2229.008705419826	1977.3682723783254	32189.813192248464
hsa-miR-181d-5p	2077.6562557798297	1771.676412500484	2618.9881843900816	1981.0895992796038	2074.9092576746475	1787.44546776539	2426.1507103525905	3317.6585985056113	1777.034443108765	1995.5143566171766	1849.859372935425	2211.152656488739	2814.050360385659	2586.6414095257087	31289.827085309713
hsa-miR-6529-5p	3193.548784848522	2275.103589823026	2181.1033449825263	1620.8914903196758	1459.7070518951025	2105.550169655841	1699.8265948708588	1442.460260219831	2822.3488214080385	2268.405208804141	2293.4481001189192	2683.196482031279	2334.316203313676	2151.8419434705306	30531.74804576197
Hsa-Mir-6529_5p	3193.548784848522	2275.103589823026	2181.1033449825263	1620.8914903196758	1459.7070518951025	2105.550169655841	1699.8265948708588	1442.460260219831	2822.3488214080385	2268.405208804141	2293.4481001189192	2683.196482031279	2334.316203313676	2151.8419434705306	30531.74804576197
hsa-miR-423-3p	2299.6017311747078	2623.6300972001704	2521.218172740889	1823.5029266096353	2097.2802469757216	2060.106640814348	1003.9244318700374	923.1745665406918	3153.3650412028087	2200.1824957574	2619.0611019876546	2608.663246419299	1544.5099691098007	2691.8794968511656	30170.100165254327
hsa-miR-126-5p	1757.0683468761174	1703.9073693993728	2315.2770843734397	1463.3048176497073	2281.840908709585	1787.44546776539	2372.9122935109976	2509.880852782506	2064.495897141065	1739.6791826918977	1840.421314910244	2074.508391200109	2948.609941027801	2409.3983150828335	29268.75018312106
hsa-miR-103a-3p	1979.0138222709952	2446.139746221069	2602.3464802795806	1831.007053879634	1828.8283753628295	1736.952657941509	1551.5195765264216	1452.0766619546298	2531.983716324907	2265.5625957605266	2260.414897030787	1937.8641259114793	2000.8424599831508	2232.1552206399583	28656.70739008748
hsa-let-7c-5p	1468.847486467491	1796.3637067730317	1967.0494258612082	1694.0567312021612	1690.407879062432	1701.1027629665534	2637.5832800949165	2612.295531258114	1934.2671475112809	1861.6272822629473	1461.0113822979783	2103.0794648513684	2658.1367593372647	1949.1201542014921	27534.948994148242
hsa-miR-126-3p	1979.0138222709952	2033.0712930333425	2390.164752870694	1530.8419630796939	2248.2844247579737	1817.7411536597187	2053.4817924614404	2250.2380059429365	1838.0111151762226	2021.0978740097046	1698.850444532533	1577.6201537869094	2316.764953664701	1645.0374702979345	27400.2192195448
hsa-miR-330-3p	2028.3350390254127	2091.1590442628667	1915.8761857214179	2791.535344439442	1610.7112296773544	1969.219583131362	1985.0323993793922	1904.0475434901768	1602.8153800588861	2191.6546566265574	1939.5209241746418	1478.2425063042695	1491.8562201628756	1777.969791130091	26777.97584758474
hsa-miR-708-3p	1602.9395445185633	1965.302249932231	1822.2666000998504	1755.9657811796487	1862.384859314441	1878.332525448376	1870.9500775759789	2105.9919799209533	1829.3001620237287	2242.8216914116133	1528.9654000792796	1838.4864784288393	1509.4074698118507	1312.7066682175437	25125.821487962894
hsa-miR-92b-3p	2126.977472534247	1761.9951206288968	1591.36295556665	2251.2381809995495	1929.497827217664	1757.1497818710614	1483.0701834443735	1182.8174133802613	2090.628756598547	1816.4297348694813	1840.421314910244	2273.263686165389	789.8062342038753	2027.2178926903841	24921.876555080624
hsa-let-7d-3p	2392.0790125892404	1665.1822019130234	1603.8442336495257	1643.4038721296713	1241.5899062096273	2241.8807561803196	1049.5573605914028	548.1348988835358	3693.4441366574333	1688.5121479068418	2151.8772297412083	2757.729717643259	579.1912384161752	1279.4735880095047	24535.900300520767
hsa-miR-16-5p	1491.9668068211242	1858.8080393447703	1928.3574638042937	1688.4286357496624	1946.2760691934698	1757.1497818710614	1505.886647805056	1932.8967486945735	1332.7758323315738	1679.9843087759991	1628.0650093436773	1267.0650054036596	1877.9837124403257	1445.6389890497	23341.283050628947
hsa-miR-410-3p	1522.7925672926349	1152.073732718894	1791.063404892661	1125.6190904997748	1744.9371654838005	1514.7842947164322	1688.4183626905176	1355.9126446066412	1088.8691440617433	1739.6791826918977	1613.9079223059061	1527.9313300455894	2088.5987082280258	1545.3382296738173	21499.92577990834
hsa-miR-219a-5p	1041.910703937066	1103.6672733609573	1591.36295556665	1418.2800540297162	1493.263535846714	2272.1764420746485	638.8610020991148	1125.1190029714683	1759.6125368037772	1739.6791826918977	2180.1914038167506	2049.6639793294494	1368.9974726200505	1595.187849985876	21377.973395134137
hsa-miR-379-5p	1473.4713505382176	1403.787321380165	1635.047428856715	1125.6190904997748	1107.3639704031812	969.4619486185167	1551.5195765264216	1644.4046966506073	1716.0577710413074	1577.6502392058876	1302.4520074749419	1614.8867715928993	1772.6762145464756	1329.3232083215632	20223.721595656672
hsa-miR-125b-2-3p	1535.1228714812394	1713.58866127096	1616.3255117324015	1508.3295812696983	1510.0417778225196	999.7576345128452	1140.8232180341336	1327.0634394022445	1341.4867854840677	1398.5656174581923	1387.3945297015684	1453.3980944336095	1667.3687166526256	1445.6389890497	20044.905428305807
hsa-miR-660-5p	1374.828917029383	1326.3369864074664	1778.5821268097854	1058.0819450697884	1459.7070518951025	969.4619486185167	1323.3549329195948	1009.7221821538817	1655.0810989738497	1296.2315478880805	1387.3945297015684	1627.3089775282294	1737.5737152485258	2010.6013525863646	20014.267312830136
hsa-miR-27a-3p	1235.085469558534	1755.5409260478386	1701.6142452987185	1789.734353894642	1521.227272473057	1206.7781547907578	1129.4149858537921	1384.7618498110378	1419.8853638565133	1384.3525522401212	1245.8236593238576	1440.9758884982796	1111.579144435084	1473.3332225563995	19800.107088638637
hsa-miR-486-5p	1257.691027237642	1936.258374317469	1809.7853220169745	1193.1562359297614	687.9079210080367	1060.3490063015026	479.14575157433603	807.7777457231053	2020.9411313785954	1065.9798913553295	1514.8083130415084	2049.6639793294494	1140.8312271833754	1894.2855718582277	18918.581498255313
hsa-miR-33a-5p	1331.672852369268	2052.433876776517	1528.9565651522717	1710.9410175596577	1409.3723259676851	1151.2360639844885	821.392716984576	1327.0634394022445	1585.3934737538982	1577.6502392058876	1104.2527889461464	1180.1095638563495	772.2549845549004	1312.7066682175437	18865.436576731434
hsa-miR-139-5p	1596.774392424261	1907.214498702707	1497.7533699450823	1328.2305267897343	1325.481116088656	1272.418807561803	1460.2537190836908	836.626950927502	1768.323489956271	1415.6212957198775	920.210657455122	1428.5536825629495	1035.5237292895254	996.9924062411725	18789.978642748356
hsa-miR-543	1066.5713123142748	1210.1614839484182	1316.774837743385	1103.1067086897795	1157.6986963305985	1393.6015511391176	1802.500684493931	1442.460260219831	1498.2839422289587	1296.2315478880805	920.210657455122	1478.2425063042695	1667.3687166526256	1179.7743473853875	18532.98725279378
hsa-miR-4448	1393.3243733122895	1248.8866514347676	1054.6679980029955	1936.0648356596128	1728.1589235079948	908.8705768298594	1916.5830062973441	1586.706286241814	2290.9806791059077	1176.8418000562838	693.6972648507842	1080.7319163737095	631.8449873631002	814.2104650969575	18461.569764133415
hsa-miR-411-5p	1202.2046583889223	1248.8866514347676	1416.6250624063905	1170.6438541197658	1090.5857284273754	1333.0101793504605	1072.3738249520854	1298.2142341978479	966.9157999268281	1330.3429044114512	1217.5094852483153	1229.7983875976695	1386.5487222690256	1013.6089463451921	16977.2684390761
hsa-miR-204-3p	1239.1955709547353	1258.567943306355	1079.6305541687468	765.4209815398469	973.1380345967349	757.3921473582161	1140.8232180341336	952.0237717450884	966.9157999268281	1091.5634087478572	1146.7240500594596	1006.1986807617296	1070.6262285874755	797.593924992938	14245.814314780144
hsa-miR-146a-5p	1643.0130331315272	987.4917709019091	1266.8497254118822	776.6771724448447	947.9706716330263	651.3572467280659	798.5762526238934	865.4761561318986	527.0126657258837	729.1302456870453	1649.300639900334	633.5325027018298	1140.8312271833754	938.8345158771041	13556.053826082618
hsa-miR-203a-3p	314.4227568094105	503.4271773225419	942.3364952571144	1846.0153084196309	419.45604939514436	363.54823073194376	844.2091813452588	432.7380780659493	522.6571891496368	5798.930608972992	509.6551333597599	521.7326492838598	245.7174950856501	282.4811817683322	13547.327534967226
hsa-miR-134-5p	1029.5803997484618	1200.4801920768307	1223.1652521218173	742.9085997298514	771.7991308870656	1120.9403780901598	638.8610020991148	576.9841040879323	932.0719873168522	1210.9531565796542	877.7393963418086	894.3988273437596	719.6012356079754	1046.842026553231	12986.325688584515
hsa-let-7f-5p	672.0015782789361	571.1962204236534	898.6520219670494	742.9085997298514	699.0934156585739	1211.827435773146	958.2915031486721	1038.5713873582783	801.4076900294431	912.478787000162	792.796874115182	1138.702210738583	1328.0445567724423	947.1427859291139	12713.115066923086
hsa-miR-107	930.937966239627	1116.5756625230738	1142.0369445831254	847.9663815098305	788.5773728628714	777.5892712877685	707.3103951811628	567.3677023531335	1100.4837482650687	1000.5997913522024	1009.8722086943392	857.1322095377697	877.5624824487504	974.8370194358132	12698.849156274537
hsa-miR-744-5p	863.1212932023033	958.4478952871472	904.8926610084873	765.4209815398469	906.0250666935118	605.913717886573	935.4750387879894	807.7777457231053	1097.5800972142372	895.4231087384767	990.9960926439775	944.0876510850796	895.1137320977253	1080.0751067612703	12650.35018866973
hsa-miR-361-3p	758.3137075991664	832.5911009565117	1010.9835247129306	562.8095452498874	520.125501249979	575.6180319922443	912.6585744273068	692.3809249055189	810.1186431819369	793.089039168365	1047.624440795062	1378.8648588216295	1070.6262285874755	1246.2405078014656	12212.044629449481
hsa-miR-676-3p	974.0940308997422	958.4478952871472	1042.18671992012	855.4705087798288	687.9079210080367	484.73097430925833	1003.9244318700374	1211.666618584658	905.9391278593704	656.6436130748829	736.1685259640976	683.2213264431498	965.3187306936254	581.578903640684	11747.299328334639
hsa-miR-495-3p	721.3227950333534	1064.942105874608	773.8392411382926	720.3962179198559	721.4644049596483	787.6878332525448	775.7597882632108	807.7777457231053	1175.9786755866828	844.2560739534209	750.3256130018686	894.3988273437596	614.2937377141253	780.9773848889184	11433.420444653393
hsa-miR-200a-3p	604.1849052416122	764.8220578554003	854.9675486769845	517.7847816298964	570.4602271773963	787.6878332525448	981.1079675093548	1067.420592562675	479.10242338716705	801.6168782992078	736.1685259640976	732.9101501844698	1175.9337264813255	880.6766255130357	10954.844243735166
hsa-miR-125b-1-3p	782.9743159763751	822.9098090849243	736.3954068896655	585.3219270598829	755.0208889112598	605.913717886573	889.8421100666241	778.9285405187087	827.5405494869249	631.060095682355	750.3256130018686	894.3988273437596	895.1137320977253	747.7443046808794	10703.489838687525
hsa-miR-152-3p	659.6712740903317	745.4594741122256	892.4113829256116	562.8095452498874	604.016711129008	1030.053320407174	524.7786802957014	750.0793353143121	566.2119549121065	733.3941652524667	637.0689166996998	757.7545620551297	965.3187306936254	714.5112244728402	10143.53927761012
hsa-miR-320e	701.0291693896088	851.9536846996864	886.1707438841738	768.2350292660964	809.5501753326287	742.2443044110518	690.1980469106508	649.1071170989239	591.2559452255266	653.445673400817	769.791607678804	631.9797269599135	655.9779556304409	689.586414316811	10090.525594205134
hsa-miR-5100	505.5424717327776	764.8220578554003	574.1387918122816	1710.9410175596577	1711.380681532189	302.9568589432865	1095.190289312768	1211.666618584658	304.88336033728814	818.672556560893	226.51339260433772	161.48867715928995	175.51249648975008	448.6465828085276	10012.355853293104
hsa-miR-206	653.5061219960296	706.7343066258762	673.9890164752871	315.17334533993693	654.3514370564252	424.13960252060104	1186.4561467554988	865.4761561318986	688.1652990470218	776.0333609066798	736.1685259640976	645.9547086371598	737.1524852569503	648.0450640567622	9711.345576770225
hsa-miR-1224-5p	1035.745551842764	910.0414359292105	611.5826260609086	720.3962179198559	520.125501249979	575.6180319922443	456.3292872136534	519.2856936791392	897.2281747068764	665.1714522057256	467.1838722464465	695.6435323784798	666.9474866610503	731.1277645768598	9472.426628663196
hsa-miR-873-5p	573.3591447701015	716.4155984974635	711.4328507239142	517.7847816298964	486.56901729836744	666.5050896752302	387.8798941316054	721.2301301099155	679.4543458945278	699.2828087290961	679.5401778130132	546.5770611545198	579.1912384161752	648.0450640567622	8613.26720290059
hsa-miR-767-5p	536.3682322042885	687.3717228827015	717.673489765352	180.09905447996397	637.5731950806195	484.73097430925833	593.2280733777494	634.6825144967256	601.0557675220823	673.6992913365682	481.34095928421766	596.2658848958398	561.6399887672002	947.1427859291139	8332.87193433168
