name	mean male	noSamples_male	stddev male	mean female	noSamples_female	stddev female	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-6812-5p	0.00752094130898072	115.0	0.08065311023085397	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645223	0.41463305945955486	1.0
hsa-miR-3059-5p	0.6111297491625856	115.0	0.5213650708896379	0.6731502132179568	77.0	0.5390701684792538	1.101484936939097	0.13944976598581782	0.796927218653065	0.4264880160501363	1.0
hsa-miR-671-5p	25.858617022168353	115.0	11.085929946325589	24.127897206564185	77.0	8.23489367125095	0.9330699002920211	-0.09994293125169867	-1.170313287724552	0.2433407448703495	1.0
hsa-miR-3157-3p	0.0037218563689103983	115.0	0.03991246303527106	0.052996907245220944	77.0	0.20595312769519392	14.239374653981123	3.8318138842106033	2.499606860083227	0.01328025400160771	1.0
hsa-miR-6855-5p	0.029300068648942412	115.0	0.22749707734342045	0.0	77.0	0.0	0.0	-Infinity	-1.1291739734838615	0.26024807632589775	1.0
hsa-miR-361-3p	315.30009102908616	115.0	44.80861335059135	327.06252967074744	77.0	49.76780089577725	1.0373055351911593	0.05284089818339157	1.7048342507986023	0.08985983194347058	1.0
hsa-miR-484	218.3546118075218	115.0	91.55402078898992	219.8577359611982	77.0	51.481154665870974	1.0068838672159641	0.009897294215188866	0.1308130352609307	0.8960616120152907	1.0
Hsa-Mir-3059_5p	0.6111297491625856	115.0	0.5213650708896379	0.6731502132179568	77.0	0.5390701684792538	1.101484936939097	0.13944976598581782	0.796927218653065	0.4264880160501363	1.0
hsa-miR-30b-3p	1.2382575232185866	115.0	0.9448025126611783	1.2823981241838402	77.0	1.06682619624975	1.0356473513284374	0.05053283400940519	0.3011483664049531	0.7636306723865437	1.0
hsa-miR-1301-3p	1.2535575077423242	115.0	1.9608501854870268	1.1486701116530353	77.0	1.4207833937516594	0.9163282135510539	-0.1260636545888854	-0.4036259332506053	0.6869417002629115	1.0
hsa-miR-6715b-3p	0.05743795710170608	115.0	0.23306273765803237	0.016862498544063787	77.0	0.14796782420661092	0.2935776165263879	-1.7681861190679506	-1.3551145030772629	0.17698996677241818	1.0
hsa-miR-3920	0.005650943561356578	115.0	0.0605996184836861	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645229	0.41463305945955486	1.0
hsa-miR-629-5p	101.71558828591748	115.0	223.08285126146959	99.27598656246381	77.0	124.52554025565898	0.976015458745654	-0.03502409660834639	-0.0872441620099521	0.9305693154712854	1.0
hsa-miR-2467-5p	0.0	115.0	0.0	0.008051148009370368	77.0	0.07064853705984793	1.0080511480093703	0.011568842317372725	1.2236812629657017	0.22258783610366284	1.0
hsa-miR-1298-3p	42.708849116015294	115.0	12.054510992571725	42.67363483085064	77.0	11.903159332058665	0.9991754803537553	-0.0011900210700744205	-0.019938444625794177	0.984113399486929	1.0
hsa-miR-493-3p	1.0569127771459939	115.0	1.721907466972659	1.4049318137796027	77.0	1.6400693622591236	1.3292788621340852	0.41064379145792684	1.3987833132898881	0.1635081945640594	1.0
hsa-miR-218-2-3p	3.1017451372522054	115.0	1.757703272787128	2.524911655204203	77.0	1.4832213578883844	0.8140293749089225	-0.2968472386381264	-2.3692966500755315	0.01882462789940091	1.0
hsa-miR-3190-3p	0.006830128838940085	115.0	0.07324497180694331	0.02368823911225683	77.0	0.12146731255486806	3.468197990234811	1.7941862605483725	1.1987825368497294	0.2321055253415426	1.0
hsa-miR-122-5p	2085.4105503540136	115.0	2525.1875058562387	1742.6691764900545	77.0	1967.8816453465915	0.8356480100257591	-0.2590327137361119	-1.0039736706052755	0.3166681970609766	1.0
hsa-miR-582-3p	1.5060705359311337	115.0	1.8254774014124144	1.6479706812263908	77.0	1.939073424990121	1.09421879115876	0.12990123663168027	0.5148494149628879	0.6072566657635959	1.0
hsa-miR-3918	0.0	115.0	0.0	0.01569307443178123	77.0	0.13770616926757415	1.0156930744317811	0.02246450949998689	1.223681262965701	0.22258783610366284	1.0
hsa-miR-3917	0.049427358722988854	115.0	0.22550822784554445	0.051664452311140335	77.0	0.20221456349553973	1.0452602292728015	0.06386216215643967	0.07017566134729161	0.9441276514438139	1.0
hsa-miR-3916	0.0	115.0	0.0	0.01759873396120646	77.0	0.11166486847504012	1.0175987339612065	0.025168780816445666	1.692304620349859	0.09222710794605715	1.0
hsa-miR-4687-3p	0.013644939753913808	115.0	0.10356102420618021	0.0	77.0	0.0	0.0	-Infinity	-1.155163156533288	0.24947429605718285	1.0
hsa-miR-3911	0.0037218563689103983	115.0	0.03991246303527106	0.0034731886490234985	77.0	0.030477106705875726	0.933187179934163	-0.09976160708137846	-0.04635229732869819	0.963078139589946	1.0
hsa-miR-211-5p	0.13073636451249318	115.0	0.24805531146848195	0.09492020310299144	77.0	0.19632313825935335	0.7260428531643991	-0.4618733920889102	-1.0632185819933655	0.28903227491627004	1.0
