name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-29b-3p	2143	0	3987	2565	8694.32
hsa-miR-452-5p	967	0	6096	1542	8605.0
hsa-miR-425-5p	2206	0	5418	968	8592.0
hsa-miR-184	24	0	8112	246	8382.0
hsa-miR-200b-5p	735	0	7307	176	8218.0
hsa-miR-193a-5p	965	0	6256	959	8180.0
hsa-miR-361-3p	394	0	7517	119	8030.0
hsa-miR-497-5p	1030	0	4664	1628	7322.0
hsa-miR-151b	1110	0	4144	1816	7069.0
hsa-miR-15a-5p	1850	0	3454	1647	6951.0
hsa-miR-135a-5p	171	0	5947	522	6640.34
hsa-miR-361-5p	2827	0	2125	1593	6545.0
hsa-miR-221-3p	1302	0	3548	1437	6287.0
hsa-miR-107	2438	0	1650	1926	6014.0
hsa-miR-223-3p	2142	0	2119	1477	5738.0
hsa-miR-92b-3p	1268	0	3645	590	5503.0
hsa-miR-192-5p	1329	0	1850	2291	5470.0
hsa-miR-885-3p	381	0	4897	124	5402.0
hsa-miR-374a-3p	693	0	3286	1310	5289.0
hsa-let-7a-3p	1619	0	947	2580	5147.02
hsa-miR-187-3p	1257	0	2235	1588	5080.0
hsa-miR-132-3p	1354	0	2474	1231	5059.0
hsa-miR-190a-5p	469	0	2907	1486	4862.0
hsa-miR-744-5p	435	0	3926	439	4800.0
hsa-miR-185-5p	521	0	3243	926	4690.0
hsa-miR-1307-3p	484	0	3674	207	4365.0
hsa-miR-326	819	0	2924	552	4295.0
hsa-miR-340-5p	646	0	1782	1764	4192.0
hsa-miR-331-3p	90	0	3917	154	4161.0
hsa-miR-130b-3p	1924	0	1087	1119	4130.0
hsa-miR-324-3p	599	0	3109	251	3959.0
hsa-miR-451a	120	0	3371	418	3909.0
hsa-miR-146b-3p	189	0	3420	163	3772.0
hsa-miR-181a-3p	797	0	2505	440	3741.5
hsa-miR-33b-5p	166	0	2916	651	3733.0
hsa-miR-29c-5p	750	0	2397	427	3574.0
hsa-miR-142-3p	303	0	2458	594	3355.0
hsa-miR-203a-3p	650	0	1939	734	3323.0
hsa-miR-5100	3118	0	182	5	3305.0
hsa-miR-96-5p	318	0	2562	354	3234.0
hsa-miR-222-3p	523	0	1741	826	3090.0
hsa-miR-651-5p	561	0	783	1734	3078.0
hsa-miR-190b-5p	413	0	1842	772	3027.0
hsa-miR-629-5p	830	0	848	1263	2941.0
hsa-miR-378g	221	0	306	2233	2760.0
hsa-miR-106b-3p	363	0	2208	169	2740.0
hsa-miR-532-5p	828	0	1253	581	2662.0
hsa-miR-425-3p	498	0	1757	297	2552.0
hsa-miR-664a-5p	390	0	1706	427	2523.0
hsa-miR-1843	392	0	1711	406	2509.0
hsa-miR-10399-5p	636	0	626	1205	2467.0
hsa-miR-378b	507	0	45	1804	2356.0
hsa-miR-99b-3p	509	0	1380	331	2220.0
hsa-miR-194-5p	158	0	1766	154	2078.0
hsa-miR-196b-5p	194	0	1408	395	1997.0
hsa-miR-10b-5p	219	0	1721	48	1987.5
hsa-miR-3615	208	0	1708	30	1946.0
hsa-miR-4516	1159	0	777	4	1940.0
hsa-miR-320b	804	0	719	382	1904.9
hsa-miR-1246	1815	0	49	14	1878.0
hsa-miR-330-3p	698	0	922	249	1869.0
hsa-miR-140-5p	82	0	1609	170	1861.0
hsa-miR-4492	15	0	1750	0	1764.5
hsa-miR-424-5p	314	0	1111	275	1700.0
hsa-miR-339-5p	337	0	1276	72	1685.0
hsa-miR-148b-5p	191	0	1131	349	1671.0
hsa-miR-1287-5p	314	0	964	315	1593.0
hsa-miR-21-3p	563	0	592	360	1515.0
hsa-miR-1260a	374	0	843	289	1505.5
hsa-miR-660-5p	566	0	486	448	1500.0
hsa-miR-142-5p	738	0	314	396	1448.0
hsa-miR-18a-5p	263	0	672	490	1424.0
hsa-miR-135a-2-3p	95	0	1046	268	1409.0
hsa-miR-210-3p	253	0	918	201	1372.0
hsa-miR-3613-5p	29	0	1231	72	1332.0
hsa-miR-1-3p	64	0	1002	261	1327.0
hsa-miR-199a-3p	256	0	720	299	1275.0
hsa-miR-1260b	278	0	813	183	1273.5
hsa-let-7g-3p	253	0	282	712	1247.0
hsa-miR-7-5p	54	0	1027	147	1228.01
hsa-miR-133a-3p	0	0	1153	20	1173.34
hsa-miR-769-5p	174	0	890	108	1172.0
hsa-miR-33a-3p	302	0	165	693	1160.0
hsa-miR-33a-5p	40	0	667	452	1159.0
hsa-miR-34a-5p	67	0	870	221	1158.0
hsa-miR-502-3p	383	0	517	241	1140.17
hsa-miR-941	145	0	906	23	1073.8899999999999
hsa-miR-486-5p	35	0	1025	12	1072.0
hsa-miR-501-3p	332	0	568	170	1069.67
hsa-miR-421	202	0	672	130	1004.0
hsa-miR-30c-2-3p	40	0	936	25	1001.0
hsa-miR-99a-3p	198	0	564	238	1000.0
hsa-miR-29a-5p	158	0	415	383	956.0
hsa-miR-324-5p	66	0	841	45	952.0
