name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
hsa-miR-423-3p	4907.899232752462	9057.225195553725	7550.286085058692	5957.18901453958	7027.687093478206	3969.5141314703083	3486.7577392244348	1303.5685188202706	2976.0428550171123	3515.2326749246736	10042.01019926763	7884.830603316716	4536.862003780719	15305.196840004619	11865.118231425771	8551.237050526935	11062.995266088963	8724.725992165551	11128.275206464263	9972.705961655938	7296.737999258364	10154.361167937512	11191.375724535128	6566.561050649768	5226.137640937692	2013.7244395277687	6823.609689525759	7120.540579815448	8766.014834794336	2272.4159524089077	4336.043360433604	12931.291341398011	7159.552499602877	13478.728533808093	14507.772020725388	10390.306350293251	11054.253484492947	5942.947702060222	3378.654087845006	11545.496113397347	9564.037844056389	1733.1022530329287	322279.0245660733
hsa-miR-140-3p	6212.530674370205	2264.3062988884312	7255.353034861087	3432.9563812600973	8672.464923866723	6033.661479834868	4246.284501061571	1303.5685188202706	1041.6149992559895	1757.6163374623368	7795.47547907353	2975.887679316309	1638.3112791430374	6663.038279484769	8674.96851825941	16356.106777441793	22609.234176116504	5509.832627705457	17117.224169686888	17005.35950190637	6136.437038720558	6936.953691649619	19141.264352256363	2204.1603526656563	6709.387348343512	4226.228544759995	1705.9024223814397	2688.3673617670565	6293.549112160036	6535.9477124183	7046.070460704606	7794.52952744175	5752.603989379808	21134.230926152588	7461.139896373056	7294.054601208729	9230.725735772243	2080.0316957210775	5908.564153622668	2886.3740283493366	5563.282336578582	0.0	293295.60092624265
hsa-miR-127-3p	2205.448389401423	4322.766570605187	15100.572170117384	2221.324717285945	1545.094325516485	396.9514131470308	406.258500517538	325.89212970506765	297.6042855017113	502.1760964178105	7795.47547907353	6307.864482653373	5419.02961562697	20318.968218626822	5149.013572128165	22949.728962037625	3110.587727488118	2967.5938748862422	5567.108312043254	6295.383485752632	6327.826887881433	5988.469406732379	15739.794976556443	4086.8806539009042	1877.2379109354902	267.9204189929649	6823.609689525759	4577.490372738502	6518.318723308609	653.105553598685	1626.0162601626016	1096.4781598236102	6978.010756348288	14643.373762100811	17999.20286966919	16746.55393134657	4438.6644426224875	2278.1299524564183	1224.1500318279009	12431.412894375857	4936.5545424887105	8665.511265164645	259129.55579109062
hsa-miR-101-3p	7952.039263193862	2470.152326060107	9142.92455612576	2221.324717285945	7750.392503800433	11908.542394410924	6440.0804038562765	5540.16620498615	2033.6292842616936	5523.937060595916	7773.010131871588	3052.192491606471	2142.407057340895	461.79473224151866	4617.321953267105	5570.032712213555	6347.850973290232	8338.93878843034	3659.9132553027157	5326.399985555525	6028.780248567566	6527.80360795983	3549.1453254408743	2892.9604628736743	8099.933949036467	4476.863775430833	4776.526782668031	4068.880331323113	3821.0833895257365	15970.509960471214	15989.159891598916	3611.226982897325	5945.492091587809	4339.601646823189	7206.058190514149	5358.897258030903	6870.034774250092	4308.637083993661	10968.384285177992	1971.8792866941012	6052.645134703549	1733.1022530329287	242840.65750829896
hsa-miR-1307-3p	2671.388189979188	9263.0712227254	6842.44676458444	7774.636510500808	3339.3974132130484	873.2931089234678	1123.3930709963224	325.89212970506765	1587.2228560091266	836.9601606963508	6582.346730168715	7299.827042425476	7057.340894770007	13491.003249055795	5652.721421575486	5659.5967910470035	4808.978010068357	3125.8655482135086	9345.849919790862	4098.619649902048	5933.0853239871285	4203.087223358751	4413.0496314254415	5694.080911052945	2630.450652977508	1063.0390818107962	3070.6243602865916	4722.807527428613	7192.627556754327	1061.6022856248287	0.0	8163.9949943388365	5310.095990196745	12417.937020140202	7604.623355918692	5552.412992348685	6530.773797743915	7923.930269413629	1338.4040347985049	8459.076360310928	8301.99694362884	1733.1022530329287	215080.65325092932
hsa-miR-584-5p	2702.450843351039	823.3841086867022	3893.116262608388	807.7544426494346	1869.0657163505869	2064.1473483645605	1261.1676929109658	1303.5685188202706	1091.2157135062746	1925.008369601607	6470.01999415901	8113.745040187202	5923.125393824827	7504.164398924678	9654.40044774031	8384.903761264815	3992.6246698226073	4767.934158983896	11235.220723664666	4489.824168615166	4270.386009402026	7029.942347033662	8882.708376918248	5831.840933094549	1715.0074741879787	613.6241854355003	7164.790174002047	2107.098743006612	7642.166779051473	1465.2068412195217	2710.0271002710024	7448.90054227996	4754.124401479565	6268.313489855717	9661.219609406138	4763.464229360802	7124.480506629725	7577.258320126783	1550.590040315341	7430.269775948788	6859.664485997356	6932.409012131715	208080.33515119145
hsa-miR-744-5p	2329.6990028888267	9057.225195553725	4836.902023240725	4139.741518578352	3164.9512796869935	873.2931089234678	529.9023919793974	325.89212970506765	347.20499975199647	167.39203213927016	7256.307146226945	4273.069488249059	4032.766225582861	16080.352283410024	5316.916188610606	7280.280122318942	10912.86131845756	3689.7083844418944	9535.975283702692	5798.854673539829	6136.437038720558	4426.259996280454	8737.493693006312	5831.840933094549	1715.0074741879787	440.77230221423264	0.0	2252.4158976967233	4720.161834120027	357.12887949591016	1084.010840108401	7937.548417853525	3483.332198697438	14880.753681243277	6727.779992028696	5954.330286701003	7209.29575075627	2674.3264659270994	750.8120195211125	5829.903978052126	4507.288930098388	1733.1022530329287	197339.2976598252
hsa-miR-185-5p	3541.1424843910168	12350.761630300534	11708.842092844925	3988.2875605815834	7700.550751364417	7383.296284534773	5217.772219690466	3095.9752321981423	1884.827141510838	4686.976899899565	3190.0793026756232	635.8734357513481	882.1676118462509	1682.252238879818	2966.279557856443	3019.588943527716	5090.479161877237	5292.209076880466	1981.4627770185969	2789.5891449773853	4832.593691312097	3840.431467360982	2210.216714456245	2938.880470220875	3673.360603497225	3007.622768050058	2729.443875810304	1961.7815883165008	3146.774556080018	13864.428006731634	10298.10298102981	4910.31523747095	3074.8632763746114	6498.27528652498	3810.282981267437	8589.121438566197	6474.2303016595515	792.3930269413629	7238.807188208987	628.7151348879744	7263.174161644259	5199.306759098787	196071.535064118
hsa-miR-10a-5p	5404.901686702078	1029.230135858378	1002.7723706718575	2120.3554119547657	1495.2525730804693	3810.733566211496	5742.37558775007	2444.190972788007	694.4099995039929	2929.360562437228	10131.871588075395	3662.630989927765	3150.5986137366103	2473.90035129385	5400.867496851825	2750.896707027368	2280.159329651924	6281.407035175879	5394.807200998159	6117.8368195674475	5466.572566657495	5095.778315045564	3098.7336787309714	1974.5603159296504	7045.436110177642	4001.5210965723472	4094.1658137154554	4795.466104773669	3596.3137783771635	5782.552541974874	5962.059620596206	6274.953816816638	6592.234551932284	3634.8800118689956	6871.263451574332	3810.771383488642	4848.6047892341185	5001.980982567353	4684.414121794767	4601.051668952903	5181.235941551195	5199.306759098787	181932.41642069563
hsa-miR-3168	745.5036809244245	2470.152326060107	3185.276942134136	4139.741518578352	2342.5623644927355	1032.0736741822802	173.10144804660314	15805.76829069578	5852.884281533655	13558.754603280884	1392.8515265203425	2797.8431173059316	15626.969124133586	1418.3695347418072	783.5455435847208	25.589736809556914	14.075057590443974	494.59897914770704	112.8869348226487	57.176045042686425	669.8644720630629	316.1614283057467	17.22886080311104	2387.840382054461	347.63665017323893	414.84451973104245	32070.965540771067	19908.45019254523	10788.94133513149	401.15846737896754	1084.010840108401	858.1133424706514	329.04440964894366	244.79804161566705	510.16341171781585	848.492065854893	438.21209465381247	19958.399366085578	701.8460182479964	2486.282578875171	669.6543553289033	13864.81802426343	181346.6511274571
hsa-miR-146b-5p	1211.44348150219	2470.152326060107	2359.4644015808412	2322.2940226171245	996.8350487203129	793.9028262940616	1342.4193930144734	488.8381945576014	297.6042855017113	753.2641446267157	5414.148675667783	2060.229931834368	1890.359168241966	3463.46049181139	3386.0360990625436	10653.860425045528	15679.614155754587	2334.507181577177	11330.283405620581	16438.11294977235	3959.377504515604	2789.6596615212943	14538.697251996702	1423.5202277632363	2178.5230077522974	1209.9631825488739	1705.9024223814397	944.5615054857226	5619.240278714318	2137.8811005440098	1084.010840108401	4564.6862523091595	5735.58445094969	12978.005266866956	6121.96094061379	3364.1966119860667	4028.7240960108566	594.2947702060221	685.5240178236245	4943.987197073617	2378.1314926423875	3466.2045060658575	172139.46719474334
hsa-miR-146a-5p	2702.450843351039	6587.072869493618	4777.915413201204	1817.4474959612278	722.7054103222268	396.9514131470308	370.93167438557816	651.7842594101353	0.0	0.0	4358.277357176556	2645.233492725608	1890.359168241966	2523.378358319727	3581.9224849587235	7092.622052382191	20967.14412389804	2690.618446563526	12132.374784623613	15598.527867303426	4832.593691312097	3607.959828900874	12677.98028526071	2938.880470220875	1680.243809170655	700.0501270461341	2729.443875810304	2107.098743006612	1573.387278040009	604.1837892841768	0.0	3134.497348191407	3557.0835318946147	14046.214903008047	4782.781984854523	3349.310786269314	5272.68100986684	2971.473851030111	783.4560203698566	3172.153635116598	2695.7880458112263	0.0	168724.9805299304
hsa-let-7d-3p	4162.395551828037	617.5380815150268	1946.558131304194	2019.3861066235866	3488.9226705210954	3175.6113051762463	3638.6630915918618	4562.489815870947	3025.6435692673977	4268.496819551389	4245.95062116685	7961.135415606878	8821.676118462508	6201.243547243251	7107.877431089967	1373.315875446221	1130.6962930989994	4115.063506508923	1633.8898461172837	2046.3005594224617	3875.6444455077212	3793.9371396689603	2136.378739585769	4178.720668595307	2398.692886195349	2134.720757782656	5800.068236096895	4722.807527428613	6293.549112160036	2570.838714727408	4065.040650406504	4862.642274000358	2768.511584632491	2982.085234227217	6201.673973694698	5001.637440828843	3124.02815866105	4754.358161648177	4684.414121794767	7973.251028806584	4232.558938168581	1733.1022530329287	165831.51640506403
hsa-miR-99b-5p	2453.949616376231	1440.922190201729	3834.129652568867	1312.6009693053313	2068.4327260946493	635.1222610352493	1388.344266986021	488.8381945576014	347.20499975199647	1506.5282892534315	9929.683463257925	4451.114050259437	3276.6225582860748	6910.428314614154	7275.780047572407	1778.4867082642054	4086.458387092234	4688.798322320263	4729.368427306756	3207.877053447565	8397.229631933396	5430.53747442812	3625.4445661403656	2387.840382054461	3453.1907250541735	1564.3095431524725	4094.1658137154554	3051.6602484923346	6518.318723308609	826.7778169151892	1897.0189701897018	7389.3093379417205	4856.2416320602715	2744.705315084752	6664.00956556397	5224.924826580131	3632.919623420316	3169.5721077654516	1224.1500318279009	5629.858253315043	2850.3236662717422	4332.7556325823225	154775.95438635003
hsa-miR-30e-5p	3743.049731308048	3499.3824619184848	2772.3706718574886	908.7237479806139	2467.1667455827746	2302.3181962527788	2893.2670602075095	325.89212970506765	1091.2157135062746	3850.016739203214	4627.861523599848	1233.5944653576153	1008.1915563957152	1055.5308165520426	4701.273261508325	6154.331702698438	7229.887915624721	2794.484232184545	6407.818905590874	9698.862798556756	4581.394514288448	2984.9358378277852	5523.080520311596	1239.8401983744316	2873.796308098775	1538.3817606692824	1023.5414534288639	2979.001671147279	4045.853000674309	5877.949982388164	5149.051490514905	4856.683153566534	3636.508044568498	6969.3260635733095	6161.817457154244	3580.041084878978	4883.944474286845	1634.310618066561	4056.017105456445	714.4490169181527	3562.904582839678	3466.2045060658575	150104.27322069008
hsa-miR-16-2-3p	3106.2653371851025	2470.152326060107	6547.513714386834	2423.263327948304	2392.404116928751	10479.517307081613	2335.103207322544	3421.86736190321	5257.675710530232	5523.937060595916	2291.4654145979825	1042.8324346322108	1260.239445494644	808.1407814226576	2238.701553099202	3028.118855797568	1876.6743453925299	2453.210936572627	1901.2536391182937	3340.2847367043123	3385.207957032979	4128.696299051516	1393.0764592229784	1469.4402351104375	1610.7164791360071	1642.092890602043	2388.2633913340155	1453.1715469011117	4045.853000674309	6237.5249500998	7588.075880758807	1847.3273344854301	1486.3730228969523	1372.352657542376	1705.8589079314468	3245.110006252047	3251.2510248508665	2971.473851030111	6740.986175265641	1257.4302697759488	2609.934923333162	5199.306759098787	131228.1456351614
