name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
hsa-miR-148a-3p	511231.80305356084	208988.16835542876	273899.96861415147	23023.71408133242	5727.516451377041	2575.8529464366593	227899.04799453547	418725.24060524703	26409.939013344607	8704.10467610273	208967.28716147644	203267.45372431458	651595.5700950987	597769.9473299102	235077.78684964502	3603863.400951962
hsa-miR-486-5p	112.36931789935474	1.6441307716953846	3.834470182733807	258096.12503542943	781413.0955482533	371512.785196162	3.72648633702417	26.248640539158743	207350.8544170038	211545.24512478267	10.13138307702681	59.27525283417685	28.92370856270044	4.664991779118237	6.126914263592559	1830175.0506178779
hsa-miR-122-5p	19.21887493483774	9.145477417555576	1.7042089701039143	70030.098122579	344.57545782312354	76713.49965275923	2.9811890696193357	9.47867575025177	456128.1021677435	214689.90634637437	1.0480741114165666	27.74586302876363	3.521147129372227	5.597990134941885	15.203824283729682	818001.8270721098
hsa-miR-30a-5p	61020.89997103282	64089.55333693809	87904.16380856621	2451.0399373743103	1142.9820064376781	362.3381962525869	112841.73277142888	72681.39195957476	713.2721454018478	1192.64608638546	49503.85918355725	114345.74624390379	41124.98638699369	28646.898142003753	108514.34582936407	746535.8560052152
hsa-miR-146b-5p	46365.5635532367	95527.851266998	73607.3417322432	2204.0463754032203	764.7894307781522	246.20415899214237	62785.14607640117	59429.76578338047	1785.0673268522432	1846.8150167923206	62403.73002589092	73751.65686943427	21959.759827584516	21921.146244460033	86727.03870802892	611325.9223964763
hsa-miR-21-5p	16729.86399313231	48920.597320930014	92201.53975280449	30538.122039114063	907.662181582862	924.4269365931383	76893.80967269152	30551.6676782115	12548.306261699174	10628.33110078455	24552.533492081624	47470.64929103014	8838.582315742773	4983.843967220969	78214.14518426807	484904.08118788723
hsa-miR-200a-3p	36072.49515153888	73877.3207162738	52738.66381495699	469.69267522371143	663.9380772689453	32.51753043292447	57818.11243778165	50994.03601721794	128.31350763842764	129.30257141982162	46090.63116071064	54018.672965818354	20183.84412183471	12120.698265299483	65675.1882210754	471013.42723449174
hsa-miR-423-5p	3362.5254712582005	1133.2171343910438	1835.8591130444415	22983.898179266038	10585.189978737173	300315.65231327387	1726.1084713095954	1979.5849739948885	19179.095465249684	87456.7431858112	2108.026396095854	4788.68372364616	3413.2491209078926	3861.2136955761653	2200.0160661307355	466929.06328869297
hsa-miR-26a-5p	20078.31784112415	55822.52128960961	28054.546048436456	12631.763642007802	958.0878583374655	169.555694400249	23148.684693171675	24397.041992089053	3856.953082543325	1762.0310938657271	45156.15663770372	17196.12919987237	7929.120314327774	22293.529213228143	21904.172337844408	285358.6109385619
hsa-miR-92a-3p	3548.437536018032	4308.1364127080615	6015.857664466817	51242.39111363054	101439.65307134393	4972.859475492234	5814.809280292515	3383.498374091153	63556.69947466941	8782.933875345516	13530.75323106692	6109.134568696865	3038.749972648232	2552.450251944544	6820.011984546862	285116.37628696155
