name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa-miR-143-3p	6199.808646641829	5990.408107863542	22508.00448435863	7071.566308595393	3366.312555736414	2823.2794767149326	28575.335215416526	7134.736113628499	4519.476613024515	7306.381600813659	2132.7984936626917	12958.86367482985	3130.1707235577273	9697.27860388413	21021.94349983423	144436.36411856257
hsa-miR-140-3p	11307.316906661526	5437.516966790336	8434.685836604176	8010.800880048187	5176.285953161243	6537.703575007204	10958.024287387081	6634.920111826965	8264.400661753649	7187.271318957364	18170.525476659455	12333.826039465333	3441.2624110779952	5749.305908303354	17890.408448857215	135534.2547825611
hsa-miR-151a-3p	6785.514570865497	4823.997828250837	17333.612950039496	21181.676479731042	4940.208775222314	7766.034421216957	2046.8684619237151	6074.686791126343	6579.936832606408	21778.280846353442	6097.935143687486	4314.896885287859	2332.430127942138	15295.241209911419	5612.5714894781495	132963.89281364312
hsa-miR-25-3p	5588.200746338334	7866.256447380328	10156.860182638062	11411.477776687612	4752.353057313116	8711.60726956836	11114.112557101857	5646.273075296456	5399.308166641601	5408.462678540607	12428.425298520844	8899.381089008284	3558.2584732135933	6745.214420407339	5608.712543019768	113294.90378167614
hsa-miR-103a-3p	6488.344612740352	7473.984254818573	5581.386650263706	12020.487887589064	5119.261779264509	15111.82917546475	4705.92728039109	5162.934524103765	6943.400010026571	4615.939475810154	5250.730972734129	10810.214002337852	3747.914140125136	5257.005281359376	11004.98343014965	109294.34347717869
hsa-miR-30e-5p	5690.302721815789	8907.564926251018	8897.72973357614	8190.995477512508	6282.816106180463	6511.8333684540985	6485.575501766243	8579.259283670297	4057.0010527898935	8598.942129520663	7271.858835054185	7882.373241280199	3069.221246223957	8506.537334827051	7195.105471992731	106127.11643091525
hsa-miR-378a-3p	10649.677781425473	11525.540675052032	3478.610861466914	2157.1754123757332	3956.4909906158236	3847.974839913818	5982.264396788805	8049.234622419219	13780.26770942999	1891.767268494546	2188.205370030588	8224.196712904453	4960.30687646249	2381.482538114158	13355.740505544607	96428.93656103863
hsa-miR-142-5p	3920.6355421293633	3662.5644738032756	5733.738982822389	3240.645042679924	4037.1083723385455	2623.709311876696	14227.638687893364	8974.7180982825	5504.587155963303	5384.925916257626	8962.812021288182	9580.285915536155	3519.477224559653	4807.3243199988865	10445.303126564993	94625.47419199486
hsa-miR-99a-5p	5267.8394840487	3485.2049588272557	3518.244134805814	2466.9989867824484	7168.577097408606	1282.9606590089063	2661.380198264144	5904.4198015016445	5873.063618589262	2079.793903550628	711.6929654688978	3618.281754667741	21886.827899444914	3346.0786428506813	9423.846652387234	78695.21075760688
hsa-miR-128-3p	5375.965174893556	4518.595602207945	6571.220667186901	5040.050829165043	4079.3323789643773	3963.9875973526114	6121.968956416847	6816.172068524224	4970.672281546097	5330.363421874354	678.4543678972365	4069.306212724116	2682.5976585174067	6405.1268848329655	6248.698853074538	72872.51295517822
hsa-miR-10b-5p	5887.880585866556	4758.845353361687	4091.446978822456	2500.6564798771055	11486.670998375754	2617.5273404406294	1316.712777116348	6003.284505154696	5015.791848398256	1353.7204488817185	56.24993435204222	3891.4310752214606	12638.636388169956	2939.887136167222	7647.001408981192	72205.74325918707
hsa-let-7d-5p	5347.305675778875	2541.398968419148	5509.863160008607	7448.56198360753	3556.719609670255	4569.619212062048	7561.947000741337	5466.394239483267	4948.112498120018	6067.830809193888	3198.181924726255	1561.9416796017338	2112.835252899929	6261.829131672152	4997.601797843235	71150.14294382828
hsa-miR-10a-5p	4564.470319648456	3996.4709076101713	3912.866325538847	3114.74696709472	11545.436368422015	2444.0289681805866	1068.9463531744607	5750.630262485788	4955.632425928711	3314.0474529657035	192.38306785759895	3956.746945695665	13096.846415334294	3556.567603487506	5331.03473191533	70800.85511533986
hsa-miR-181a-5p	3900.2553051363216	4653.425029409103	5301.655907923542	4030.802321604967	3497.1199164690165	2015.5914695244935	5384.9472186894745	5261.799227756815	5263.949466085126	2981.323222510845	2253.3143235275093	10227.745416884354	6457.488228796826	2576.315295067252	5125.545833006487	68931.27818239213
hsa-miR-27b-3p	3450.7188133013005	4891.714173679607	4625.592432194375	3140.04300750234	3373.519173133034	2267.5516024386716	5394.723170227958	5603.248620928925	3130.796611019201	4274.35924136498	1790.300429010556	5795.3274581045425	8543.006163735527	3341.0048731383613	4271.487794850955	63893.39356463033
hsa-miR-221-3p	2850.4221118543705	9253.913672970772	3884.9844802464827	6916.2973074323045	3502.561154436263	4409.358322116192	1591.5510668571114	4816.908061318086	2428.936682207851	5888.826599679615	832.1396922202609	4244.856675158229	4259.266892995128	3918.3998664003952	3665.8660683436715	62464.28865423673
hsa-let-7d-3p	3943.7264510377354	2991.1320242511993	2659.8938300384293	1720.02490654489	5755.088573197129	3237.74034429818	3695.7020274277234	7788.3416544458905	5722.665062415402	667.5881665718064	156.86406754193592	3538.905349504773	7068.687441169235	2985.116169031333	7549.296876668536	59480.77294414419
hsa-miR-629-5p	3813.2126180773707	6468.192923717311	1140.2477344717793	890.6534729293735	4566.867300829651	2078.8894814024798	7072.034507604938	7942.131193461747	5203.790043615581	696.4741930100096	718.2577612470845	5754.9206059723	2448.647619160647	1082.0176323645042	9289.415595160322	59165.7526830251
hsa-miR-146b-5p	3489.3375218234187	2427.3821373631345	3596.2448799181952	6562.258582898881	1863.8779282203495	3789.0109275752484	876.010266122326	2658.3620315598105	5391.788238832908	11975.219355492125	5941.140179259004	1543.7342245487637	558.8034938980136	4489.416406309798	2857.0841175145006	58019.670291336486
hsa-miR-222-3p	4191.301152637936	3352.1853225952405	4322.541291644444	5959.59894239266	2585.0958833189634	4833.226537536931	1636.6708431885716	4311.599575980271	5557.226650624155	6586.370645520669	425.2605601995919	1705.8615632000035	1438.2309084363355	6879.161940812592	3577.642568277903	57361.97438636626
hsa-miR-26b-5p	2249.857689724445	3737.44457515157	3162.1091538321803	3805.0430990549544	3578.448286619459	4597.594872654972	4180.641536520634	2488.0950419351116	3406.527297337946	3933.1356245301567	5334.115396302669	5937.120139032567	2046.4315706550897	3106.0168530334763	4563.270720596374	56125.8518569816
hsa-miR-192-5p	2244.8379269182774	2039.4081983530903	3881.3923406689387	1484.7399784020502	3415.718996479011	2369.912506289484	3910.2171379427305	1798.7883581318965	2722.2138667468794	2686.22214994772	7988.734534032177	3795.5569760236763	6428.7968383792195	4882.561076590148	2365.4676454285554	52014.568530333854
hsa-miR-223-5p	3779.8813930444157	2035.5623925436612	4284.909353213033	2440.168249362651	2891.9817046716585	3180.8930852230455	4383.288184131061	3811.783574178736	2383.8171153556927	1120.135914103656	296.0377380394949	5406.669282800996	1233.2563326696331	2391.9200072366452	9911.171709877219	49551.4760364516
hsa-miR-16-2-3p	2415.509862327985	4928.513256718849	2249.0214840736508	1034.491627381069	5908.4589340339135	2757.8312139026625	4752.681831227319	3647.009068090318	1684.4638291472404	2604.378408372811	1360.9167163748396	4039.685352979787	2175.1798451472946	2111.8479191165725	1815.9669764668804	43485.9563253612
hsa-miR-148b-3p	2165.860325434569	3355.1262329200977	3096.595370108404	4187.341416847099	2292.4298305206726	1946.6714473912439	2643.2342012612744	3103.253197998539	1601.744623251617	3121.830560988031	2418.6780740243607	3362.080065258878	1944.649205088563	3264.7533626046356	2928.7740280128905	41433.021941710875
hsa-miR-16-5p	1862.5997217712802	1365.4872862184418	3098.2488946758453	2634.3868022830784	2243.9181711326896	2702.641439922706	2539.327933738535	1554.3728407674098	1000.150398556174	2433.3208279424634	12466.385942178567	2828.129698171439	1462.892668296573	1817.8592054998503	1257.1516091573862	41266.87344031245
hsa-miR-484	2726.534365798147	4432.63053117365	2365.338384679833	3873.469417563432	2553.8994523067513	2365.813590446005	2596.937387286385	2548.5123608341983	2985.411340051136	1885.7939235212139	1057.1394296284298	2646.530081257892	968.1213717148595	2153.5977956065212	3308.381252466316	38468.110684334766
hsa-miR-532-5p	2279.9762665614526	3044.0684100986336	2252.7846779167917	1985.474569065017	1337.3837425095917	1745.063023854884	4115.5121202508735	2696.8094163137744	2067.9801473905854	2338.6982886634114	3021.326326461904	1876.462717423672	726.7854298743595	1882.2235984218546	3508.58073338479	34879.1294681916
hsa-miR-3615	2472.5343678060526	1913.4015021265045	1529.9093515024895	1168.804076239937	2097.2707620954366	1202.2590536315588	5066.558536141823	2521.049943152795	4647.315385772297	575.5808231019741	194.17974880741846	3555.0280959478887	1769.460227514835	1027.2209194714465	4709.977219574519	34450.550012886975
hsa-miR-29a-3p	822.3710079917971	1119.0540825867945	1009.9043840866165	526.6656781101085	882.3511487686698	403.26164396718434	1837.3557613932826	2656.5312037143835	2203.33884794706	987.8307806644785	1003.9761010106929	1355.9729688782747	16422.406875395634	580.149325391579	1518.1627635751913	33329.33257348175
hsa-miR-584-5p	2848.2134162196567	2543.2087593882907	2397.838695143325	2917.40609956331	2870.3618524817994	3115.847994460954	1183.7075234088265	1894.906820016807	2331.1776206948416	2469.5769516611963	432.7236964526884	1771.4773917475684	1341.456647687843	2749.403324681831	1992.2143759195353	32859.52116952848
hsa-miR-20a-5p	1505.326470313625	2157.0446113473895	2506.401135709095	1942.1326086176516	1555.71039303537	4632.2228720758385	736.4332189056571	988.647036530508	1090.3895322604903	1691.4967621498433	3802.0533022719446	4149.307530539919	971.6038983845432	1726.2414209802407	1328.908053215404	30783.91884633752
hsa-miR-99b-5p	2582.5675685172523	1151.4795041172745	1428.9873348000667	3467.3568357892186	1938.6768128100962	1458.1389148113585	528.2937289592261	1466.4931041869202	2925.2519175815914	1361.5660363093787	102.96363904735	1547.7086690207875	3352.568453901458	5008.245600606765	2370.4576624006013	30690.75578285934
hsa-miR-144-3p	788.504341592851	1654.6013935390463	749.2176833162907	483.5883205958773	1380.3332475310565	968.5536552115633	2717.1913998567547	1032.5869048207528	1481.4257783125283	428.654367638521	8368.248833124826	4531.316635217312	1404.268382485462	699.3104312066409	268.46291309606	26956.264287545542
hsa-miR-1307-3p	1699.892476680692	830.6940548366664	2774.1580794574434	3794.0885376232027	555.876870733888	957.8024005401431	1238.4397738282935	1554.3728407674098	2496.6160324860884	3530.8709600574016	442.67454479015043	820.1603620853895	447.82557452694397	2446.716720129703	2946.305620974678	26536.494849518098
hsa-miR-340-5p	1605.922516949229	1978.5539770156547	2182.652429021888	1418.3775627720183	1149.0443590033044	957.8024005401431	1812.049452059551	1444.5231700417978	1037.7500375996392	2124.371104844151	1200.8739056139923	4277.402126117821	1064.3906134901047	2003.9940715175383	1878.6415896357746	26136.34931622261
hsa-miR-23a-3p	1462.8592769734444	1615.4646638313275	2140.744133950543	3774.613761744533	1143.0227223195518	1021.1676077598256	2150.643947486073	1807.0270834363173	1323.5072943299745	685.9539735047381	379.79071154646687	2454.069482438092	2107.2547932455477	1152.905443488063	2855.7867131017683	26074.811609156262
hsa-miR-744-5p	1440.4711348579356	627.5450185503574	3182.9777742350543	3742.967250941695	334.59986006586945	671.6846355969742	1249.033112619158	1406.0757852878335	2045.4203639645061	3454.9114090532375	398.03393349848056	387.020904153122	317.34129731420177	2846.819703158378	1674.6496958185453	23779.551879115348
hsa-miR-186-5p	1302.5280529444422	2520.5863722740023	1612.357507520401	1294.2258665454997	1205.9234332209198	1567.1297590428803	1010.8791627652773	1384.1058511427111	970.0706873214018	1819.1064303861028	3774.8266755708332	1989.921858672204	536.0145127302342	1210.7464182085128	1053.09318178053	23251.515770125952
hsa-miR-363-3p	1457.9399094234	927.0654239435346	1200.800944493233	1140.8620065009766	1659.7952295288294	1971.511325371671	1724.7524935052045	906.2597834862989	977.5906151300949	751.0366873932823	3870.4653845919956	2011.1438923624448	985.5445262918875	682.7844384293696	372.2552661146111	20639.807926566835
hsa-miR-30c-5p	1344.22554932101	856.4835761469551	1327.2670648581898	3397.9250261348316	798.1449683155504	1418.7624445772822	681.3740135852377	692.0529255713556	1932.6214468341107	2096.317186163427	465.6628471993798	1310.9417631150604	374.61886586332037	1534.3079610056152	1771.6556257551147	20002.361264446445
hsa-miR-30a-5p	1102.3399122344672	1337.4355261967244	1777.2538195562238	1632.070891571116	1122.9989666000852	644.3361315265491	373.21901943740346	1482.970554795762	1804.782674086329	1094.4594461585864	243.86488738127395	1233.8400400084076	3238.8444938633565	1325.1236840091015	1498.701697384213	19912.2417448096
hsa-miR-7-5p	1069.6110587382534	1309.3837661750058	945.2458716908261	857.3135033544766	2053.0153599618366	2930.254460695565	906.9075042623481	1186.3764438366097	1398.7065724169047	851.2462359011223	1684.0428748885338	1483.067704211647	462.9130163527027	637.5554055652585	1855.8871122432427	19631.52689029433
hsa-miR-127-3p	1091.4972245731444	803.5471902995205	1479.6193974168755	3645.1700068553328	947.6460043756259	1012.0962366308148	86.11992091091729	1087.5117401835587	556.4746578432847	5430.929587992543	244.2104029485469	365.8738599812211	217.15815849629084	1885.702754796017	549.5006689616753	19403.057812265368
hsa-miR-182-5p	759.1889268048307	734.775133472084	729.3753885070008	985.5930053378878	2218.283894486996	3398.605992319304	2025.681784341986	735.9927938616004	842.2319145736202	498.1948016564175	2755.9703707962503	977.0384344528243	666.4356625713204	558.4045980530641	1130.7378458655612	19016.51054710075
hsa-miR-93-5p	836.8948550443095	965.0710342955389	1433.776854236792	2028.3402442327408	703.878543442989	2042.8727782532224	674.638742625614	439.398682902448	924.9511204692436	1029.1984234648683	1945.9436748814605	2072.935255474666	409.25475044519	1065.4916395872328	1851.0966959500822	18423.7432953064
hsa-miR-193a-5p	1623.7928725391869	1263.6865442041444	376.66149284531326	290.8515441010004	718.0983119973928	1257.2248431391945	1814.7958732275529	1752.1022480735114	2639.494660851256	42.79411324178246	6.772105118550537	1676.765630084055	2059.909264503624	224.40558613347434	2642.912589074298	18390.267679134337
hsa-miR-199a-3p	786.6302968118819	1170.0298615509919	1364.5568947584084	1472.4624023046254	1109.4563298816042	877.7055532380622	1668.8432054423083	1442.6923421963709	330.87682358249367	1227.1211972081132	248.21838352891336	2403.7765121380116	1255.3298702919797	1146.9618846822018	1591.4827462844478	18096.144303900415
hsa-miR-28-3p	1303.1304244811824	868.6996651886707	1491.935304539883	1827.665379743841	891.7826279118966	1034.6738714407973	639.3276133227322	845.8424645872124	1541.5852007820727	1864.753484510671	280.0058157180283	992.1113276391792	484.4394500873651	1372.527189607064	2350.6971951913	17789.1770147519
hsa-miR-100-5p	911.2877398317174	2549.5430277802916	636.6639765532498	289.10516474231537	1476.3166852732822	483.87365555560336	1074.9296278618936	1027.0944212844722	962.5507595127087	394.7756946554432	450.6214028374291	1200.0947567553744	4461.62168283811	875.0078281018418	731.6362884413442	17525.122712025077
hsa-miR-320b	1421.6867043646073	1141.5224220174002	618.6340424151696	364.12765636963593	1710.568371058628	370.5231135592575	901.5893492591374	2050.5794962451027	2698.758853819764	377.0118922123613	272.43211448340446	282.43945059722137	3910.371679565263	376.9251746122314	813.3789445597051	17310.549265138892
hsa-miR-106b-3p	558.3984145581153	1132.0242511989866	1239.8013170494235	1516.8098538979027	559.5043627120523	1006.8549999784975	1321.0285818089226	648.1130572811107	849.7518423823132	1190.746200952597	2932.3215163323825	1247.6006166238112	333.3756497148	1071.580163242017	1464.6697816348612	17072.580609367793
hsa-miR-223-3p	639.9193625302817	467.83096552348206	3074.8714783775436	4305.30140443828	175.42551206402263	552.7488807943887	767.624716456536	153.7895390158568	631.6739359302152	832.7021201630171	255.68151978201007	1088.0979111144738	131.43118778758068	1782.1978526646858	1474.0510135423071	16333.34740018468
hsa-miR-150-5p	442.74307950400726	458.32956293548096	386.92474878115286	1057.3533208038552	190.22567933493272	359.36068739221867	212.84764052014864	302.08659449543296	3383.9675139118667	5056.124479516598	2022.0953059084268	144.95473895136305	168.4869549495931	431.41539039613673	704.5903964528563	15321.506093854068
hsa-let-7c-5p	592.6499294388675	776.2710549788644	1057.2277684803	858.2879981567913	541.3392647871118	586.4991810615726	1857.4452717431018	1232.8794711104517	1830.7264250263202	886.5046794004287	729.7673783866153	435.25451944240206	602.3755088475731	892.9171997231252	1469.4891875504347	14349.634838133963
hsa-miR-199a-5p	730.0743025290569	582.3002443217808	1920.1411494185238	1970.6568048095075	577.3032566849115	556.0638509847433	67.09114567547542	845.8424645872124	443.6757407128892	2977.994791480928	334.3208628933418	397.44444720239227	192.39118634996004	1729.1407179587093	388.42292110403923	13712.863886713472
hsa-miR-181b-5p	700.4577019726664	1292.6431997104335	596.2951698722807	433.57836623353285	823.368129203719	425.74968498823813	997.5394028064109	1164.4065096914871	1075.3496766431044	394.7756946554432	228.31668685398955	1728.9083418365196	1942.9342448252441	280.9418772136132	1133.7318560487888	13218.996542555471
hsa-miR-183-5p	628.6750938444657	423.0386390371912	533.3472001324644	521.6911429671874	1326.9365656124787	1777.7199599193227	1798.3173462195414	324.05652864055537	639.1938637389081	563.812441960484	2528.8975399844435	504.75444794703816	450.9819431097389	484.4725251021132	562.4747130889941	13068.369951304927
hsa-miR-409-3p	651.766002752838	550.1764546194914	822.4289089919465	2382.6964922859247	774.2518878193753	582.4492218241869	43.35421986631599	774.4401786155646	391.03624605203794	2553.7387077033686	73.11109403496397	271.0121192810275	207.94156223452967	1370.7876114199828	483.0336428940262	11932.224350395581
hsa-miR-125b-5p	483.70434400233717	373.26938738575694	445.42530761543856	281.6433620279338	561.1004591824445	206.55848037465972	205.5892417190007	604.1731889908659	1669.4239735298543	125.17278123221371	19.072459313468862	263.7381360020403	4954.825316357035	511.43598700187175	984.0313468874169	11689.16377162234
hsa-miR-17-5p	629.7794416618225	570.9890507646367	833.832526698435	1070.0542615942918	547.4852726244014	1782.602821415926	267.57989093961544	346.0264627856778	774.5525642953828	668.8957644764165	815.3476356507938	1383.0941780112682	334.0174446599683	675.9710905299683	576.9124955281131	11277.140901636718
hsa-miR-425-5p	823.2411002115329	594.5163333634965	874.4294057335338	1228.1809744352288	402.36141021797744	586.0777702757912	934.5678888829383	840.3499810509318	872.3116258083924	768.8675679106916	623.7247020411954	742.3212420483926	306.67277150435496	676.6959147745854	758.0833783931865	11032.402066652228
hsa-miR-30e-3p	467.5407077664766	572.5726178626369	753.8361484874185	1109.585939804526	409.90659353255904	716.5711238501533	774.8831152576839	565.7258042369018	1041.5100015039857	892.0789522859902	478.74637001345025	760.8061583192209	220.34609076491373	745.4092531642926	1520.4581713823325	11029.977048232542
hsa-miR-125a-5p	493.3422885901795	598.5883630440684	602.4531234337844	1204.36671045316	405.8438025170151	549.5235043929626	170.27811241611892	670.0829914262332	1879.9819521732593	335.22055372729596	18.79604685965047	612.2144277283643	315.321221421213	1489.9487172350448	997.8037937302632	10343.765609148611
hsa-miR-155-5p	244.76363442874597	473.712786173197	235.0285609307268	445.1679747048063	159.17434800184682	415.93916510056727	73.56485271433708	450.3836499750092	5482.027372537224	518.5220054462642	176.21293930922317	196.4725380509939	134.01941002547252	309.64491730045296	1010.1790358209366	10324.813190519804
hsa-miR-1-3p	418.0458464976613	265.13437697945886	709.1909851665162	658.5437799841428	410.6320919281919	300.0943960160151	165.7661347829729	670.0829914262332	609.114152504136	125.17278123221371	116.96853670748173	406.14323132984083	3865.2258391190094	621.0294127879871	942.4478721203693	10283.592428582231
hsa-miR-625-3p	607.993671083054	531.626097185775	397.5301132481871	770.9471059795076	390.027937492219	637.9525740653935	235.40752868587867	505.30848533781517	1045.2699654083322	1514.554991148751	87.6227478604294	451.21193185222535	135.34508483024638	1109.8508833578032	1429.7396628305412	9850.388780366158
hsa-miR-134-5p	1025.4371460439752	553.3435888154918	543.9525645994987	988.7682405354971	699.3804533900653	600.1887920320302	143.79476543895754	955.6921353128243	767.0326364866899	1591.9410125943077	150.36837487720376	296.2835869616324	674.0109471700283	464.46737595067947	382.83410209534804	9837.49572230423
hsa-miR-361-3p	519.6458456944993	380.05610352004345	855.2713279866332	1150.0701885740432	240.28506863359922	442.6829110957249	336.6327660208065	302.08659449543296	1270.8677996691233	1613.694686825547	560.4262501167842	348.2513231713037	103.08699791408226	761.9352459415641	941.3168016067056	9826.309911265891
hsa-miR-126-5p	550.9691656049869	510.3610532983441	1024.272942396792	1075.1346379104666	405.9889021961417	613.4934696879126	172.043668881263	538.2633865554988	398.55617386073095	1357.6432425955486	698.3560645721604	604.4155178209966	361.6567122166425	1055.9239595582862	355.6884097674193	9722.767306923191
hsa-miR-338-5p	412.624502667	530.7212017012035	453.9780208953049	259.4167156446696	587.0733017461005	228.7329431344638	1085.0325343013292	1038.0793883570334	383.5163182433449	108.05513593550072	13.12959155637349	1598.4765729370176	327.44167677914555	290.5095572425598	2189.4198466547823	9506.20730779583
