name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-6774-5p	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-450b-5p	0	0	3	0	0	2	2	0	16	0	0	0	5
hsa-miR-200b-5p	0	0	0	0	0	0	0	0	6	0	0	0	3
hsa-miR-6855-3p	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-130a-3p	11	0	8	2	7	6	11	0	260	2	0	5	107
hsa-miR-1469	0	0	0	0	0	0	0	0	4	0	0	0	0
hsa-miR-361-5p	0	0	2	0	0	0	14	0	20	0	0	11	6
hsa-miR-3199	0	0	0	0	0	0	0	0	0	0	0	0	5
hsa-miR-3196	0	18	3	3	5	9	4	0	0	8	0	3	0
hsa-miR-3195	0	0	4	2	0	0	5	0	4	0	0	0	0
hsa-miR-18a-3p	0	0	0	0	0	0	3	0	5	0	0	0	13
hsv2-miR-H12	0	0	0	0	0	0	0	20	0	0	34	0	0
hsv2-miR-H10	2	36	9	3	6	145	18	0	36	10	0	0	0
hsa-miR-4536-5p	0	0	0	0	0	0	0	0	7	0	0	0	0
hsa-miR-5010-5p	0	0	0	0	0	0	5	0	3	0	0	0	13
hsa-miR-3913-5p	0	0	0	0	0	0	2	0	167	0	0	0	74
hsa-miR-365b-5p	0	0	0	0	0	0	0	0	0	0	0	0	5
hsa-miR-431-5p	0	2	0	0	0	0	3	0	4	0	0	0	6
hsa-miR-628-3p	0	2	6	0	0	7	5	0	52	2	0	3	5
hsa-miR-6891-5p	0	0	2	0	0	3	0	0	0	0	0	0	0
hsa-miR-484	0	0	17	2	2	2	45	0	92	5	0	82	63
hsa-miR-99a-5p	43	172	161	21	12	155	320	0	35465	80	0	348	25172
hsa-miR-3188	0	0	2	0	0	0	4	0	9	0	0	0	0
hsa-miR-3185	0	2	0	0	0	3	0	0	0	0	0	0	0
hsa-miR-4664-3p	0	3	0	0	0	2	2	0	0	0	0	0	0
hsa-miR-425-5p	56	50	121	5	2	113	223	0	164	33	0	115	145
hsa-miR-3182	0	0	0	0	0	0	3	0	3	0	0	0	8
hsa-miR-122-3p	0	0	0	0	0	0	2	0	25	0	0	6	8
hsa-miR-3180	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-5p	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-3191-3p	0	0	2	0	0	2	2	0	23	2	0	0	10
hsa-miR-133a-5p	3	0	3	0	0	0	36	0	8	4	0	3	0
hsa-miR-200b-3p	0	0	2	0	0	0	3	0	75	0	0	0	25
hsa-miR-3615	19	10	47	23	8	21	110	0	1137	46	0	36	599
hsa-miR-361-3p	22	90	95	2	0	11	107	3	199	40	0	62	203
hsa-miR-450a-2-3p	0	0	0	0	0	0	0	0	25	0	0	0	0
hsa-miR-3179	0	0	0	0	0	0	4	0	0	0	0	0	0
hsa-miR-3178	0	0	0	0	0	0	3	0	0	0	0	0	0
hsa-miR-29b-3p	8	3	8	3	2	7	27	0	294	2	0	18	236
hsa-miR-3176	0	0	0	0	0	0	0	0	30	0	0	0	12
hsa-miR-937-3p	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-3175	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-3174	0	0	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-125b-1-3p	0	0	0	0	0	0	0	0	14	0	0	0	8
hsa-miR-365b-3p	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-431-3p	0	0	0	0	0	0	0	0	11	0	0	0	0
hsa-miR-30d-5p	376	545	1034	40	30	135	1737	102	29198	287	2	1616	23963
hsa-miR-5698	0	0	0	0	0	0	0	0	5	0	0	0	12
hsa-miR-5697	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-29b-2-5p	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-5695	0	0	0	0	0	0	0	0	57	0	0	0	16
hsa-miR-107	62	36	179	88	85	70	317	1	1428	46	0	81	390
hsa-miR-12136	0	0	0	0	0	0	0	0	9	0	0	3	0
hsa-miR-3168	2	32	12	0	5	775	37	0	9	0	2	24	28
hsa-miR-3164	0	0	0	0	0	0	0	0	53	0	0	0	21
hsa-miR-425-3p	2	69	17	0	0	19	61	0	127	0	0	14	58
hsa-miR-3163	0	0	0	2	0	0	0	0	18	0	0	0	13
hsa-miR-4662a-5p	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-501-3p	4	2	4	0	0	0	13	0	24	2	0	4	3
hsa-miR-24-3p	120	106	569	42	24	291	689	0	15859	83	0	531	5654
hsa-miR-664b-5p	0	2	0	0	0	0	0	0	23	0	0	0	14
hsa-miR-133a-3p	0	0	8	0	0	0	6	0	2	0	0	9	15
hsa-miR-1237-5p	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-338-5p	0	0	0	0	0	0	5	0	0	0	0	2	3
hsa-miR-190b-5p	0	0	0	0	0	0	2	0	0	0	0	0	7
hsa-miR-6513-5p	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-6874-5p	0	0	0	0	0	0	0	0	6	0	0	0	0
hsa-miR-5683	0	0	0	0	0	0	8	0	0	0	0	0	0
hsa-miR-3180-3p	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-5680	0	0	0	0	0	0	0	0	11	0	0	0	0
hsa-miR-4758-5p	0	33	0	0	0	0	0	8	11	5	0	22	11
hsa-miR-1307-5p	14	16	12	3	7	28	53	0	97	17	0	8	79
hsa-miR-769-5p	0	0	4	0	0	0	4	0	210	0	0	3	127
hsa-miR-100-5p	9	45	74	13	7	37	71	0	18861	65	0	102	12226
hsa-miR-6507-5p	0	0	0	0	0	4	0	0	0	0	0	0	0
hsa-miR-7155-3p	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-376c-3p	0	0	0	0	0	0	2	0	0	0	0	2	12
hsa-miR-542-3p	0	0	2	0	0	0	0	0	113	0	0	0	22
hsa-miR-2861	0	0	0	0	0	0	5	0	0	0	0	2	0
hsa-miR-379-5p	10	32	36	7	0	52	124	0	2794	29	0	66	1188
hsa-miR-30d-3p	0	0	0	0	0	3	0	0	27	0	0	0	2
hsa-miR-6715a-3p	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-455-5p	0	2	0	0	0	13	0	0	159	8	0	0	37
hsa-miR-301b-3p	3	0	0	0	0	0	0	0	0	0	0	0	5
