name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-1255a	0	0	0	0	0	0	4	0	24	0	0	3	15	46.0
hsa-miR-1287-5p	0	0	2	0	0	0	3	0	12	0	0	0	29	46.0
hsa-miR-1292-5p	0	0	5	0	0	0	12	0	13	2	0	0	13	45.0
hsa-miR-335-3p	0	0	2	0	2	0	17	0	0	0	0	18	6	45.0
hsa-miR-1468-5p	3	0	0	0	0	0	0	0	32	3	0	0	6	44.0
hsa-miR-494-3p	0	2	2	0	0	0	0	0	12	0	0	14	14	44.0
hsa-miR-10399-5p	0	0	0	0	0	2	0	0	37	0	0	0	4	43.0
hsa-miR-10396a-5p	1	13	4	1	3	10	7	0	0	2	0	3	0	42.97999999999999
hsa-miR-3176	0	0	0	0	0	0	0	0	30	0	0	0	12	42.0
hsa-miR-196b-5p	2	0	0	0	0	0	0	0	40	0	0	0	0	42.0
hsa-miR-766-5p	0	2	7	0	0	0	0	0	26	0	0	0	7	42.0
hsa-miR-122-3p	0	0	0	0	0	0	2	0	25	0	0	6	8	41.0
hsa-miR-3191-3p	0	0	2	0	0	2	2	0	23	2	0	0	10	41.0
hsa-miR-3909	0	0	0	0	0	0	0	0	38	0	0	0	3	41.0
hsa-miR-548n	0	0	0	0	0	0	0	0	22	0	0	0	20	41.0
hsa-miR-133a-3p	0	0	8	0	0	0	6	0	2	0	0	9	15	40.0
hsa-miR-664b-5p	0	2	0	0	0	0	0	0	23	0	0	0	14	39.0
hsa-miR-758-3p	0	0	0	0	0	0	5	0	21	0	0	0	13	39.0
hsa-miR-6806-3p	0	0	0	0	0	0	2	0	31	0	0	0	6	39.0
hsa-miR-342-3p	0	0	2	0	0	0	8	0	23	0	0	2	3	38.0
hsa-miR-6503-5p	2	0	2	2	0	21	8	0	0	0	0	3	0	38.0
hsa-miR-323b-3p	3	1	7	0	0	0	16	0	0	0	0	11	0	37.5
hsa-miR-7854-3p	0	0	0	0	0	0	0	0	37	0	0	0	0	37.0
hsa-miR-378b	0	0	0	0	0	0	0	0	26	0	0	0	11	37.0
hsa-miR-324-5p	0	0	0	0	0	0	2	0	9	0	0	0	26	37.0
hsa-miR-6090	0	21	0	0	0	15	0	0	0	0	0	0	0	36.0
hsa-miR-4435	0	0	0	0	0	0	0	0	21	0	0	0	14	35.0
hsa-miR-4791	0	0	2	0	0	0	0	0	19	0	0	0	14	35.0
hsa-miR-429	0	0	0	0	0	0	6	0	19	0	0	0	9	34.0
hsa-miR-17-3p	0	0	0	0	0	0	4	0	21	0	0	0	9	34.0
hsa-miR-4489	0	0	2	0	0	0	0	0	16	0	0	0	16	34.0
hsa-miR-4659b-3p	0	2	2	0	0	1	2	0	22	0	0	2	3	33.5
hsa-miR-610	0	16	0	0	0	0	0	0	13	0	0	0	4	33.0
hsa-miR-3163	0	0	0	2	0	0	0	0	18	0	0	0	13	33.0
hsa-miR-433-3p	0	3	2	0	0	0	14	0	0	0	0	9	5	33.0
hsa-miR-197-3p	0	0	0	0	0	0	7	0	6	0	0	20	0	33.0
hsa-miR-30d-3p	0	0	0	0	0	3	0	0	27	0	0	0	2	32.0
hsa-miR-454-5p	0	0	0	0	0	0	2	0	6	0	0	0	24	32.0
hsa-miR-409-5p	0	0	0	0	0	0	4	0	3	0	0	0	25	32.0
hsa-miR-4473	0	0	2	0	0	0	19	0	0	5	0	6	0	32.0
hsa-miR-6503-3p	0	0	7	0	0	0	2	0	12	0	0	0	11	32.0
hsa-miR-3690	0	0	0	0	0	0	0	0	21	0	0	0	11	32.0
hsa-miR-671-5p	0	4	0	0	0	0	0	0	25	0	0	0	2	31.0
hsa-miR-219a-1-3p	0	3	0	0	0	8	5	0	15	0	0	0	0	31.0
hsa-miR-1260b	0	0	2	0	0	0	4	0	0	0	0	22	3	30.5
hsa-miR-760	0	2	5	0	0	0	0	0	0	4	0	4	15	30.0
hsa-miR-3200-5p	0	0	0	0	0	0	0	0	12	0	0	0	18	30.0
hsa-miR-877-5p	0	0	2	2	0	0	2	0	16	0	0	0	8	30.0
hsa-miR-8069	2	12	0	0	0	6	7	0	0	3	0	0	0	30.0
hsa-miR-380-5p	0	0	0	0	0	0	0	0	14	0	0	0	15	29.0
hsa-miR-1228-5p	0	0	0	0	0	6	4	0	17	2	0	0	0	29.0
hsa-miR-132-3p	0	0	0	0	0	0	4	0	20	0	0	0	5	29.0
hsa-miR-581	0	0	0	0	0	0	0	0	23	0	0	0	6	29.0
hsa-miR-301a-5p	0	0	0	0	0	0	0	0	19	0	0	0	10	29.0
hsa-miR-323a-3p	3	1	0	0	0	0	15	0	5	0	0	5	0	28.5
hsa-miR-1827	0	0	0	0	0	4	3	0	14	2	0	2	3	28.33
hsa-miR-150-3p	0	0	0	0	0	0	0	0	24	0	0	4	0	28.0
hsa-miR-628-5p	0	0	0	0	0	0	0	0	20	0	0	0	8	28.0
hsa-miR-450b-5p	0	0	3	0	0	2	2	0	16	0	0	0	5	28.0
hsa-let-7i-3p	2	0	0	0	0	3	0	0	21	0	0	0	2	28.0
hsa-miR-625-3p	0	0	4	0	0	0	5	0	11	0	0	4	3	27.0
hsa-miR-6515-5p	0	0	0	0	0	0	0	0	17	0	0	0	10	27.0
hsa-miR-3124-5p	0	0	0	0	0	0	0	0	12	0	0	0	15	27.0
hsa-miR-4999-5p	0	0	0	0	0	0	0	0	18	2	0	0	7	27.0
hsa-miR-6837-3p	0	0	0	0	0	0	0	0	24	0	0	0	3	27.0
hsa-miR-5009-5p	0	0	0	0	0	0	0	0	22	0	0	0	4	26.0
hsa-miR-3614-5p	0	0	0	0	0	0	0	0	19	0	0	0	7	26.0
hsa-miR-885-3p	0	0	0	0	0	0	0	0	21	0	0	0	5	26.0
hsa-miR-660-3p	0	0	0	0	0	0	0	0	20	0	0	0	6	26.0
hsa-miR-450a-2-3p	0	0	0	0	0	0	0	0	25	0	0	0	0	25.0
hsa-miR-216b-5p	0	0	0	0	0	0	0	0	25	0	0	0	0	25.0
hsa-miR-548ab	0	0	0	0	0	0	0	0	22	0	0	0	4	25.0
hsa-miR-195-5p	0	0	0	0	0	0	0	0	21	0	0	0	3	24.33
hsa-miR-377-3p	0	0	0	0	0	0	0	0	24	0	0	0	0	24.0
hsa-miR-561-5p	0	0	0	0	0	0	3	0	21	0	0	0	0	24.0
hsa-miR-1262	0	0	0	0	0	0	0	0	24	0	0	0	0	24.0
hsa-miR-31-5p	0	3	0	0	0	2	0	0	19	0	0	0	0	24.0
hsa-miR-3688-3p	0	2	2	0	0	0	0	0	9	0	0	0	10	23.0
hsa-miR-552-3p	0	0	0	0	0	0	0	0	18	0	0	0	5	23.0
hsa-miR-10399-3p	6	0	2	0	0	7	8	0	0	0	0	0	0	23.0
hsa-miR-4732-3p	0	0	0	0	0	0	0	0	15	0	0	0	8	23.0
hsa-miR-125b-1-3p	0	0	0	0	0	0	0	0	14	0	0	0	8	22.0
hsa-miR-202-3p	0	0	0	0	0	0	0	0	11	0	0	0	11	22.0
hsa-miR-4690-3p	0	0	0	0	0	0	0	0	17	0	0	0	5	22.0
hsa-miR-9903	0	0	0	0	0	0	0	0	13	0	0	0	9	22.0
hsa-miR-18a-3p	0	0	0	0	0	0	3	0	5	0	0	0	13	21.0
hsa-miR-5010-5p	0	0	0	0	0	0	5	0	3	0	0	0	13	21.0
hsa-miR-6741-5p	0	2	7	0	0	0	10	0	0	0	0	2	0	21.0
hsa-miR-548k	3	0	0	0	0	0	0	0	12	0	0	2	4	21.0
hsa-miR-6767-5p	0	0	0	0	0	0	0	0	3	0	0	0	18	21.0
hsa-miR-874-3p	0	0	0	0	0	0	0	0	15	0	0	0	6	21.0
hsa-miR-208b-3p	0	2	0	0	0	5	0	0	10	0	0	4	0	21.0
hsa-miR-6509-5p	0	0	0	0	0	0	0	0	18	0	0	0	2	20.0
hsa-miR-145-5p	0	0	2	0	0	0	4	0	2	0	0	12	0	20.0
hsa-miR-1296-5p	0	0	2	0	3	0	0	0	13	0	0	2	0	20.0
hsa-miR-6875-5p	0	0	0	0	0	0	0	0	15	0	0	0	5	20.0
hsa-miR-125a-3p	0	0	0	0	0	0	0	0	17	0	0	3	0	20.0
hsa-miR-4433b-5p	0	0	7	0	0	0	0	0	0	0	0	12	0	19.0
hsa-miR-4482-5p	0	0	0	0	0	0	0	0	19	0	0	0	0	19.0
hsa-miR-2355-3p	0	0	2	0	0	0	2	0	11	0	0	0	4	19.0
hsa-miR-219a-2-3p	0	0	0	0	0	2	0	0	12	5	0	0	0	19.0
hsa-miR-516b-5p	0	0	0	0	0	0	0	0	11	0	0	0	8	19.0
hsa-miR-320e	0	1	0	0	0	1	3	0	5	0	0	2	7	18.38
hsa-miR-218-5p	0	3	2	0	0	0	4	0	0	9	0	0	0	18.0
hsa-miR-3190-3p	0	0	0	0	0	0	0	0	7	0	0	0	11	18.0
hsa-miR-1277-3p	0	0	0	0	0	0	2	0	10	4	0	2	0	18.0
hsa-miR-92a-1-5p	0	0	0	0	0	0	0	0	9	0	0	0	9	18.0
hsa-miR-624-5p	0	0	0	0	0	0	0	0	18	0	0	0	0	18.0
hsa-miR-101-5p	0	0	0	0	0	0	0	0	15	0	0	0	3	18.0
hsa-miR-188-5p	0	0	0	0	0	0	0	0	8	0	0	0	10	18.0
hsa-miR-487b-3p	0	0	0	0	0	0	0	0	10	0	0	3	5	18.0
hsa-miR-3120-3p	0	0	0	0	0	0	2	0	15	0	0	0	0	17.0
hsa-miR-1224-5p	0	4	0	0	0	0	2	0	7	0	0	4	0	17.0
hsa-miR-93-3p	0	0	0	0	0	0	4	0	13	0	0	0	0	17.0
hsa-miR-5698	0	0	0	0	0	0	0	0	5	0	0	0	12	17.0
hsa-miR-378a-5p	0	0	0	0	0	0	0	0	14	0	0	0	3	17.0
hsa-miR-3140-3p	0	0	0	0	0	0	0	0	17	0	0	0	0	17.0
hsa-miR-10394-3p	2	0	0	0	0	0	7	0	0	8	0	0	0	17.0
hsa-miR-5094	0	0	0	0	0	0	0	0	13	0	0	0	4	17.0
hsa-miR-376c-3p	0	0	0	0	0	0	2	0	0	0	0	2	12	16.0
hsa-miR-548at-3p	0	0	0	0	0	0	0	0	7	0	0	0	9	16.0
hsa-miR-9-5p	0	0	0	0	0	13	3	0	0	0	0	0	0	15.99
hsa-miR-3195	0	0	4	2	0	0	5	0	4	0	0	0	0	15.0
hsa-miR-431-5p	0	2	0	0	0	0	3	0	4	0	0	0	6	15.0
hsa-miR-3188	0	0	2	0	0	0	4	0	9	0	0	0	0	15.0
hsa-miR-3928-3p	0	2	0	0	0	0	0	0	9	0	0	0	4	15.0
hsa-miR-1288-3p	0	0	0	0	0	0	0	0	15	0	0	0	0	15.0
hsa-miR-148b-5p	0	0	6	2	0	0	7	0	0	0	0	0	0	15.0
hsa-miR-4672	0	0	0	0	0	0	0	0	2	0	0	0	13	15.0
hsa-miR-412-5p	0	0	0	0	0	2	0	0	10	0	0	0	3	15.0
hsa-miR-618	0	0	0	0	0	0	0	0	14	0	0	0	0	14.0
hsa-miR-4797-5p	0	0	0	0	0	0	0	0	11	0	0	0	3	14.0
hsa-miR-3182	0	0	0	0	0	0	3	0	3	0	0	0	8	14.0
hsa-miR-1291	0	0	2	0	0	0	0	0	12	0	0	0	0	14.0
hsa-miR-6800-5p	0	0	0	0	0	0	0	0	14	0	0	0	0	14.0
hsa-miR-548u	0	0	0	0	0	0	2	0	10	0	0	0	2	14.0
hsa-let-7g-3p	0	0	0	0	0	2	3	0	7	2	0	0	0	14.0
hsa-miR-18b-5p	0	0	0	0	0	0	2	0	7	0	0	0	5	14.0
hsa-miR-410-5p	0	0	0	0	0	0	0	0	0	0	0	0	14	14.0
hsa-miR-194-3p	0	0	0	0	0	0	3	0	5	0	0	0	6	14.0
hsa-miR-106a-3p	0	0	0	0	0	0	0	0	14	0	0	0	0	14.0
hsa-miR-5187-5p	0	0	10	0	0	0	0	0	0	0	0	0	4	14.0
hsa-miR-6131	0	0	0	0	0	0	4	0	2	0	0	0	7	13.0
hsa-miR-127-5p	2	0	0	0	0	2	0	0	7	2	0	0	0	13.0
hsa-miR-6733-5p	0	0	0	0	0	0	0	0	13	0	0	0	0	13.0
hsa-miR-3942-5p	0	0	0	0	0	0	0	0	9	0	0	0	4	13.0
hsa-miR-301a-3p	0	2	0	0	0	0	2	0	9	0	0	0	0	13.0
hsa-miR-4657	0	0	0	0	0	0	0	0	13	0	0	0	0	13.0
hsa-miR-454-3p	0	0	0	0	3	0	3	0	7	0	0	0	0	13.0
hsa-miR-29c-5p	3	0	2	2	0	4	0	0	0	0	0	2	0	13.0
hsa-miR-6514-5p	0	0	0	0	0	0	0	0	13	0	0	0	0	13.0
hsa-miR-4492	0	0	5	0	0	0	5	0	0	3	0	0	0	13.0
hsa-miR-4470	0	0	0	0	0	0	2	0	11	0	0	0	0	13.0
hsa-miR-539-3p	0	0	0	0	0	0	0	0	5	0	0	0	8	13.0
hsa-miR-4429	0	0	1	0	0	0	2	0	4	0	0	0	6	12.5
hsa-miR-12136	0	0	0	0	0	0	0	0	9	0	0	3	0	12.0
hsa-miR-32-3p	0	0	0	0	0	4	0	0	8	0	0	0	0	12.0
hsa-miR-195-3p	0	2	0	0	0	0	3	0	0	0	0	0	7	12.0
hsa-miR-4999-3p	0	0	0	0	0	0	0	0	12	0	0	0	0	12.0
hsa-miR-7975	0	0	0	0	0	0	0	0	3	0	0	0	9	12.0
hsa-miR-642a-3p	0	0	0	0	0	0	0	0	8	2	0	0	2	12.0
hsa-miR-6842-5p	0	0	0	0	0	0	0	0	12	0	0	0	0	12.0
hsa-miR-4709-3p	0	0	0	0	0	0	2	0	9	0	0	0	0	11.0
hsa-miR-5189-5p	0	0	0	0	0	0	0	0	11	0	0	0	0	11.0
hsa-miR-26b-3p	0	0	0	0	0	0	0	0	0	0	0	2	9	11.0
hsa-miR-431-3p	0	0	0	0	0	0	0	0	11	0	0	0	0	11.0
hsa-miR-5680	0	0	0	0	0	0	0	0	11	0	0	0	0	11.0
hsa-miR-6502-5p	0	0	0	0	0	0	0	0	6	0	0	0	5	11.0
hsa-miR-129-5p	0	0	0	0	0	0	0	0	0	0	0	0	11	11.0
hsa-miR-3911	0	0	0	0	0	0	0	0	6	0	0	0	5	11.0
hsa-miR-182-3p	0	0	0	0	0	0	0	0	11	0	0	0	0	11.0
hsa-miR-193b-3p	0	0	4	0	0	0	0	0	2	0	0	0	5	11.0
hsa-miR-625-5p	0	2	2	0	0	0	0	0	0	0	0	0	7	11.0
hsa-miR-4661-5p	0	0	0	0	0	0	0	0	4	0	0	0	7	11.0
hsa-miR-1273c	0	0	0	0	0	0	2	0	2	0	0	0	7	11.0
hsa-miR-143-5p	0	2	0	0	0	0	0	0	9	0	0	0	0	11.0
hsa-miR-580-3p	0	4	2	0	2	0	0	0	3	0	0	0	0	11.0
hsa-miR-4755-3p	0	0	0	0	0	0	0	0	11	0	0	0	0	11.0
hsa-miR-3691-5p	0	0	0	0	0	4	0	0	0	2	0	0	5	11.0
hsa-miR-193a-3p	0	0	0	3	2	0	0	0	0	0	0	6	0	11.0
hsa-miR-10b-3p	0	0	0	0	0	0	0	0	8	0	0	0	3	11.0
hsa-miR-338-5p	0	0	0	0	0	0	5	0	0	0	0	2	3	10.0
hsa-miR-3146	0	0	0	0	0	0	0	0	10	0	0	0	0	10.0
hsa-miR-1185-2-3p	0	0	0	0	0	4	0	0	6	0	0	0	0	10.0
hsa-miR-485-3p	0	0	0	0	0	0	10	0	0	0	0	0	0	10.0
hsa-miR-4500	0	0	0	0	0	0	0	0	10	0	0	0	0	10.0
hsa-miR-411-3p	0	0	0	0	0	0	0	0	2	0	0	8	0	10.0
hsa-miR-6721-5p	0	0	0	0	0	0	4	0	2	0	0	0	4	10.0
hsa-miR-190a-5p	0	0	0	0	2	0	6	0	0	2	0	0	0	10.0
hsa-miR-4326	0	0	6	0	0	0	4	0	0	0	0	0	0	10.0
hsa-miR-1306-5p	0	0	0	0	0	0	0	0	3	0	0	0	7	10.0
hsa-miR-128-1-5p	0	0	0	0	0	0	0	0	10	0	0	0	0	10.0
hsa-miR-7850-5p	0	0	0	0	0	0	0	0	10	0	0	0	0	10.0
hsa-miR-6755-5p	0	0	0	0	0	0	0	0	8	0	0	0	2	10.0
hsa-miR-191-3p	0	2	0	0	0	0	0	0	7	0	0	0	0	9.0
hsa-miR-200b-5p	0	0	0	0	0	0	0	0	6	0	0	0	3	9.0
hsa-miR-190b-5p	0	0	0	0	0	0	2	0	0	0	0	0	7	9.0
hsa-miR-4533	0	0	2	0	0	0	0	0	0	0	0	0	7	9.0
hsa-miR-451b	0	0	0	0	0	0	0	0	2	0	0	0	7	9.0
hsa-miR-9983-3p	0	0	0	0	0	0	0	0	9	0	0	0	0	9.0
hsa-miR-3150b-3p	0	0	0	0	0	0	0	0	0	0	0	0	9	9.0
hsa-miR-548l	0	0	0	0	0	0	0	0	4	0	0	0	5	9.0
hsa-miR-374c-5p	0	0	1	0	0	0	7	0	1	0	0	0	0	9.0
hsa-miR-329-3p	0	0	0	0	0	0	3	0	0	0	0	4	2	9.0
hsa-miR-4477a	0	0	0	0	0	0	0	0	9	0	0	0	0	9.0
hsa-miR-6815-5p	0	0	2	0	0	0	2	0	0	0	0	0	5	9.0
hsa-miR-3121-3p	0	0	0	0	0	0	0	0	9	0	0	0	0	9.0
hsa-miR-6804-5p	0	0	0	0	0	0	0	0	6	0	0	0	3	9.0
hsa-miR-5588-5p	0	0	0	0	0	0	0	0	9	0	0	0	0	9.0
hsa-miR-326	0	0	0	0	0	0	4	0	5	0	0	0	0	9.0
hsa-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	2	7	9.0
hsa-miR-138-5p	0	0	0	0	0	0	3	0	0	4	0	2	0	9.0
hsa-miR-24-1-5p	0	3	0	0	0	2	2	0	0	0	0	2	0	8.5
hsa-miR-4754	0	0	0	0	0	0	0	0	8	0	0	0	0	8.0
hsa-miR-3661	0	0	0	0	0	0	0	0	8	0	0	0	0	8.0
hsa-miR-943	0	0	0	0	0	2	0	0	0	0	0	0	6	8.0
hsa-miR-5683	0	0	0	0	0	0	8	0	0	0	0	0	0	8.0
hsa-miR-301b-3p	3	0	0	0	0	0	0	0	0	0	0	0	5	8.0
hsa-miR-3149	0	0	0	0	0	0	0	0	8	0	0	0	0	8.0
hsa-miR-3936	0	0	0	0	0	0	0	0	0	0	0	0	8	8.0
hsa-miR-455-3p	0	0	0	0	0	5	3	0	0	0	0	0	0	8.0
hsa-miR-378f	0	0	0	0	0	0	2	0	6	0	0	0	0	8.0
hsa-let-7f-2-3p	0	0	0	0	0	0	0	0	6	0	0	0	2	8.0
hsa-let-7b-3p	0	0	0	0	0	0	0	0	6	0	0	0	2	8.0
hsa-miR-5787	0	8	0	0	0	0	0	0	0	0	0	0	0	8.0
hsa-miR-664a-3p	0	0	0	0	0	0	0	0	0	0	0	8	0	8.0
hsa-miR-3064-5p	0	5	0	0	0	0	0	0	3	0	0	0	0	8.0
hsa-miR-6892-5p	0	3	3	0	0	0	2	0	0	0	0	0	0	8.0
hsa-miR-3944-3p	0	0	0	0	0	0	0	0	8	0	0	0	0	8.0
hsa-miR-369-3p	2	0	0	0	0	0	2	0	0	0	0	4	0	8.0
hsa-miR-135a-3p	0	0	0	0	0	0	2	0	0	0	0	0	6	8.0
hsa-miR-545-5p	0	0	0	0	0	0	0	0	8	0	0	0	0	8.0
hsa-miR-296-3p	0	0	0	0	0	0	0	0	3	0	0	0	4	7.0
hsa-miR-4536-5p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-4664-3p	0	3	0	0	0	2	2	0	0	0	0	0	0	7.0
hsa-miR-2861	0	0	0	0	0	0	5	0	0	0	0	2	0	7.0
hsa-miR-10393-3p	0	0	0	0	0	0	0	7	0	0	0	0	0	7.0
hsa-miR-338-3p	0	0	2	0	0	0	2	0	0	0	0	0	3	7.0
hsa-miR-1289	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-4516	0	3	0	2	0	0	0	0	0	2	0	0	0	7.0
hsa-miR-4511	0	0	0	0	0	0	0	0	0	0	0	0	7	7.0
hsa-miR-4772-3p	0	0	0	0	0	0	0	0	0	0	0	0	7	7.0
hsa-miR-4668-5p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-6862-5p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-3192-5p	0	0	0	0	0	0	0	0	0	0	0	0	7	7.0
hsa-miR-6764-5p	0	0	0	0	0	0	2	0	5	0	0	0	0	7.0
hsa-miR-219a-5p	0	0	0	0	0	0	0	0	0	0	0	0	7	7.0
hsa-miR-497-5p	0	0	0	0	0	0	0	0	4	0	0	0	3	7.0
hsa-miR-3117-3p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-532-3p	0	0	0	0	0	0	5	0	0	0	0	2	0	7.0
hsa-miR-663b	0	0	0	0	0	0	7	0	0	0	0	0	0	7.0
hsa-miR-663a	0	0	2	0	0	0	5	0	0	0	0	0	0	7.0
hsa-miR-6777-5p	0	0	0	0	0	0	0	0	0	0	0	0	7	7.0
hsa-miR-6847-5p	0	0	0	0	0	0	5	0	2	0	0	0	0	7.0
hsa-miR-3136-5p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-1298-5p	0	0	0	0	0	0	0	0	5	0	0	0	2	7.0
hsa-miR-4444	0	0	0	0	0	0	7	0	0	0	0	0	0	7.0
hsa-miR-20b-3p	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-6877-5p	0	0	0	0	0	0	2	0	5	0	0	0	0	7.0
hsa-miR-3684	0	0	0	0	0	0	0	0	7	0	0	0	0	7.0
hsa-miR-6516-3p	0	0	0	0	0	0	2	0	5	0	0	0	0	7.0
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	7	0	0	0	0	6.99
hsa-miR-1260a	0	0	0	0	0	0	0	0	0	0	0	7	0	6.5
hsa-miR-1244	0	0	6	0	0	0	0	0	0	0	0	0	0	6.079999999999999
hsa-miR-6859-3p	0	0	0	0	0	0	0	0	0	0	0	0	6	6.079999999999999
hsa-miR-6130	0	0	0	0	0	0	0	0	3	0	0	2	2	6.01
	sumhsa-miR-4765	0	0	0	0	0	0	0	0	0	0	0	0	6	6.0
hsa-miR-4762-3p	0	0	0	0	0	0	0	0	0	0	0	0	6	6.0
hsa-miR-5189-3p	0	0	0	0	0	0	2	0	2	0	0	0	2	6.0
hsa-miR-570-3p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-1295a	0	0	0	0	0	0	0	0	4	0	0	0	2	6.0
hsa-miR-6874-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-3617-5p	0	0	0	0	0	0	0	0	4	0	0	2	0	6.0
hsa-miR-548t-5p	0	0	0	0	0	0	0	0	4	0	0	0	2	6.0
hsa-miR-7-1-3p	0	0	0	0	0	0	6	0	0	0	0	0	0	6.0
hsa-miR-939-5p	2	0	0	2	0	0	2	0	0	0	0	0	0	6.0
hsa-miR-4530	0	0	0	0	0	0	0	0	2	0	0	0	4	6.0
hsa-miR-6852-3p	3	0	0	0	0	0	0	0	0	0	0	3	0	6.0
hsa-miR-1276	0	0	0	0	0	0	2	0	4	0	0	0	0	6.0
hsa-miR-1270	0	0	0	0	0	0	6	0	0	0	0	0	0	6.0
hsa-miR-500b-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-4714-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-27b-5p	0	0	4	0	0	0	2	0	0	0	0	0	0	6.0
hsa-miR-4796-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-3679-5p	0	0	2	0	0	0	2	0	2	0	0	0	0	6.0
hsa-miR-197-5p	0	0	3	0	0	0	0	0	0	0	0	0	3	6.0
hsa-miR-6867-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-376b-3p	3	0	3	0	0	0	0	0	0	0	0	0	0	6.0
hsa-miR-500a-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-3682-3p	0	0	0	0	0	0	0	0	0	0	0	0	6	6.0
hsa-miR-1303	0	0	0	0	0	0	0	0	0	0	0	0	6	6.0
hsa-miR-4479	0	0	0	0	0	0	0	0	6	0	0	0	0	6.0
hsa-miR-6842-3p	0	0	3	0	0	0	0	0	0	0	0	3	0	6.0
hsa-miR-4775	0	0	0	0	0	0	2	0	4	0	0	0	0	6.0
hsa-miR-6855-5p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-331-3p	0	0	0	0	0	0	0	0	2	0	0	3	0	5.0
hsa-miR-3199	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-365b-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-6891-5p	0	0	2	0	0	3	0	0	0	0	0	0	0	5.0
hsa-miR-3185	0	2	0	0	0	3	0	0	0	0	0	0	0	5.0
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-3128	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-10400-5p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-518b	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-1275	0	3	0	0	0	0	0	0	0	2	0	0	0	5.0
hsa-miR-154-5p	0	2	0	0	0	0	3	0	0	0	0	0	0	5.0
hsa-miR-5001-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-6778-5p	0	0	0	0	0	5	0	0	0	0	0	0	0	5.0
hsa-miR-181b-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-6837-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-942-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-181b-2-3p	0	0	3	0	0	0	0	0	0	0	0	0	2	5.0
hsa-miR-5003-3p	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-337-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-337-3p	0	0	0	0	0	0	0	0	0	0	0	5	0	5.0
hsa-miR-6809-5p	0	0	0	0	0	0	0	0	3	2	0	0	0	5.0
hsa-miR-4665-5p	0	0	0	0	0	0	5	0	0	0	0	0	0	5.0
hsa-miR-5703	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-6717-5p	0	0	0	0	0	0	3	0	0	2	0	0	0	5.0
hsa-miR-449c-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-4498	0	0	0	0	0	0	0	0	0	0	0	0	5	5.0
hsa-miR-212-5p	0	0	0	0	0	0	5	0	0	0	0	0	0	5.0
hsa-miR-4497	0	0	0	0	0	3	0	0	0	2	0	0	0	5.0
hsa-miR-4463	0	2	0	0	0	0	3	0	0	0	0	0	0	5.0
hsa-miR-1269a	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-548av-3p	0	0	0	0	0	0	0	0	5	0	0	0	0	5.0
hsa-miR-597-5p	0	0	2	0	0	0	0	0	3	0	0	0	0	5.0
hsa-miR-615-3p	0	0	0	2	0	0	0	0	0	0	0	3	0	5.0
hsa-miR-376a-3p	0	0	0	0	0	0	0	0	4	0	0	0	0	4.0
hsa-miR-30b-3p	0	0	0	0	0	0	0	0	4	0	0	0	0	4.0
