name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa-miR-6502-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7512673880836972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	61.06337943813661	68.81937789336695	34.105775000954154	106.64294511399741	125.88711073344977	289.2370411965993	12.810976113728406	11.135188009364429	89.99461472225501	1107.7488694317926	91.69379274702099	35.497384086954696	57.779671667015755	0.0	97.55304446792944	427.82055983376114	0.0	123.54830738818877	0.0	51.216782715360175	26.750377514702677	21.48768448711967	822.8455687656261	41.16920543433512	66.93574837513471	24.1769503194867	23.893720730192104	144.03802603887428	153.96195429040645	548.5721450738222	100.57832537088258	0.0	0.0	7.682586265840532	293.1047116582399	13.897778748906514	64.74158321777713	17.432579498788435	23.314224636141173	28.583678719451193	13.585346543321783	15.338060646909357	13.605523292120827	38.46597684348194	20.419473193374778	11.241422794407866	8.400215675537469	16.622439200818818	7.5529556603737955	159.26102882624622	0.0	59.41347022196873	87.98008717360304	44.93439578215805	117.12578312292226	48.882783972312794	211.70449733988696	65.58581247704497	101.2965964343598	39.739068265633115	79.65693861462962	71.66380554352111	56.40678522347343	4.659731702778406	44.65408515928046	0.0	28.566531451751125	45.3435421079565	42.38307629259922	34.24944592508204	112.1512181651159	86.42869076126301	13.133918854380795	11.681260097991267	7.180359263367851	38.547209063457004	34.159705076605675	10.02376746641481	129.2442901718949	21.650682689326562	21.7900593989796	10.307623081939656	28.33768665910995	237.45650719139977	37.96737842845427	11.006924960977011	8.168194799777126	97.94562812154601	57.54549290911648	177.45779039699843	33.62289631527167	15.52278712021348	16.9438468208472	142.13125821696335	9.775863349940714	143.68492373551075	13.339070753887556	81.57427473671903	36.99783482236213	10.79302347291732	166.8093540798379
hsa-miR-3157-3p	0.33459385993499513	1.02715489393085	2.4361267857824394	0.0	2.9973121603202326	1.3729606385914523	0.5510097253216519	1.7233029062111616	1.07993537666706	0.0	0.0	0.5634505410627729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.055620652162439	0.0	0.0	0.0	0.0	25.660325715067742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.503160983085992	1.1965862916028578	1.070097337582537	0.0	1.3810271724987773	2.2482845588815734	1.7500449324036393	0.7227147478616878	2.8649142160038537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0740288720441382	1.6509210075570908	0.0	0.0	0.3038955458333743	1.9700331687917851	16.00179220072648	0.0	0.0	0.8057619067034072	0.9013012085547906	1.1271479212574462	0.0	3.119305727915439	0.6871329469406627	0.8180156122824135	2.965169927958231	3.3821490174857103	0.0	0.0	0.0	0.48154827401059885	0.9911176040326592	4.928293332019122	0.0	0.0	1.3758656201221264	0.35006549141901966	0.0	0.0	0.0	0.9745767047904832	1.419767114653672	0.0	0.0	0.651724223329381	0.0	1.3501083758995502	0.0	1.6086015140157448	1.6311000103765723	0.0
hsa-miR-4776-5p	0.0	0.6847699292872332	0.0	0.0	0.0	0.0	0.0	0.0	0.7199569177780402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.860494096918476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.42834144907022	0.0	0.0	0.0	0.0	0.0	0.8254605037785454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8910174305284847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	9.53592500814736	12.3258587271702	17.864929762404554	18.207332092633706	12.738576681360989	4.118881915774357	0.0	0.0	3.9597630477792207	1.7331142676898974	0.0	6.010139104669578	14.444917916753939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.111241304324878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.17487102858306	0.0	115.81482290755429	58.7191103603095	55.41069912114896	52.905355905089586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.745978659022136	0.0	29.706735110984365	21.99502179340076	99.85421284924011	174.4426557149906	61.10347996539099	92.0454336260378	0.0	0.0	144.63588810194395	0.0	0.0	189.73191393350154	0.3038955458333743	0.0	0.0	0.0	0.0	0.0	4.506506042773952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	0.33459385993499513	0.0	0.0	0.0	0.0	0.0	1.3775243133041297	0.2651235240324864	0.0	0.0	0.0	0.0	7.222458958376969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.503160983085992	0.4351222878555846	0.7643552411303836	0.0	1.4796719705344041	0.0	1.5750404391632755	0.3212065546051946	0.6511168672736031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1526962104312584	0.545343741521609	0.0	0.0	0.0	0.0	0.0	1.4446448220317967	0.3964470416130637	0.0	0.0	0.0	0.9172437467480844	0.0	0.0	0.0	0.0	0.9745767047904832	1.041162550746026	0.0	0.0	0.0	0.0	0.10800867007196402	0.0	0.0	0.1388170221597083	0.0
hsa-miR-361-3p	646.2680404644431	495.08865887466965	351.61429941459875	559.2251999880352	658.6593472303712	1106.6062747047106	276.60688211146925	180.68168162813947	454.2928151179433	5184.900184172277	320.92827461457347	361.9230642093211	162.50532656348182	0.0	650.3536297861963	122.23444566678889	134.39505426200316	185.32246108228316	0.0	38.41258703652013	164.51482171542145	79.81139952358734	52.74651081830937	147.78689130274145	120.48434707524247	77.99016232092484	89.60145273822039	256.0676018468876	299.37046667579034	454.5312059183098	0.0	0.0	0.0	209.9906912663079	451.8697638064532	237.80643637017812	332.74162537508715	196.73911148632664	221.48513404334113	89.8344188325609	169.8168317915223	251.391901808564	184.82109730532676	195.9933105834556	245.7241919067467	136.14612051005082	225.7557962800695	159.5593560001304	73.9668761222813	313.54515050167225	103.87451958034694	463.4250677313561	293.26695724534346	249.6355321231003	488.43943600197366	310.4056782241862	469.43171149279283	351.539954876961	749.5948136142625	1017.8213610738284	435.84314599507195	288.28394502734625	902.5085635755748	33.1246144958378	458.36105060555536	560.0627270254269	285.66531451751126	388.65893235391286	221.74567672477767	598.0133518761036	652.6186464080614	305.61897867127027	251.02202410435294	198.88681408671405	177.6911691124576	418.6819938277023	297.2908986369939	326.8861945991941	535.440630712136	522.5031422357476	290.9755445709044	173.64380422652192	294.4655265881425	392.49009453123927	448.0150654557604	292.1421333392649	176.4330076751859	640.4137223331854	505.12154886891136	202.80890331085533	216.35602846348726	227.35204062654134	309.6488006509826	390.86096009664925	123.61036102480593	327.00706781185204	322.51388883488454	195.77825936812567	632.1803950081877	229.25631209675822	235.49555870094764
hsa-miR-484	376.0834985669345	482.42041518285583	332.1252851283392	522.8105358027678	277.2513748296215	594.0343029639017	7847.618260462297	4763.408075410675	559.0465466546482	2058.65089763765	2375.7028120819077	605.3336979484391	411.6801606274872	3182.338023966983	569.0594260629217	3972.6194841706388	3057.4874844605715	1235.4830738818878	3529.2820116907465	427.66013567325746	512.2697294065563	233.29486014587067	400.8734822191512	601.7037717325902	649.2767592388067	265.94645351435366	442.0338335085539	816.2154808869542	1291.5697276584096	2382.370458606313	3620.819713351773	3152.4292248732845	3797.7430555555557	1195.2823798603563	2320.4123006277327	1797.4460515252424	996.7192579108946	1293.123843535128	1461.6225444965428	4893.934135037465	12750.854052873667	19255.684165617113	15500.512805931274	9345.400659783088	14066.846844678437	8138.290484360433	12428.994114423887	6182.4231597634825	9605.276026020192	985.4276158623985	1973.615872026592	736.7270307524122	4923.219044756203	2326.6031593872945	1487.7466494549913	1434.7097095873803	635.1134920196608	779.1594522272942	1215.5591572123176	2967.1837638339393	2728.972425491871	6808.061526634505	5230.447357085718	2008.6482594433262	2139.4560213078785	602.7341728940307	649.8885905273381	2257.460632088977	1923.353671301033	1889.5779837351183	4052.0967769205195	3713.31514172746	4098.275204523847	2437.1078665880996	5449.710899649025	3860.651246201617	4377.853688233504	4579.191104240499	1033.9543213751592	5028.731899307582	6708.449005241653	5556.899070529911	2960.672219210487	8674.031089140388	1275.7039151960635	4768.979550279978	4813.8672610000785	6043.998683008016	1138.1219708691926	1495.715661917558	5891.316180458471	7264.096465414047	7917.012427040854	1385.7797676153928	3073.0969544058075	2001.6796272119427	2491.976035900354	1283.4352558577127	9368.495217627698	4594.739320719725	1518.4557378738186
hsa-miR-3622a-3p	0.0	0.0	0.0	2.601047441804815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.841293132920266	0.0	1.5441976387673906	9.03370928620146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.331673931133587	0.0	0.0	4.888278397231279	0.0	3.935148748622698	0.0	10.38227909642667	0.0	0.0	0.0	0.0	0.0	10.667861467150987	14.283265725875562	6.477648872565214	0.0	0.9013012085547906	0.0	0.0	0.0	0.0	0.45445311793467413	0.0	0.0	0.0	0.0	0.5773515383820417	0.24077413700529943	0.19822352080653186	0.0	0.0	0.0	0.0	0.23337699427934644	0.0	0.0	0.0	0.0	0.18930228195382293	0.84719234104236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsv2-miR-H9-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.51863857374392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8910174305284847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.909305085207638	0.0	0.0	0.0	0.0	0.0
