name	SRX387062	SRX387063	SRX387064
hsa-miR-214-5p	0	6	0
hsa-miR-4765	2	0	0
hsa-miR-4645-3p	102	5	0
hsa-miR-98-5p	14644	3867	35
hsa-miR-651-5p	24	0	0
hsa-miR-6131	0	3	7
hsa-miR-6505-5p	2	2	0
hsa-miR-6866-5p	9	0	0
hsa-miR-656-3p	62	0	0
hsa-miR-376a-3p	548	158	0
hsa-miR-3667-5p	6	2	0
hsa-miR-148a-5p	1108	898	10
hsa-miR-185-5p	1210	369	13
hsa-miR-377-5p	337	486	2
hsa-miR-30b-3p	80	8	0
hsa-miR-1468-5p	264	60	3
hsa-miR-610	8	2	0
hsa-miR-150-3p	7	10	27
hsa-miR-342-3p	847	237	40
hsa-miR-6129	17	16	0
hsa-miR-7-5p	19	0	0
hsa-miR-548a-3p	20	4	0
hsa-miR-144-3p	4684	209	111
hsa-miR-331-5p	106	59	6
hsa-miR-26b-5p	74086	3264	83
hsa-miR-889-3p	1494	23	0
hsa-miR-5189-5p	172	112	0
hsa-miR-15a-3p	2	0	0
hsa-miR-3120-3p	198	65	0
hsa-miR-494-5p	10	0	0
hsa-miR-181c-5p	5704	834	32
hsa-miR-3661	25	15	0
hsa-miR-1224-5p	2	0	0
hsa-miR-191-3p	401	117	2
hsa-miR-1229-3p	7	2	0
hsa-miR-214-3p	0	2	0
hsa-miR-93-5p	24587	3906	282
hsa-miR-98-3p	206	155	0
hsa-miR-4741	0	2	0
hsa-miR-6861-5p	0	4	0
hsa-miR-33b-5p	223	90	4
hsa-miR-296-5p	15	4	2
hsa-miR-148a-3p	77737	9007	141
hsa-miR-127-5p	665	927	0
hsa-miR-185-3p	1860	1149	13
hsa-miR-1271-5p	53	3	0
hsa-miR-377-3p	520	37	0
hsa-miR-6855-5p	2	0	0
hsa-miR-19b-3p	13999	724	52
hsa-miR-130a-5p	4	5	0
hsa-miR-4734	5	2	0
hsa-miR-1260b	2297	567	19
hsa-miR-1260a	1156	251	7
hsa-miR-3074-5p	53	8	0
hsa-miR-18a-5p	771	25	0
hsa-miR-331-3p	1385	212	12
hsa-miR-6733-5p	2	0	0
hsa-miR-499a-5p	4	0	0
hsa-miR-6791-3p	2	0	0
hsa-miR-26b-3p	554	35	3
hsa-miR-5189-3p	65	7	0
hsa-miR-943	5	2	0
hsa-miR-4786-5p	31	5	0
hsa-miR-941	2224	1524	49
hsa-miR-940	40	10	0
hsa-miR-628-5p	67	0	0
hsa-miR-181c-3p	2476	629	7
hsa-miR-494-3p	431	23	0
hsa-miR-873-5p	5	51	0
hsa-miR-570-3p	2	0	0
hsa-miR-93-3p	210	86	8
hsa-let-7c-5p	746	1730	33
