name	SRX387062	SRX387063	SRX387064
hsa-miR-4433b-5p	1581	565	22	2168.0
hsa-miR-374a-3p	1641	406	0	2047.0
hsa-miR-382-5p	1433	607	3	2043.0
hsa-miR-148a-5p	1108	898	10	2016.0
hsa-miR-345-5p	1562	324	35	1921.0
hsa-miR-3615	1240	521	149	1910.0
hsa-miR-376c-3p	1564	332	0	1896.0
hsa-miR-16-2-3p	931	867	96	1894.0
hsa-miR-335-5p	1789	77	0	1866.0
hsa-miR-152-3p	1465	394	0	1859.0
hsa-miR-4446-3p	1391	408	56	1855.0
hsa-miR-454-3p	1826	16	4	1846.0
hsa-miR-370-3p	1358	486	2	1846.0
hsa-miR-421	1749	89	6	1844.0
hsa-miR-323b-3p	1570	257	7	1834.0
hsa-miR-106b-5p	1714	55	26	1795.0
hsa-miR-148b-5p	1530	127	0	1657.0
hsa-miR-301b-3p	1540	111	2	1653.0
hsa-miR-331-3p	1385	212	12	1609.0
hsa-miR-185-5p	1210	369	13	1592.0
hsa-miR-127-5p	665	927	0	1592.0
hsa-miR-151b	1301	253	13	1566.5
hsa-miR-548k	1083	467	0	1550.0
hsa-miR-493-3p	1141	405	2	1548.0
hsa-miR-889-3p	1494	23	0	1517.0
hsa-miR-493-5p	1365	55	0	1420.0
hsa-miR-1260a	1156	251	7	1413.5
hsa-miR-24-2-5p	1110	271	0	1381.0
hsa-miR-660-5p	1132	230	14	1376.0
hsa-miR-1273h-3p	875	457	30	1362.0
hsa-miR-671-3p	1026	296	18	1340.0
hsa-miR-433-3p	1046	270	5	1321.0
hsa-miR-877-5p	728	478	89	1295.0
hsa-miR-197-3p	884	337	63	1284.0
hsa-miR-374a-5p	1261	9	0	1270.0
hsa-miR-338-3p	1034	212	0	1246.0
hsa-miR-155-5p	1092	72	6	1170.0
hsa-miR-342-3p	847	237	40	1124.0
hsa-miR-486-3p	505	399	210	1114.0
hsa-miR-139-5p	843	266	2	1111.0
hsa-miR-324-5p	783	295	8	1086.0
hsa-miR-92b-3p	796	173	110	1079.0
hsa-miR-29c-3p	1046	28	4	1078.0
hsa-miR-190a-5p	1025	41	2	1068.0
hsa-miR-589-5p	753	287	11	1051.0
hsa-miR-145-5p	951	92	5	1048.0
hsa-miR-12136	339	561	135	1035.0
hsa-miR-425-3p	830	188	2	1020.0
hsa-miR-150-5p	555	103	353	1011.0
hsa-miR-361-5p	970	14	4	988.0
hsa-miR-30d-3p	872	94	0	966.0
hsa-miR-625-5p	612	345	2	959.0
hsa-miR-221-5p	807	152	0	959.0
hsa-miR-485-5p	409	483	19	911.0
hsa-miR-4433b-3p	204	679	6	889.0
hsa-miR-1843	725	153	8	886.0
hsa-miR-377-5p	337	486	2	825.0
hsa-miR-335-3p	769	49	0	818.0
hsa-let-7a-3p	362	452	0	814.0
hsa-miR-1301-3p	597	207	0	804.0
hsa-miR-361-3p	679	113	5	797.0
hsa-miR-18a-5p	771	25	0	796.0
hsa-miR-144-5p	694	66	28	788.0
hsa-miR-574-3p	646	108	5	759.0
hsa-miR-431-3p	539	219	0	758.0
hsa-miR-33a-5p	670	78	0	748.0
hsa-miR-330-3p	499	244	0	743.0
hsa-miR-376b-3p	406	327	0	733.3299999999999
hsa-miR-15b-3p	499	218	5	722.0
