name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-7976	0	0	0	0	0	0	0	2	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	72	172	169	0	0	0	0	0	0	626.0
hsa-miR-200a-5p	18	0	0	22	25	2	0	20	22	2	0	0	0	0	0	0	43	0	10	175	0	0	0	98	0	0	0	2	10	162	0	0	611.0
hsa-miR-130a-3p	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	16	0	0	0	10	5	0	16	59	196	197	0	0	0	0	2	0	602.0
hsa-miR-324-3p	2	0	0	0	0	0	2	0	2	0	0	83	0	0	0	0	0	0	0	67	0	0	0	254	88	60	0	4	0	5	0	0	567.0
hsa-miR-342-3p	5	0	0	2	0	12	4	8	3	0	0	77	0	0	0	0	2	0	2	29	4	0	0	283	59	54	0	0	0	17	2	0	563.0
hsa-miR-17-3p	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	2	0	0	0	79	96	166	0	0	0	0	0	0	557.0
hsa-miR-7704	5	61	27	72	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	152	19	0	26	162	2	4	0	2	0	0	9	0	548.0
hsa-miR-185-3p	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	6	0	0	0	112	148	129	0	0	0	0	0	0	535.0
hsa-miR-1260b	0	2	0	2	3	0	4	0	0	0	2	89	0	0	0	0	0	0	2	48	1	0	2	229	75	63	1	0	0	5	3	0	528.0
hsa-miR-574-3p	0	0	0	0	3	0	14	5	0	0	0	25	0	0	0	0	12	0	6	177	0	0	0	196	11	17	4	3	0	43	0	0	516.0
hsa-miR-9985	2	2	0	5	0	1	0	5	32	0	30	8	0	2	0	117	0	0	0	8	32	0	153	65	10	9	0	1	0	0	19	0	501.0
hsa-miR-421	4	0	0	6	0	4	0	0	0	0	0	144	0	0	0	0	0	0	0	2	0	0	0	131	113	96	0	0	0	0	0	0	500.0
hsa-miR-149-5p	15	8	0	6	5	0	4	0	0	0	0	0	0	0	0	0	10	0	9	230	3	0	2	81	0	0	0	13	0	78	0	0	464.0
hsa-miR-10395-3p	0	0	0	4	0	0	0	0	0	0	0	26	0	2	0	0	0	0	0	0	2	0	0	374	21	22	2	3	2	0	0	0	458.0
hsa-miR-651-5p	2	0	0	0	0	6	0	9	0	0	0	76	0	0	0	2	0	0	0	5	0	0	0	188	65	98	0	3	0	2	0	0	456.0
hsa-miR-339-3p	2	0	0	2	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	29	0	0	0	119	86	95	0	0	0	0	0	0	453.0
hsa-miR-1260a	0	2	0	2	3	0	4	0	0	0	2	87	0	0	0	0	0	0	2	36	1	0	2	197	57	52	1	0	0	3	3	0	451.0
hsa-miR-324-5p	0	0	0	0	0	0	2	0	0	0	0	64	0	0	0	0	0	0	0	75	0	0	0	155	67	74	0	0	0	12	0	0	449.0
hsa-miR-196a-5p	262	0	0	148	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	5	0	0	0	0	0	0	4	0	424.0
hsa-miR-1307-5p	4	0	0	0	0	0	2	2	3	0	0	73	0	0	0	0	0	0	0	102	0	0	10	95	65	64	0	0	0	0	0	0	420.0
hsa-miR-18a-3p	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	2	0	0	65	98	118	0	0	0	0	0	0	416.0
hsa-miR-328-3p	25	0	4	18	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	19	0	0	2	45	117	107	0	0	0	0	0	0	412.0
hsa-miR-125b-2-3p	9	0	0	9	13	3	0	5	4	0	0	0	0	0	0	0	22	0	6	200	0	0	0	18	0	0	0	0	0	114	0	0	403.0
hsa-miR-224-5p	131	2	0	13	0	9	0	8	50	0	3	0	0	0	0	14	0	0	0	0	6	2	20	102	0	0	0	36	4	0	0	0	400.0
hsa-miR-151a-5p	9	0	0	4	0	12	0	0	0	0	0	77	0	0	0	0	0	0	0	28	0	0	0	95	91	76	0	0	0	9	0	0	399.5
hsa-miR-193a-5p	84	33	21	34	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	161	5	0	22	14	4	4	2	0	0	4	0	0	398.0
hsa-miR-4508	4	3	17	11	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	15	41	60	162	0	0	0	0	0	0	394.0
hsa-miR-339-5p	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	13	0	0	0	129	76	74	0	0	0	0	0	0	393.0
hsa-miR-21-3p	3	0	0	0	0	0	0	10	6	0	0	58	0	0	0	0	0	0	2	55	0	0	2	104	72	74	0	0	0	0	0	0	386.0
hsa-miR-4516	6	167	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	2	0	0	95	0	0	0	0	0	0	0	0	379.0
hsa-miR-345-5p	10	0	0	0	0	0	0	6	0	0	0	93	0	4	0	0	0	0	0	42	0	0	0	50	81	92	0	0	0	0	0	0	378.0
hsa-miR-452-5p	53	0	0	3	0	4	7	0	17	0	0	6	0	0	0	3	0	0	0	0	2	0	4	91	0	0	39	95	51	0	0	0	375.0
hsa-let-7a-3p	9	0	0	11	2	5	0	2	4	0	0	36	0	0	0	0	0	0	3	11	0	0	0	231	32	24	0	0	0	2	0	0	372.0
hsa-miR-582-3p	2	2	0	0	12	4	0	114	4	10	0	4	0	0	0	0	13	0	0	88	0	0	0	57	9	4	0	0	0	31	0	0	354.0
hsa-miR-1-3p	3	0	0	23	0	6	0	0	0	0	0	25	0	0	0	12	0	0	0	0	2	0	208	16	41	7	0	0	0	0	2	0	345.0
hsa-miR-362-5p	2	0	0	0	0	0	2	0	0	0	0	103	0	0	0	0	0	0	0	4	0	0	0	80	72	75	0	6	0	0	0	0	344.0
hsa-miR-548o-3p	0	0	0	0	0	3	0	5	0	0	0	73	0	0	0	0	0	0	2	4	0	0	0	126	72	56	0	0	0	2	0	0	343.0
hsa-miR-4732-3p	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	2	0	0	0	0	3	0	2	28	85	93	0	0	0	0	0	0	342.0
hsa-miR-361-5p	22	0	0	13	0	0	0	0	10	0	0	40	0	2	0	2	0	0	4	66	0	0	4	70	44	30	0	3	0	30	0	0	340.0
hsa-miR-190a-5p	0	0	0	0	0	3	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	51	105	79	0	0	0	0	0	0	339.0
hsa-miR-22-5p	15	0	0	14	2	2	0	4	2	0	0	46	0	0	0	0	0	0	5	30	0	0	3	67	68	69	0	0	0	3	0	0	330.0
hsa-miR-95-3p	52	0	0	40	5	5	0	40	36	2	3	0	0	5	0	17	0	0	0	8	0	0	7	67	0	0	0	30	0	6	3	0	326.0
hsa-miR-589-5p	0	0	0	0	0	3	0	3	0	0	0	76	0	0	0	0	0	0	0	15	0	0	0	81	75	71	0	0	0	0	0	0	324.0
hsa-miR-12136	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	6	0	0	0	211	0	2	0	2	0	0	0	0	310.0
hsa-miR-1843	3	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	3	0	0	0	56	98	67	0	0	0	2	0	0	310.0
hsa-miR-450a-5p	16	7	0	8	0	2	0	9	3	0	0	83	0	2	0	0	0	0	0	0	0	0	0	73	54	51	0	0	0	0	0	0	308.0
hsa-miR-548e-3p	0	3	0	0	0	4	0	2	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	118	63	51	0	0	0	0	0	0	299.0
hsa-let-7i-3p	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	42	86	82	0	0	0	0	0	0	296.0
hsa-miR-532-3p	0	2	0	5	0	0	0	0	0	0	0	76	0	0	0	4	0	0	0	10	0	0	2	84	50	61	0	2	0	0	0	0	296.0
hsa-miR-378d	11	2	3	2	0	0	0	3	3	0	0	63	0	0	0	0	0	0	0	8	0	0	2	71	54	34	21	8	5	3	0	0	287.9
hsa-miR-215-5p	4	0	0	1	0	1	0	0	0	0	0	40	0	0	0	2	0	0	5	0	0	0	0	103	76	53	0	0	0	0	0	0	284.0
hsa-miR-888-5p	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	11	0	183	10	0	0	0	2	0	0	0	0	0	20	0	0	282.0
hsa-miR-548k	0	0	0	0	0	0	0	4	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	79	56	63	0	0	0	0	0	0	280.0
hsa-miR-2110	19	30	8	12	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	17	2	0	0	27	57	68	0	0	0	0	0	0	280.0
hsa-miR-514a-3p	45	6	0	17	29	0	4	0	0	0	0	0	0	0	0	0	7	0	79	0	0	0	0	85	0	0	0	5	0	0	0	0	277.0
hsa-miR-381-3p	0	0	0	3	0	12	0	0	0	0	0	41	0	0	0	0	3	0	5	15	0	0	0	115	62	10	0	0	0	9	0	0	275.0
hsa-miR-320d	2	32	3	3	0	0	0	0	0	0	1	15	0	0	0	24	0	0	0	30	20	0	40	68	14	10	1	0	0	0	11	0	272.34999999999997
hsa-miR-598-3p	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	4	0	0	0	54	59	73	0	2	0	0	0	0	270.0
hsa-miR-127-3p	6	7	0	13	0	29	0	0	0	0	0	39	0	0	0	0	0	0	0	39	0	0	0	78	51	7	0	0	0	0	0	0	269.0
hsa-miR-133a-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	262.34
hsa-miR-5010-3p	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	15	70	99	0	0	0	0	0	0	261.0
hsa-miR-28-5p	15	0	0	13	0	6	0	0	0	0	0	42	0	2	0	0	2	0	0	59	0	0	0	45	19	27	0	0	0	15	0	0	245.0
hsa-miR-424-3p	20	5	0	15	0	2	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	29	45	41	0	0	0	0	0	0	241.0
hsa-miR-590-3p	0	0	0	0	0	0	0	0	3	0	0	60	0	0	0	0	0	0	0	0	0	0	0	49	62	66	0	0	0	0	0	0	240.0
hsa-miR-221-5p	2	0	0	2	0	9	0	11	7	0	0	31	0	2	0	0	0	0	0	0	0	0	0	67	58	42	0	6	0	0	0	0	237.0
hsa-miR-122-5p	5	0	0	0	98	0	0	0	0	0	0	3	0	0	0	0	28	0	45	2	0	0	0	4	49	0	0	0	0	0	0	0	234.0
hsa-miR-93-3p	0	0	0	0	0	2	0	0	0	0	0	76	0	0	0	0	0	0	0	3	0	0	0	38	46	67	0	0	0	0	0	0	232.0
hsa-miR-29c-5p	3	2	0	0	0	2	0	0	0	0	0	27	0	0	0	0	2	0	2	20	0	0	0	67	55	46	0	0	0	6	0	0	232.0
hsa-miR-4497	34	34	16	57	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	3	0	0	4	72	0	0	0	0	0	0	2	0	228.0
hsa-miR-424-5p	5	0	0	0	0	11	0	8	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	89	27	25	0	0	0	0	0	0	225.0
hsa-miR-130b-5p	0	0	0	3	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	4	48	68	0	0	0	0	2	0	212.0
hsa-miR-942-5p	4	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	106	41	37	0	2	0	0	0	0	210.0
hsa-miR-3688-3p	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	89	37	49	0	0	0	0	0	0	208.0
hsa-miR-550a-5p	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	64	37	40	0	0	0	0	0	0	207.0
hsa-miR-9-5p	20	2	0	38	0	17	0	0	0	0	0	25	0	0	0	0	0	0	2	0	0	0	0	47	28	16	0	7	0	0	0	0	202.02000000000004
hsa-miR-331-3p	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	3	0	0	0	48	53	54	0	0	0	2	0	0	191.0
hsa-miR-200b-5p	56	0	0	60	0	0	0	2	2	0	0	0	0	0	0	0	2	0	3	17	0	0	2	29	0	0	0	0	0	17	0	0	190.0
hsa-miR-454-5p	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	38	52	51	0	0	0	0	0	0	190.0
hsa-miR-370-3p	0	0	0	2	0	4	0	0	0	0	0	46	0	0	0	0	0	0	0	10	0	0	0	70	46	8	0	0	0	4	0	0	190.0
hsa-miR-27a-5p	0	2	0	0	2	8	0	26	10	3	0	6	0	2	0	0	0	0	0	13	0	2	0	88	9	0	0	9	5	2	0	0	187.0
hsa-miR-4732-5p	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	70	41	35	0	0	0	0	0	0	186.0
hsa-miR-30c-2-3p	41	54	4	44	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	23	0	0	0	6	0	0	0	0	0	10	0	0	184.0
hsa-miR-7977	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	2	0	0	168	0	0	0	3	0	0	0	0	182.0
hsa-miR-450b-5p	4	0	0	0	0	10	0	8	2	2	2	31	0	2	0	0	0	0	0	0	0	0	0	70	25	24	0	0	0	0	0	0	180.0
hsa-miR-4306	0	0	0	2	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	1	0	22	56	47	0	0	0	0	0	0	177.5
hsa-miR-145-5p	0	0	0	0	0	13	0	39	4	3	0	9	0	0	0	0	0	0	0	0	0	0	2	84	15	6	0	0	0	0	0	0	175.0
hsa-miR-5100	0	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	129	12	14	0	0	0	0	0	0	174.0
hsa-miR-132-3p	3	0	0	0	2	9	0	0	2	0	0	16	0	0	0	0	0	0	6	3	0	0	0	119	2	10	0	0	0	2	0	0	174.0
hsa-miR-130b-3p	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	3	0	0	0	12	0	0	0	24	29	57	0	0	0	0	0	0	165.0
hsa-miR-4488	42	10	23	23	0	0	0	0	5	0	0	2	0	0	0	11	0	0	0	11	7	0	3	26	0	0	0	0	0	0	0	2	165.0
hsa-miR-664a-3p	0	0	0	0	4	0	0	8	0	0	0	17	0	0	0	0	0	0	2	14	0	0	0	45	44	15	0	0	0	12	0	0	161.0
hsa-miR-340-3p	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	6	57	50	0	0	0	0	0	0	160.0
hsa-miR-486-3p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	145	0	9	0	0	0	0	0	0	158.0
hsa-miR-624-5p	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	26	40	32	0	0	0	0	0	0	153.0
hsa-miR-31-5p	20	0	0	0	0	0	0	0	17	0	0	6	0	0	0	4	0	0	0	5	0	0	6	68	0	0	2	23	0	0	0	0	151.0
hsa-miR-3200-3p	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	41	44	44	0	0	0	0	0	0	150.0
hsa-miR-184	37	10	0	22	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	6	49	0	0	0	9	7	0	0	0	148.0
hsa-miR-335-5p	5	0	0	0	0	3	0	0	0	0	0	32	0	0	0	0	0	0	8	2	0	0	0	23	41	27	0	0	0	4	0	0	145.0
hsa-miR-3143	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	16	33	51	0	0	0	0	0	0	144.0
hsa-miR-1294	0	0	0	2	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	34	29	39	0	0	0	0	0	0	143.0
hsa-miR-342-5p	4	18	3	0	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	8	9	0	25	19	14	11	0	0	0	0	4	0	142.0
hsa-miR-379-5p	0	0	0	3	0	16	0	2	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	72	15	8	0	0	0	4	0	0	139.0
hsa-miR-4326	0	0	0	0	0	2	0	0	0	0	0	54	0	0	0	0	2	0	0	8	0	0	0	42	20	11	0	0	0	0	0	0	139.0
hsa-miR-10399-3p	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	56	25	21	0	0	0	0	0	0	139.0
hsa-miR-664a-5p	17	4	0	11	3	0	0	0	0	0	0	10	0	0	0	3	0	0	0	16	0	0	0	33	16	10	0	0	0	13	0	0	136.0
hsa-miR-3178	0	5	24	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	45	5	0	4	36	0	0	0	0	0	0	2	0	134.0
hsa-miR-3912-3p	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	36	28	43	0	0	0	0	0	0	132.0
hsa-miR-18b-5p	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	23	32	37	0	0	0	0	0	0	132.0
hsa-miR-542-3p	9	0	0	2	0	12	0	17	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	50	13	12	0	0	0	0	0	0	131.0
hsa-miR-378a-5p	2	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	2	54	16	11	0	11	0	0	0	0	127.0
hsa-miR-10b-3p	46	2	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	38	0	0	0	3	0	0	0	0	0	8	0	0	126.0
hsa-miR-550a-3p	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	45	28	15	0	0	0	0	0	0	124.98000000000002
hsa-miR-4791	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	121.0
hsa-miR-204-3p	9	31	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	119.0
hsa-miR-7706	5	2	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	20	18	36	0	0	0	0	0	0	118.0
hsa-miR-3168	19	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	5	0	0	79	0	0	0	0	0	0	2	2	117.0
hsa-miR-1291	8	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	2	0	0	0	0	117.0
hsa-miR-24-2-5p	4	0	0	0	0	0	0	2	0	0	0	9	0	0	0	7	0	0	0	0	5	0	21	24	24	17	0	0	0	0	3	0	116.0
hsa-miR-1278	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	48	18	26	0	0	0	0	0	0	115.0
hsa-miR-625-3p	0	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	71	7	14	0	0	0	4	0	0	115.0
hsa-miR-4443	5	7	3	24	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	21	0	0	6	42	5	0	0	0	0	0	0	0	115.0
hsa-miR-944	3	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	67	0	0	0	18	0	0	0	0	113.0
hsa-miR-135a-2-3p	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	70	0	0	0	0	0	0	0	0	0	21	0	0	104.0
hsa-miR-34a-5p	2	0	0	2	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	31	0	0	0	18	0	0	0	37	0	2	0	0	103.0
hsa-miR-326	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0	43	28	10	0	0	0	0	0	0	103.0
hsa-miR-409-3p	4	0	0	6	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	13	0	0	0	10	29	7	0	0	0	0	0	0	102.0
hsa-miR-181a-3p	3	0	0	0	0	2	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	31	12	19	0	0	0	0	0	0	100.0
hsa-miR-30d-3p	0	0	0	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	4	0	0	0	32	20	19	0	0	0	2	0	0	99.0
hsv2-miR-H10	0	73	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	2	6	0	0	0	0	0	0	95.0
hsa-miR-1306-5p	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	4	25	25	0	0	0	0	0	0	95.0
hsa-miR-193b-5p	9	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	5	37	0	0	3	0	0	0	0	0	90.0
hsa-miR-1304-5p	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	25	24	16	0	0	0	0	0	0	90.0
hsa-miR-335-3p	2	0	0	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	0	9	37	16	0	0	0	0	0	0	89.0
hsa-miR-1301-3p	2	4	0	4	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	10	18	17	0	0	0	0	0	0	89.0
hsa-miR-193a-3p	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	5	0	0	0	41	2	0	25	7	0	0	0	2	0	0	0	0	87.0
hsa-let-7b-3p	4	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	52	6	3	0	0	0	2	0	0	84.0
hsa-miR-499a-5p	6	0	0	2	2	0	0	0	0	0	0	11	0	0	0	0	0	0	15	6	0	0	0	12	10	17	0	0	0	2	0	0	83.0
hsa-miR-1255a	0	0	0	0	0	0	0	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	35	11	10	0	0	0	7	0	0	83.0
hsa-miR-505-3p	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	0	0	0	0	8	0	0	0	19	20	12	0	0	0	0	0	0	82.0
hsa-miR-195-5p	0	0	0	2	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	16	0	0	0	21	7	7	0	0	0	7	0	0	81.0
hsa-miR-145-3p	0	0	0	0	0	6	0	10	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	45	4	9	0	0	0	0	0	0	81.0
hsa-miR-10a-3p	23	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	16	0	0	0	16	0	0	0	0	0	2	0	0	77.0
hsa-miR-99b-3p	28	2	0	8	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	24	0	0	0	9	0	0	0	0	0	2	0	0	77.0
hsa-miR-10527-5p	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	40	6	10	0	0	0	2	0	0	76.0
hsa-let-7f-2-3p	0	0	0	2	0	0	0	4	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	20	14	15	0	0	0	2	0	0	76.0
hsa-miR-139-5p	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	20	33	9	0	0	0	0	0	0	75.0
hsa-miR-3913-5p	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	29	10	19	0	0	0	0	0	0	74.0
hsa-miR-495-3p	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	34	20	5	0	0	0	0	0	0	74.0
hsa-miR-550a-3-5p	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	12	19	18	0	0	0	0	0	0	73.0
hsa-miR-29b-2-5p	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	4	0	0	0	5	27	19	0	0	0	2	0	0	72.0
hsa-miR-151b	0	0	0	0	0	3	0	0	0	0	0	17	0	0	0	0	0	0	0	8	0	0	0	13	19	13	0	0	0	0	0	0	71.5
hsa-miR-134-5p	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	34	0	0	0	27	2	0	0	0	0	0	0	0	70.0
hsa-miR-218-5p	11	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	41	0	0	0	8	0	0	0	0	0	0	0	0	69.0
hsa-miR-509-3-5p	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	38	0	0	0	0	15	0	0	0	0	0	0	0	0	68.0
hsa-miR-1287-5p	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	3	0	0	0	5	27	11	0	0	0	0	0	0	67.0
hsa-miR-4504	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	43	9	5	0	0	0	0	0	0	66.0
hsa-miR-135b-5p	5	0	0	3	7	4	0	4	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	15	0	0	0	2	0	0	0	0	66.0
hsa-miR-206	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	65.0
hsa-miR-615-3p	30	0	0	27	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	65.0
hsa-miR-330-3p	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	27	10	12	0	0	0	0	0	0	62.0
hsa-miR-378g	5	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	30	5	4	0	3	0	0	0	0	61.0
hsa-miR-26b-3p	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	10	18	16	0	0	0	0	0	0	60.0
hsa-miR-501-5p	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	17	10	12	0	0	0	0	0	0	60.0
hsa-miR-455-5p	3	4	0	18	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	6	19	0	0	0	0	0	0	2	0	58.0
hsa-miR-4485-3p	4	0	0	47	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	57.0
hsa-miR-582-5p	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	2	0	2	2	0	0	0	34	3	0	0	0	0	0	0	0	57.0
hsa-miR-181d-5p	16	0	0	5	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	13	7	4	0	2	0	0	0	0	57.0
hsa-miR-1304-3p	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	37	2	6	0	0	0	0	0	0	54.0
hsa-miR-331-5p	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	14	21	0	0	0	0	0	0	53.0
hsa-miR-4685-3p	0	2	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	17	17	0	0	0	0	0	0	53.0
hsa-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	11	0	0	0	6	10	11	0	0	0	0	0	0	52.0
hsa-miR-181c-5p	0	2	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	2	0	0	0	7	10	17	0	0	0	0	0	0	50.0
