name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-93-5p	45	10	4	8	25	238	6	82	61	6	4	7827	0	15	18	12	17	15	24	205	8	19	21	9252	6434	7570	10	79	2	45	5	12	32079.0
hsa-miR-192-5p	1880	271	0	1414	46	164	2	146	25	7	0	5106	4	12	18	9	38	5	35	209	6	17	22	10564	5609	5865	0	17	2	148	5	4	31649.0
hsa-miR-27b-3p	1229	19	2	722	178	1041	97	1353	2115	128	278	2058	4	188	8	615	176	5	167	943	126	72	637	12230	1982	2142	71	2004	74	687	107	4	31454.5
hsa-miR-30a-5p	12581	560	8	3985	711	797	11	47	41	7	2	81	0	6	0	147	1114	0	753	5352	54	5	57	1120	59	68	0	26	0	2439	12	0	30043.0
hsa-miR-186-5p	60	32	3	42	22	99	4	89	67	10	9	7011	6	22	12	12	19	9	73	818	2	12	14	8508	5760	6247	6	54	8	127	4	3	29164.0
hsa-miR-375-3p	890	91	856	1639	345	5	130	164	109	16	2	0	0	24	4	16	880	0	395	17952	8	2	12	1077	0	0	113	449	38	3509	5	0	28731.0
hsa-miR-7-5p	173	27	0	70	43	407	15	171	28	6	0	4855	2	3	11	5	52	3	38	208	2	3	8	10117	5666	4092	0	88	7	151	0	4	26254.980000000003
hsa-miR-200b-3p	3188	557	36	1315	796	127	176	187	223	28	29	15	2	31	6	158	821	0	962	5735	91	4	78	4504	6	7	16	1567	149	4419	40	0	25273.0
hsa-miR-17-5p	18	0	0	11	5	110	0	11	30	0	4	7496	0	0	8	0	6	7	19	72	0	14	0	4707	4859	6877	2	32	5	27	0	2	24320.839999999997
hsa-miR-181a-5p	237	69	2	106	9	126	2	104	72	4	4	8050	0	27	5	37	0	9	25	15	13	9	35	5023	3634	5974	6	33	12	5	9	4	23659.5
hsa-miR-182-5p	22	16	2	32	226	411	9	39	14	4	0	1947	0	2	4	66	319	4	193	831	26	14	36	6174	5960	4623	3	121	22	986	13	4	22123.0
hsa-miR-200a-3p	1782	80	17	702	1047	86	65	108	262	10	55	5	0	29	0	75	858	0	1281	8429	27	0	50	1493	0	0	14	986	55	3842	10	0	21367.5
hsa-miR-532-5p	687	61	0	226	41	93	6	62	39	13	2	5372	0	4	12	23	28	2	46	267	16	10	21	6310	3827	3953	2	38	11	131	6	2	21311.0
hsa-miR-10a-5p	8382	583	3	4859	505	496	20	3	94	0	12	153	0	0	0	4	222	0	565	1161	9	0	22	2082	231	125	4	154	9	735	2	0	20435.0
hsa-miR-27a-3p	134	7	0	102	31	168	29	632	587	56	134	3261	0	212	10	472	9	8	55	296	98	24	499	4841	3512	4143	10	494	6	89	72	3	19986.5
hsa-miR-378a-3p	1345	522	80	401	6	124	130	279	356	24	16	2205	0	26	7	31	12	4	16	1150	38	18	102	6721	2092	1541	509	751	404	123	7	2	19040.95
hsa-miR-423-5p	287	191	12	239	66	66	8	92	35	18	5	2973	0	11	2	30	34	0	28	1621	28	17	105	4205	3737	3609	17	35	9	416	22	2	17920.0
hsa-miR-151a-3p	718	412	2	345	192	271	18	60	40	7	0	2841	0	2	8	4	250	0	111	1539	6	8	18	4675	2380	2479	9	90	28	1236	4	2	17755.0
hsa-miR-148b-3p	126	6	4	95	120	225	0	242	53	8	7	3017	2	5	2	0	209	3	114	698	5	6	18	5182	3076	3245	2	26	4	663	0	3	17163.0
hsa-miR-423-3p	921	507	69	616	12	17	22	128	81	6	6	3076	0	29	2	82	12	3	34	1385	60	10	155	2419	2999	3905	14	47	32	192	22	0	16863.0
hsa-miR-200c-3p	3001	137	33	885	290	233	149	110	348	18	75	20	0	41	0	188	387	0	738	2162	144	0	157	4269	30	20	18	1075	61	2194	60	2	16845.0
hsa-let-7d-5p	91	0	0	146	15	60	0	17	17	6	2	3643	2	2	3	18	6	2	15	127	6	6	20	3339	4109	4159	0	22	2	46	2	0	15880.8
hsa-miR-143-3p	115	15	0	32	3	2189	62	3291	224	170	92	649	0	148	13	4	0	0	5	2	0	30	67	6617	582	374	2	35	4	5	0	0	14730.0
hsa-miR-106b-5p	8	12	0	2	0	33	4	6	14	0	8	4055	2	2	4	16	0	3	4	89	3	7	32	2763	3241	3674	2	10	2	8	3	3	14010.0
hsa-miR-146b-5p	193	45	0	135	154	948	6	118	52	10	11	1547	0	18	4	67	118	0	143	663	34	0	85	4842	1054	873	2	58	21	296	3	0	11498.5
hsa-miR-223-3p	12	3	0	4	0	1221	89	3770	511	474	53	461	0	609	6	4	0	0	3	0	2	15	0	2835	478	380	10	70	2	0	0	2	11014.0
hsa-miR-15b-5p	0	0	0	0	0	116	0	22	26	4	2	2721	0	5	3	5	0	5	2	4	0	8	0	2589	2761	2724	0	2	2	6	0	2	11009.0
hsa-miR-183-5p	40	2	0	54	69	101	2	24	11	3	0	1280	0	3	3	59	63	4	48	224	18	2	25	1894	3722	2926	2	48	2	269	13	3	10914.0
