name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5764826622378012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2590945976657646	1.659464590344571	1.5931139243732888	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-150-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.364723993356702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-342-3p	39.77693097111399	0.0	0.0	30.039050765995796	0.0	163.76886753828097	615.0061500615006	162.7769751968584	85.45060954768144	0.0	0.0	60.69458249615535	0.0	0.0	0.0	0.0	74.39092430723451	0.0	84.73499131466339	153.29234965456362	315.93081115235765	0.0	0.0	89.08094278485284	48.95420541516485	43.0140759580788	0.0	0.0	0.0	147.85051443281932	266.95141484249865	0.0
hsa-miR-6749-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7-5p	1376.281811600544	1478.9658194566168	0.0	1051.3667768098528	1811.288963774221	5554.494090673359	2306.2730627306273	3479.357844832848	797.5390224450266	1037.344398340249	0.0	3826.9116625822685	2164.5021645021643	534.3783398646242	3398.208217485326	177.90428749332858	1934.1640319880978	1521.2981744421909	1609.9648349786044	1099.4761630396292	157.9654055761788	787.8151260504201	273.22404371584696	3184.5650111461273	4701.263184446177	3259.511089267755	0.0	1788.908765652952	925.5586407510248	1313.2604517268069	0.0	2281.802624073018
hsa-miR-548a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9412066555945033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328822	0.0	2.389670886559933	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-144-3p	31.82154477689119	219.1060473269062	0.0	105.13667768098529	1347.9359730412805	7274.067199825313	1998.769987699877	590.0665350886117	4329.497550415859	6051.175656984786	2526.8477574226154	49029.39903692674	22727.272727272728	1781.2611328820806	31819.586036453507	71.16171499733143	0.0	38032.45436105477	508.40994788798037	0.0	0.0	19957.98319327731	0.0	19624.877946517438	30672.713755633882	45298.601325630094	3607.103218645949	1158.7249959342982	3702.2345630040986	460.945721467025	0.0	27381.631488876214
hsa-miR-331-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.247137304545708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5738682470822056	11.616252132411997	16.727696205919532	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4762-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6295472988328823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-523-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.122498552443899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
